词语,tfidf值
加油,0.057511843751035525
飞飞,0.04068541159204952
中国,0.03748035711016473
哈哈哈,0.037159413145199535
加油中国,0.027323498036570696
美国,0.026678882184444776
一定下次,0.023524321385791903
我们,0.02104841746722937
自己,0.020229457669289606
！中国,0.019312783822447034
前来,0.01906104063708674
日本,0.01853578918673696
武汉,0.018053444936479264
国家,0.0170355951650556
就是,0.016174927117884003
人中国,0.015986429035550614
同志,0.015252659294359885
真理,0.01505749242073049
统一,0.01469866130959059
台湾,0.014624882950290796
检验,0.014319708827732562
他们,0.013403516616039978
真的,0.01321046101725785
不是,0.013018516654342296
炫炫炫,0.012743534788146074
了中国,0.012415572683579386
建国,0.01193517787410805
什么,0.011746819053630734
了下次,0.011510302346323874
没有,0.01150597860224434
一个,0.011020319377128879
！说得好,0.010510062638434155
欧洲,0.010395108672447514
德国,0.010053978235489982
我方,0.009903407407533146
人民,0.009799985877575648
？下次,0.009675871404127255
？？,0.009670522405162746
澳大利亚,0.009430653871015505
无衣,0.009413447934296323
现在,0.00940458475855762
了美国,0.00936542992590764
哈哈哈哈,0.00908373758603911
加油武汉,0.0088823925965587
知道,0.008767382542849667
制度,0.008655754228759908
希望,0.008649888808153896
你们,0.008545642053121416
欧盟,0.008285011878281456
可以,0.007966591804259555
还是,0.007926059707694687
无悔,0.007847639644588459
一定,0.007819741825826142
这个,0.0076532351799291935
英雄,0.0076371537051984845
与子,0.007488503468928995
保护,0.007399130214831658
辛苦,0.00732506487017713
！武汉,0.007304715032653366
已经,0.007280487028038471
祖国,0.007270739613896839
不能,0.0072298915420349755
全世界,0.0071866829081571135
下次,0.007089624502013987
不了,0.007010089708644337
口罩,0.007005126133827515
政治,0.006963978937817414
疫情,0.0068944557735862375
自由,0.006770644822663724
这么,0.0067375282825029035
老大哥,0.006515970550886268
阴阳人,0.006448551019595553
加油加油,0.006431971463345072
反华,0.006395047757860917
自身难保,0.006338231776209494
怎么,0.006186804903793123
文化,0.006128690941370723
！加油,0.006080379728053216
大陆,0.006034604731438109
世界,0.006023003364373107
川普,0.005997997236567042
那个,0.005957803072803395
不会,0.005897054471395535
墙头草,0.005888854496838027
问题,0.005880221992113156
智贤姐,0.005878793811478964
历史,0.005873500517534654
支持,0.00574637998696291
在家,0.0057363557741640205
国徽保护,0.005687640789656773
友军,0.005685425549591013
觉得,0.0056783100088154004
但是,0.005590351598437837
华夏,0.005535871518186249
姐姐,0.005469081420922354
二次元,0.005429416532107498
开始,0.005296842022970644
其他,0.0052476754002182
加油加油中国,0.005204727892421764
