词语,频率
加油,47761
中国,33282
哈哈哈,24237
我们,16780
就是,13113
飞飞,12023
美国,11707
国家,11362
自己,10931
日本,9736
不是,9180
一定下次,9180
！中国,9176
真的,8913
加油中国,8710
什么,8706
武汉,8007
没有,7897
他们,7880
一个,7403
可以,5928
知道,5789
同志,5404
这个,5373
你们,5361
一定,5350
还是,5223
这么,5163
人民,5108
现在,5040
希望,4945
建国,4905
？？,4797
怎么,4539
哈哈哈哈,4512
了下次,4403
人中国,4104
已经,3794
辛苦,3757
炫炫炫,3751
统一,3708
？下次,3699
不能,3680
疫情,3649
了中国,3596
欧洲,3575
政治,3401
澳大利亚,3270
问题,3072
时候,3061
觉得,3035
加油武汉,3016
不会,2976
可能,2969
起来,2945
那个,2906
出来,2856
但是,2855
我方,2811
！武汉,2808
世界,2801
一样,2801
下次,2778
保护,2751
那么,2643
！加油,2583
这样,2566
阴阳人,2562
德国,2501
还有,2495
加油加油,2472
开始,2453
应该,2375
祖国,2349
反华,2340
只是,2287
大家,2284
文化,2267
万岁,2259
无衣,2249
了我,2220
历史,2192
台湾,2190
英雄,2172
喜欢,2070
不要,2058
无悔,2046
一定？,2041
前来,1996
可爱,1981
奥运会,1934
不了,1919
利益,1908
很多,1903
厉害,1866
一直,1848
！我,1835
弹幕,1823
感觉,1817
墙头草,1809
真是,1804
需要,1804
与子,1773
欧盟,1772
有点,1751
了？,1737
国徽保护,1707
哈哈,1688
口罩,1663
看到,1652
只有,1650
表示,1633
别人,1619
二次元,1612
一下,1608
英国,1592
全世界,1589
为了,1586
这次,1575
支持,1557
伟大,1553
不想,1484
老龄化,1473
二战,1459
制度,1451
其他,1446
病毒,1438
常态,1429
眼睛,1427
一句,1416
一切,1408
好像,1397
民族,1389
为什么,1383
华夏,1379
因为,1375
经济,1374
检验,1352
政客,1333
姐姐,1329
在家,1303
真理,1300
西方,1282
！加油中国,1282
的下次,1277
设想,1275
骄傲,1274
啊啊啊,1273
是不是,1271
发展,1270
奥运,1265
几个,1252
湖北,1247
全国,1242
这种,1241
多少,1237
不好,1228
的话,1206
好好,1201
两个,1200
加油加油中国,1195
了哈哈哈,1187
！保护,1175
！下次,1175
不行,1169
啊下次,1161
所以,1159
国内,1148
呵呵,1146
东西,1143
永远,1129
？我,1120
成功,1109
了美国,1103
自由,1102
哈哈哈哈哈哈,1101
看看,1097
这些,1097
啊中国,1096
说话,1079
。下次,1078
只能,1068
反复,1068
确实,1067
一定我,1063
起飞,1060
事情,1052
了老,1034
爸爸,1029
老人,1027
团结,1018
秦始皇,1011
最好,1007
物资,999
nb,997
一定老,997
国徽,997
节目,983
波兰,983
一起,976
安倍,969
罪犯,959
法国,958
传统,943
强大,941
自信,935
100,913
？老,913
时代,911
哈哈哈哈哈哈哈,911
之前,908
容易,907
办法,902
？哈哈哈,902
一点,900
崛起,899
控制,895
！说得好,890
意大利,888
翻译,888
家里,887
时间,875
字幕,873
人家,873
了这,865
感谢,864
了解,862
？你,856
媒体,855
之后,853
川普,853
真正,848
了保护,847
NB,843
这是,842
以后,831
取消,830
大陆,829
其实,827
！美国,826
直接,824
？历史,821
。中国,816
人类,814
理解,808
政府,806
关系,804
回来,799
这句,798
澳洲,798
还要,797
以为,796
不敢,796
视频,791
过去,791
不用,783
决定,782
延期,781
当时,778
封城,778
！哈哈哈,778
意思,778
工作,769
不过,762
那些,762
哈哈哈下次,756
努力,755
毕竟,752
俄罗斯,751
根本,749
友军,747
社会,745
命运,745
肯定,741
天天,738
才能,737
支棱,737
完全,736
10,733
有人,732
保护保护,726
不够,725
继续,724
好多,723
了不,717
正常,715
吧下次,711
？美国,711
个人,709
是因为,703
实力,703
砖头,701
哪里,701
比较,699
第一,697
而且,697
这里,696
外国,696
口区,695
幽灵,695
一定这,694
不得,693
亲中,690
以前,689
作为,685
战争,685
少数民族,684
感动,683
本来,682
的中国,681
人比,679
韩国,676
眼神,674
了这个,672
非常,669
了加油,667
脑子,658
大哥,658
全球,657
种花,651
亚洲,651
明白,648
未来,647
人口,646
回家,645
物价,641
？这,640
当年,638
！我们,637
老年人,636
战忽局,635
不然,635
基本,633
爆发,633
发现,632
居然,629
解决,629
医疗,628
一定中国,628
30,627
不错,627
复兴,627
爽哥,627
评论,624
一定日本,624
隔离,622
每个,619
智贤姐,618
奇迹,616
天下,615
原因,614
！岂,614
习惯,614
？中国,613
新冠,613
出口,611
强盗,611
友谊,608
虽然,607
人加油中国,606
举办,606
了你,603
外国人,595
明白人,590
差不多,588
一群,588
男儿,588
打权,586
老大哥,584
没想到,582
整个,581
援助,581
一次,576
不到,576
今天,575
来世,572
重要,572
霍顿,571
颜色,568
时期,567
从来,565
政治家,565
就要,565
国际,563
老百姓,561
加油岂,561
和平,560
中国中国,557
没错,556
过来,555
一定你,555
年轻人,554
主要,553
tm,553
眼泪,551
。？,551
严重,550
相信,549
垃圾,549
愿意,549
别的,549
啊？,547
然后,545
想象,544
老子,544
人武汉,543
文明,543
太帅,542
超级,542
要是,542
不少,541
下来,541
同行,538
确诊,535
反对,533
自豪,532
上课,532
有个,531
必胜,530
加油我,529
治国,529
苏联,529
人加油,527
了哈哈哈哈,526
一定哈哈哈,525
所有,523
能力,522
孩子,521
一定历史,520
同意,519
推迟,518
实现,517
漂亮,516
大木,515
要求,514
值得,512
如果,512
情况,512
了建国,512
精神,511
特朗普,509
政策,508
越来越,507
一定不,507
面对,507
行为,506
为啥,504
我国,504
选择,502
六部,502
感到,501
滑稽,499
人我,499
当然,498
哪个,497
狗头,496
咱们,495
不如,494
道歉,493
同袍,492
警察,491
了澳大利亚,491
早就,490
只要,490
拒绝,490
朋友,489
终于,488
红领巾,488
里面,487
资源,487
正确,486
医院,486
上班,485
没什么,484
它们,484
就算,484
开口,482
增加,482
致敬,482
告诉,481
自身难保,479
高兴,478
十斤,478
暴露,477
好处,476
泪目,476
大国,476
