,2020-01-30
0,只会中文了：一两千套，这肯定是真事。340万套，肯定不是真的。
1,Perliso：关键时刻还得靠女人
2,梵小菩提：有先见，有能力，肯助力！
3,梦玲-婷：b
4,古风今月照歌行：🙏🙏🙏
5,七氏妖怪_：好棒！
6,崇尚树上_904：武汉能收到？
7,愛蜜蒂張：我也在想每天看到那么多世界各地的捐赠，但一线仍然普遍急缺各种物资，上海也是一罩难求，不知道这些捐赠都到哪里去了？
8,小熊饼干198001：回复@愛蜜蒂張:那都是一次性的 都不够两天用的 这还用想？
9,碎碎念的小疯猫：有些人真的还不是别有用心，单纯就是蠢而已
10,lcqbj：愚蠢，这词很准确
11,共7条回复
12,Tizzze：一些人为了喷而喷。
13,举杯笑忘酒：唉，我在朋友圈发了几条关于科比的内容，然后发现很多人都在刷类似的内容，怎么说呢，就觉得三观确实不同，爱国与偶像不冲突。还有说的更难听的，说再关注科比，不关注疫情，迟早跟他一样的结局。我特么当时真想回一句眼瞎了吗。后来干脆关了朋友圈，真的，眼不见心不烦，太讨厌了。
14,最甜不过初恋最美不过校园：物以类聚，人以群分，你朋友圈里有这样的人，说明你也不是啥好人
15,Ray_Pacino：我朋友圈里面都在刷科比，没有一个人搞道德绑架的，所以交友还是很重要的！以后要擦亮眼睛啊
16,共34条回复
17,韩漫：上帝想学打篮球为什么要带走科比蔡徐坤不也是nba篮球大使吗
18,hernmione：蔡徐坤的命难道不是命?
19,共45条回复
20,探险小队：科比去世我们很伤心，疫情扩散我们也很难受，但是最烦那种道德绑架，说科比去世跟我们没关系的
21,皮皮皮专用号儿：特别烦那些抠字眼的
22,黄色潜水艇丶：我们的网民中，搞对立的真的多
23,拿不到血汗钱的农民工：请各地潜伏期未发作的传染病人，不要在随便走动了，如果发现自己有传染病马上上报，全国各地人民伤不起啊🙏🙏🙏🙏
24,布狗颜笑：最讨厌的就是道德绑架的人，不理解不关注不喜欢的自然无法产生共情，以此站在道德制高点来绑架、借题发挥从而制造对立情绪的人彰显其无知、无趣和无情，其心可诛。
25,忧郁的Koalabear：喜欢道德绑架的人通常都很蠢，无知，然而还都很自以为是
26,共2条回复
27,tingtao1975：老祖宗的中庸之道，很多人没学明白。非白即黑，非左即右。一个莫雷一个肖华就要抵制整个nba，nba里就没有对中国有好感的人吗？这样是把自己的朋友往外推。学学延安当年的统一战线吧，要团结所有能团结的人，分化能分化的组织
28,最甜不过初恋最美不过校园：理性冷静思考的人太少了，随波逐流的人太多
29,你的衣服领子：最终还是至少拉黑了火箭而已
30,共5条回复
31,希瑞和朵朵：因为这个，删了朋友圈几个人，正好把身边人筛选一下。
32,瞬间永恒fu：是的，我也删了
33,澜蓬柚：一样
34,共3条回复
35,二十五个笔画：因为这两件事瞬间发现朋友圈的无脑朋友，震惊之余，想拉黑。
36,_TuleR：我直接删除了全部发类似朋友圈的人
37,Tsoiyuyu：我直接拉黑了受不了
38,共5条回复
39,飞天_小女侠：都拉黑了，懒得BB
40,龙大侠龙队：闭嘴你这个死女人
41,共2条回复
42,随风如歌：谢谢国内外各界人士的爱心，武汉加油，中国加油
43,卷卷毛球呀：我们的海外华人啊真的是太给力了
44,生活你不懂11：人类和自然本来应该和谐共处，只因一小部分人破坏了规则，引发了这一场灾祸，一开始不重视，直到与每个人息息相关，由此看来我们每个人都要为此负责！   从某种角度来看，这或许就是野生动物对于人类的一场报复，是大自然给的警示，多种瘟疫都和动物有关，敬畏生命也是保护人类自己！
45,辰星娱乐执行经纪凡星：不是一小部分人破坏了规则，是很多人都在破坏！
46,深海糖分不足：感谢同胞们的支援，中国一心共同抗疫，加油！
47,广东第一名鸭：心系武汉
48,到底怎么了我这是：所有社会各届捐款的钱，每一分钱去处透明化，等抗击疫情胜利结束后，如果多出来的款希望都用于改善民生、医疗和福利建设。而不是最后都被贪污或其他挪用……
49,金陵冰淇淋_lucky：谢谢海外华人
50,坐看云起0320：符合欧美标准的防护服，中国医院能用吗？
51,拉so米so拉so：现在不是能不能用的问题，是比没有强
52,nik53：华夏好儿女！
53,偌依万念：好想加这个群
54,V12自吸：火神山、雷神山、钟南山，三山镇毒！ 医者心、仁者心、中国心，万心抗疫！武汉加油！中国加油！
55,梦回大唐vip：定居国外还依然心系祖国
56,MissFJJ：感恩
57,梦牵故乡：泪眼朦胧了，走到哪，都是龙的传人
58,我们都是害虫：一两千套是什么意思？
