,topic,content,url
0,康宝莱爱心救护车抵汉交付全力支援疫情攻坚战,"
　　南方网讯（记者/张俊伟）2020年3月25日,全球知名的营养品公司康宝莱今日宣布，其通过中国红十字基金会购置捐赠的9辆救护供血车已抵达武汉交付湖北省血液管理中心，主要用于小宗血液和疫苗运输工作，为疫情防控攻坚战提供助力。早前，康宝莱连续两次携手广大爱心服务提供商，向武汉市及周边疫情较严重地区进行捐款，累计捐款总额逾267万元人民币。该笔款项由中国红十字基金会协调购置了2辆疫情专用冷藏车和9辆救护供血车，其中2辆疫情专用冷藏车已于3月8日交付湖北省血液管理中心投入使用，支持大宗血液采集应急保障和临床用血运输工作，为救治新冠肺炎患者提供保障。

康宝莱爱心救护供血车
　　在湖北省开展疫情防控工作的重要时期，湖北省血液管理中心承担着无偿献血、保障临床用血质量和安全的重要职责。由于受到疫情期间繁重工作量的影响，中心面临采供血运输车老化、数量不足等挑战。由康宝莱公司委托中国红十字基金会紧急采购的这批车辆，能够切实有效地解决这一难题，为湖北省防疫工作和血液保障业务的正常运转提供支持。其中，疫情专用冷藏车主要承担将全国各地捐赠的新冠肺炎康复者血浆从管理中心转运至各个医院的任务，而救护供血车主要用于小宗血液和疫苗的运输。待疫情解除后，该批车辆仍将继续运送血液和疫苗，救护供血车还可承接普通患者的转运救助工作。

康宝莱捐赠的疫情专用冷藏车
　　康宝莱中国区总裁、全球高级副总裁郭木先生表示：“此次运抵武汉抗‘疫’前线的车辆，承载着康宝莱公司以及广大服务提供商的爱心，传达着我们对打赢这场疫情攻坚战的信心。物资在运输、使命在传递，这批车辆将与一线抗‘疫’斗士们共抗疫情，助力他们早日取得全面胜利。”
　　据悉，疫情期间康宝莱始终心系疫区群众和奋战在一线的工作人员，有温度、有担当，愿与全国人民携手抗“疫”，共克时艰。康宝莱不仅连续两次携手广大爱心服务提供商进行捐款，还通过中国红十字基金会向武汉四所定点收治医院定向捐赠了6000罐、总价值人民币200余万元的康宝莱蛋白营养粉，为一线医务工作者提供营养补给。截至目前，康宝莱及其服务提供商的爱心善款和物资捐赠总计已达850万元人民币。",http://life.southcn.com/g/2020-03/25/content_190643231.htm
1,G20财长和央行行长同意共同应对疫情,"
　　二十国集团（G20）财长和央行行长当地时间23日召开视频会议，重点讨论新型冠状病毒肺炎疫情对全球经济的影响和如何协调二十国集团内部共同应对这一全球挑战。与会官员同意协调行动，共同应对疫情带来的全球挑战。
　　会议由G20轮值主席国沙特阿拉伯主持。沙特财政大臣穆罕默德·贾丹表示，G20需要加强合作，果断采取协调一致的行动，向受疫情影响的人员和企业提供支持，维护全球经济和金融市场稳定，恢复信心并防止疫情对经济的长期负面影响。
　　贾丹说，自2月份G20财长和央行行长会议以来，新冠肺炎疫情对全球经济造成严重冲击，使得全球经济前景严重恶化。G20应加强合作，准备采取进一步紧急应对措施，并为中长期行动设定愿景，以促进经济快速复苏，激发更强劲的经济增长潜力。与会官员一致同意密切监控新冠肺炎疫情发展及其对市场和经济的影响，并同意制定应对疫情的G20联合行动计划。
 ",http://economy.southcn.com/e/2020-03/25/content_190641490.htm
2,G20财长和央行行长同意共同应对疫情,"
　　二十国集团（G20）财长和央行行长当地时间23日召开视频会议，重点讨论新型冠状病毒肺炎疫情对全球经济的影响和如何协调二十国集团内部共同应对这一全球挑战。与会官员同意协调行动，共同应对疫情带来的全球挑战。
　　会议由G20轮值主席国沙特阿拉伯主持。沙特财政大臣穆罕默德·贾丹表示，G20需要加强合作，果断采取协调一致的行动，向受疫情影响的人员和企业提供支持，维护全球经济和金融市场稳定，恢复信心并防止疫情对经济的长期负面影响。
　　贾丹说，自2月份G20财长和央行行长会议以来，新冠肺炎疫情对全球经济造成严重冲击，使得全球经济前景严重恶化。G20应加强合作，准备采取进一步紧急应对措施，并为中长期行动设定愿景，以促进经济快速复苏，激发更强劲的经济增长潜力。与会官员一致同意密切监控新冠肺炎疫情发展及其对市场和经济的影响，并同意制定应对疫情的G20联合行动计划。
 ",http://economy.southcn.com/e/2020-03/25/content_190641490.htm
3,习近平：战胜这次疫情，给我们力量和信心的是中国人民,"
　　24日晚，国家主席习近平与波兰总统杜达通电话。
　　习近平强调，战胜这次疫情，给我们力量和信心的是中国人民。中国14亿人民同舟共济，众志成城，坚定信心，同疫情进行顽强斗争。中国广大医务人员奋不顾身、舍生忘死，这种高尚精神让我深受感动。人民才是真正的英雄。只要紧紧依靠人民，我们就一定能够战胜一切艰难险阻，实现中华民族伟大复兴。

今天零时起，
湖北除武汉外地区解除离鄂通道管控。
湖北省市县疫情风险等级评估也有更新，
武汉市13个城区中已无高风险区。
这一切，来之不易，
中国14亿人民同舟共济，
众志成城，坚定信心，
同疫情进行顽强斗争。
有奋不顾身、舍生忘死的医务人员
也有其他各行各业

坚守战“疫”一线的人们
人民才是真正的英雄！
向每一个你致敬！
　　来源：新闻联播微信公众号",http://news.southcn.com/china/content/2020-03/25/content_190645190.htm
4,习近平：战胜这次疫情，给我们力量和信心的是中国人民,"
　　24日晚，国家主席习近平与波兰总统杜达通电话。
　　习近平强调，战胜这次疫情，给我们力量和信心的是中国人民。中国14亿人民同舟共济，众志成城，坚定信心，同疫情进行顽强斗争。中国广大医务人员奋不顾身、舍生忘死，这种高尚精神让我深受感动。人民才是真正的英雄。只要紧紧依靠人民，我们就一定能够战胜一切艰难险阻，实现中华民族伟大复兴。

今天零时起，
湖北除武汉外地区解除离鄂通道管控。
湖北省市县疫情风险等级评估也有更新，
武汉市13个城区中已无高风险区。
这一切，来之不易，
中国14亿人民同舟共济，
众志成城，坚定信心，
同疫情进行顽强斗争。
有奋不顾身、舍生忘死的医务人员
也有其他各行各业

坚守战“疫”一线的人们
人民才是真正的英雄！
向每一个你致敬！
　　来源：新闻联播微信公众号",http://news.southcn.com/china/content/2020-03/25/content_190645190.htm
5,境外输入 重症救治 个人防护——聚焦疫情防控与诊治三大焦点,"
　　新华社北京3月24日电 题：境外输入 重症救治 个人防护——聚焦疫情防控与诊治三大焦点
　　新华社记者罗沙、王卓伦、王秉阳
　　目前国内疫情防控形势向好，如何抵御境外输入风险？重症患者的治疗情况如何？低风险地区的民众是否可以摘口罩？国务院联防联控机制24日举行新闻发布会，针对新冠肺炎疫情防控与医疗诊治的焦点问题进行回应。
　　三道防线，抵御境外疫情输入
　　中国以外确诊病例直线上升、境外输入病例数量不断增多、多地出现境外输入关联病例……虽然以武汉市为主战场的本土疫情传播已基本阻断，但疫情全球大流行带来的输入性风险正与日俱增。
　　“零星散发病例和境外输入病例引起的传播风险依然存在，防控工作仍不可掉以轻心。”国家卫健委新闻发言人米锋说。
　　3月23日，31个省（自治区、直辖市）和新疆生产建设兵团报告新增确诊病例78例，其中境外输入达到74例。与此同时，根据世卫组织最新通报，全球确诊病例已突破30万例。
　　“现在全球新冠肺炎的形势非常不乐观，我们的枢纽地区和口岸城市防止输入的压力在不断加大。”中国疾控中心研究员吴尊友说，“我们已经建立了‘三道防线’，能够很好地抵御境外输入病例。”
　　据吴尊友介绍，第一道防线即海关，通过测量体温、询问症状，以及要求入境人员报告旅行史，能够发现已经有症状的人员，并直接送到指定医疗机构治疗。
　　第二道防线，是指入境后的人员要进行14天的隔离观察，来发现处于潜伏期的人员，并在出现症状后及时送至指定医疗机构。
　　第三道防线，是指第一、第二道防线“万一”漏过的病例，在出现症状后到医疗机构就诊，经过前一阵防疫实践锻炼的医务人员能够很快进行诊断治疗。
　　吴尊友表示，到目前为止，我国输入病例基本堵在第一和第二道防线，兜底的第三道防线还没有发现病人。
　　分层分类综合救治，降低病亡率
　　确诊病例有轻型、普通型、重型和危重型，诊疗方案该怎么确定？北京大学第一医院感染科主任医师王贵强表示，对不同类型的病人，应采取分层、分类救治的手段。
　　“对轻型病例集中收治，进行隔离，不一定需要特殊的照护，只是监测患者的生命体征，发现病情变化及时转院；对重型和危重型病例一定要在定点医疗机构进行救治。”王贵强说。
　　在分层分类救治背后，是医疗资源的合理分配问题。他解释，如果轻型病例占用医院的床位等医疗资源，会使重型、危重型等需要更积极救治的病人得不到及时救治，导致高病亡率。
　　临床发现，重症、危重症多为老年人和有基础病人群，很多病人是因为基础病加重或合并感染导致最终死亡，这意味着不但要治疗肺炎，还要治疗基础病，怎么办？
　　“在新冠肺炎的救治原则中，非常明确提出要加强对症支持治疗，积极预防并发症，治疗基础病，进行脏器维护和支持。”王贵强说，目前救治中不单纯是治疗肺炎，还要治疗所有的基础病，其中氧疗和呼吸支持是非常重要的支持手段。这有赖于多学科诊疗团队的配合。
　　“目前在武汉，有多学科诊疗团队，包括呼吸科、感染科、ICU、心脏科、血液科、肾内科等专业。”王贵强表示，通过采取积极的多学科诊疗模式，看到了非常好的效果，病亡率明显下降，说明多学科诊疗模式是针对有基础病患者的一项重要救治措施。
　　全国防控形势向好，个人防护仍需重视
　　虽然全国疫情防控形势向好，为减少疫情反弹风险，做好个人防护仍不可忽视。
　　吴尊友对“健康人也要戴口罩”作出科学性解释。他表示，新冠肺炎在“潜伏期末”和“临床症状前期”排毒最高，如果健康人遇到一个潜伏期末期的病人，虽然没有症状，也会造成病毒传播。病人的居家住所、就诊的医疗机构以及电梯、公用交通工具等封闭环境，都存在排毒隐患。
　　针对“无症状感染者是否会造成病毒传播扩散”的疑问，吴尊友说，目前无症状感染者都在密切接触者中发现，而密切接触者都受到了管理。“根据我国采取的疫情防控管理措施，密切接触者都已纳入隔离观察，一旦发现症状马上转到医院诊断治疗，不会造成社会上的传播扩散。”
　　何时能摘口罩？国务院联防联控机制日前发布的《公众科学戴口罩指引》对不同场景下戴口罩提出了科学建议。例如，普通公众居家、户外，无人员聚集、通风良好时，建议不戴口罩；当处于人员密集场所时，在中、低风险地区应随身备用口罩，在与其他人近距离接触（小于等于1米）时应戴口罩。
　　当前低风险地区正陆续准备开学，吴尊友说，低风险地区的学生和老师经过长时间的居家隔离以后，已排除潜伏期感染的可能，但防范学校发生疫情、继续做好防护措施仍有必要。
　　“在病毒的低流行地区，环境当中基本没有病毒，可以恢复正常的工作、生活秩序。”吴尊友建议，最主要的是做好学生和老师每日监测，若出现体温异常等症状要第一时间与卫生健康部门联系。",http://news.southcn.com/china/content/2020-03/25/content_190641835.htm
6,境外输入 重症救治 个人防护——聚焦疫情防控与诊治三大焦点,"
　　新华社北京3月24日电 题：境外输入 重症救治 个人防护——聚焦疫情防控与诊治三大焦点
　　新华社记者罗沙、王卓伦、王秉阳
　　目前国内疫情防控形势向好，如何抵御境外输入风险？重症患者的治疗情况如何？低风险地区的民众是否可以摘口罩？国务院联防联控机制24日举行新闻发布会，针对新冠肺炎疫情防控与医疗诊治的焦点问题进行回应。
　　三道防线，抵御境外疫情输入
　　中国以外确诊病例直线上升、境外输入病例数量不断增多、多地出现境外输入关联病例……虽然以武汉市为主战场的本土疫情传播已基本阻断，但疫情全球大流行带来的输入性风险正与日俱增。
　　“零星散发病例和境外输入病例引起的传播风险依然存在，防控工作仍不可掉以轻心。”国家卫健委新闻发言人米锋说。
　　3月23日，31个省（自治区、直辖市）和新疆生产建设兵团报告新增确诊病例78例，其中境外输入达到74例。与此同时，根据世卫组织最新通报，全球确诊病例已突破30万例。
　　“现在全球新冠肺炎的形势非常不乐观，我们的枢纽地区和口岸城市防止输入的压力在不断加大。”中国疾控中心研究员吴尊友说，“我们已经建立了‘三道防线’，能够很好地抵御境外输入病例。”
　　据吴尊友介绍，第一道防线即海关，通过测量体温、询问症状，以及要求入境人员报告旅行史，能够发现已经有症状的人员，并直接送到指定医疗机构治疗。
　　第二道防线，是指入境后的人员要进行14天的隔离观察，来发现处于潜伏期的人员，并在出现症状后及时送至指定医疗机构。
　　第三道防线，是指第一、第二道防线“万一”漏过的病例，在出现症状后到医疗机构就诊，经过前一阵防疫实践锻炼的医务人员能够很快进行诊断治疗。
　　吴尊友表示，到目前为止，我国输入病例基本堵在第一和第二道防线，兜底的第三道防线还没有发现病人。
　　分层分类综合救治，降低病亡率
　　确诊病例有轻型、普通型、重型和危重型，诊疗方案该怎么确定？北京大学第一医院感染科主任医师王贵强表示，对不同类型的病人，应采取分层、分类救治的手段。
　　“对轻型病例集中收治，进行隔离，不一定需要特殊的照护，只是监测患者的生命体征，发现病情变化及时转院；对重型和危重型病例一定要在定点医疗机构进行救治。”王贵强说。
　　在分层分类救治背后，是医疗资源的合理分配问题。他解释，如果轻型病例占用医院的床位等医疗资源，会使重型、危重型等需要更积极救治的病人得不到及时救治，导致高病亡率。
　　临床发现，重症、危重症多为老年人和有基础病人群，很多病人是因为基础病加重或合并感染导致最终死亡，这意味着不但要治疗肺炎，还要治疗基础病，怎么办？
　　“在新冠肺炎的救治原则中，非常明确提出要加强对症支持治疗，积极预防并发症，治疗基础病，进行脏器维护和支持。”王贵强说，目前救治中不单纯是治疗肺炎，还要治疗所有的基础病，其中氧疗和呼吸支持是非常重要的支持手段。这有赖于多学科诊疗团队的配合。
　　“目前在武汉，有多学科诊疗团队，包括呼吸科、感染科、ICU、心脏科、血液科、肾内科等专业。”王贵强表示，通过采取积极的多学科诊疗模式，看到了非常好的效果，病亡率明显下降，说明多学科诊疗模式是针对有基础病患者的一项重要救治措施。
　　全国防控形势向好，个人防护仍需重视
　　虽然全国疫情防控形势向好，为减少疫情反弹风险，做好个人防护仍不可忽视。
　　吴尊友对“健康人也要戴口罩”作出科学性解释。他表示，新冠肺炎在“潜伏期末”和“临床症状前期”排毒最高，如果健康人遇到一个潜伏期末期的病人，虽然没有症状，也会造成病毒传播。病人的居家住所、就诊的医疗机构以及电梯、公用交通工具等封闭环境，都存在排毒隐患。
　　针对“无症状感染者是否会造成病毒传播扩散”的疑问，吴尊友说，目前无症状感染者都在密切接触者中发现，而密切接触者都受到了管理。“根据我国采取的疫情防控管理措施，密切接触者都已纳入隔离观察，一旦发现症状马上转到医院诊断治疗，不会造成社会上的传播扩散。”
　　何时能摘口罩？国务院联防联控机制日前发布的《公众科学戴口罩指引》对不同场景下戴口罩提出了科学建议。例如，普通公众居家、户外，无人员聚集、通风良好时，建议不戴口罩；当处于人员密集场所时，在中、低风险地区应随身备用口罩，在与其他人近距离接触（小于等于1米）时应戴口罩。
　　当前低风险地区正陆续准备开学，吴尊友说，低风险地区的学生和老师经过长时间的居家隔离以后，已排除潜伏期感染的可能，但防范学校发生疫情、继续做好防护措施仍有必要。
　　“在病毒的低流行地区，环境当中基本没有病毒，可以恢复正常的工作、生活秩序。”吴尊友建议，最主要的是做好学生和老师每日监测，若出现体温异常等症状要第一时间与卫生健康部门联系。",http://news.southcn.com/china/content/2020-03/25/content_190641835.htm
7,叮咚快评|回国不配合隔离，就该从哪里来回哪里去,"
　　——防控新冠肺炎疫情系列快评166
　　文|青的蜂 
　　又见回国人员不配合隔离！
　　近日，一名女子从泰国飞上海转机，到达重庆机场后，拒绝接受机场防疫人员的登记、检测和隔离要求，并放言：“我不会隔离的，我要回家。如果你要干扰我，我就告你！”重庆市委宣传部工作人员表示：“她拒绝隔离不听劝告，那就只能从哪里来返回哪里去。”
　　当前，随着境外输入病例人数不断增长，“外防输入”已成为我国疫情防控的重中之重。包括重庆在内的大多数省份，都出台了严格的入境防疫措施，这不仅是保护个人生命安全的需要，更是阻断传播途径、防止疫情输入的要求，每个人都必须照做，没有任何例外。

　　诚然，一个回国华人因为生活习惯等存在差异，对国内防疫要求可能不是很适应，然而，这不是任性、傲慢和自私的理由。要清醒看到，国内所取得的防控成就，正是靠严格的防疫措施换来的，如果人人都想搞特殊，以各种理由打破规则，那么大好局面随时会被逆转。
　　抗击疫情，最怕我行我素、无视规则。重庆方面的硬气回应，颇能代表大家的心声：我们欢迎同胞们回家，中国不会拒绝每一个游子的归来。但既然是特殊时期，就请有点“回家”的样子；如果不配合、不支持，那么，我们也不会惯着你。
　　澳大利亚“跑步女”被公司辞职，被驱逐限期离境；意大利抵京的廖某君、廖某海等8人，不如实填写信息被立案……一个个案例已经提醒所有的入境人员，特殊时期，请多一些理解和配合，不然不仅会受到道德的谴责，也会付出实实在在的法律代价。
　　【来源】 叮咚快评南方号",http://news.southcn.com/nfplus/ddkp/content/2020-03/25/content_190645666.htm
8,叮咚快评|回国不配合隔离，就该从哪里来回哪里去,"
　　——防控新冠肺炎疫情系列快评166
　　文|青的蜂 
　　又见回国人员不配合隔离！
　　近日，一名女子从泰国飞上海转机，到达重庆机场后，拒绝接受机场防疫人员的登记、检测和隔离要求，并放言：“我不会隔离的，我要回家。如果你要干扰我，我就告你！”重庆市委宣传部工作人员表示：“她拒绝隔离不听劝告，那就只能从哪里来返回哪里去。”
　　当前，随着境外输入病例人数不断增长，“外防输入”已成为我国疫情防控的重中之重。包括重庆在内的大多数省份，都出台了严格的入境防疫措施，这不仅是保护个人生命安全的需要，更是阻断传播途径、防止疫情输入的要求，每个人都必须照做，没有任何例外。

　　诚然，一个回国华人因为生活习惯等存在差异，对国内防疫要求可能不是很适应，然而，这不是任性、傲慢和自私的理由。要清醒看到，国内所取得的防控成就，正是靠严格的防疫措施换来的，如果人人都想搞特殊，以各种理由打破规则，那么大好局面随时会被逆转。
　　抗击疫情，最怕我行我素、无视规则。重庆方面的硬气回应，颇能代表大家的心声：我们欢迎同胞们回家，中国不会拒绝每一个游子的归来。但既然是特殊时期，就请有点“回家”的样子；如果不配合、不支持，那么，我们也不会惯着你。
　　澳大利亚“跑步女”被公司辞职，被驱逐限期离境；意大利抵京的廖某君、廖某海等8人，不如实填写信息被立案……一个个案例已经提醒所有的入境人员，特殊时期，请多一些理解和配合，不然不仅会受到道德的谴责，也会付出实实在在的法律代价。
　　【来源】 叮咚快评南方号",http://news.southcn.com/nfplus/ddkp/content/2020-03/25/content_190645666.htm
9,四名英国留学生自述：守规矩不瞒报，落地祖国时很想哭,"
　　随着海外疫情加剧，回国还是滞留国外，是摆在留学生面前的一大难题。
　　回国，留学生需要负担高昂的返程费用，直面学业暂停的问题；留下，他们则需承受海外疫情变化和应对策略的不确定性，只能储备物资安静等候；还有人因为航班取消，被迫滞留国外……

　　早前，英国的“群体免疫”政策备受关注，那里有22万中国留学生，牵动着万千中国家庭的心。但“群体免疫”成效并不可观，3月24日，英国一天新增确诊1427例，累计确诊8077例，死亡422例，病死率超过5%，当地的管控政策也再次升级。
　　近日，南方+记者采访了多位英国留学生，他们讲述了英国抗疫见闻，也分享了回国后酒店隔离的经历，以下是他们的自述。
　　Sonia 伦敦大学学院 研究生
　　参与60多万人投票请愿停课，飞机落地时想哭
　　疫情在英国出现后，有些亚裔学生遭遇了歧视，相关新闻不断涌现。2月24日，学校里一名新加坡籍学生被一群年轻人打得面部骨折。当时我们都很愤怒，学校发邮件安慰说，遇到歧视可以报告，他们会重视。
　　疫情初期，英国防控很松散，似乎把新冠肺炎当作一般流感，既不要求民众带口罩，也不停课、不取消集会。街上看起来还和往常一样，当地人有些盲目乐观，基本都不戴口罩，有时还歧视戴口罩的人。3月12日，我路过一个酒吧，看到里面挤满了人看球赛，当时还挺震撼的，有点佩服他们的“淡定”。
　　一些留学生对此担忧，向政府请愿要求学校停课。到3月20日，在社交平台投票请愿的已有60多万人。回国前一周，我基本上就呆在家里不去上课了。

　　3月7日，我订了15日到上海的机票。那天伦敦的确诊数已接近百例，但学校仍引用英国公共卫生部的建议，告诉学生，“伦敦是一个安全的地方”。
　　实际上，疫情已经在全社会蔓延。3月10日，我想买点洗手液和消毒水，跑了四五家超市，结果货架都空了。学校图书馆开始摆放免洗洗手液，墙上贴了宣传勤洗手的海报。我很疑惑，英国变着花样宣传唱生日歌洗手，却不鼓励戴口罩，还反复称“没有证据表明戴口罩会降低病毒传播”。
　　伦敦希思罗机场人很多，只有亚洲人穿得严严实实，有的甚至套了防护服。除了登机前吃了点巧克力和饼干，我全程戴口罩，几乎都没有喝水。航班时间很长，戴着口罩又很闷，我专门吃了一些褪黑素辅助睡眠。
　　飞机落地浦东机场后，机舱中英文广播“有症状的旅客要如实申报，在上海您会得到最好的治疗”，我当时很想哭，既感动又自豪。机场的工作人员都特别温柔，没有因为工作量太大就不耐烦。我拿到检疫的绿色标签，就到定点酒店隔离了。
　　小噗 伦敦政治经济学院 研究生
　　回国航班出现“插曲”，担心学业完不成
　　疫情在伦敦出现后，我开始戴口罩上课，因为其他人都没有这么做，感觉有点怪异，但却被教授夸“看起来很棒”。
　　看到有朋友因为疫情专门回国，我最初还觉得有些夸张。3月12日晚上，我看到了英国卫生部长感染的新闻，连夜开始查机票。我想，连英国的高级官员都能感染，那防控体系可能确实存在疏漏。后来几天，确诊病例持续攀升，疫情形势急转直下，有英媒称一旦疫情大规模暴发，医疗系统将无力应对。
　　买到机票后，我一直担心出现航班取消或者中转国禁止入境的问题。当时有一个空管网站公布条款称，中国人不可以在新加坡中转和入境。伦敦希思罗机场以此为由拒绝了不少中国人登机。

　　这是对条款的误读，新加坡移民局、新加坡航空和樟宜机场都没有出官方声明。我很着急，打客服电话、发邮件咨询，才了解到，只要满足三个条件就能登记转机：行李直挂；14天内未去过重度疫情国；同一家航空公司联程票。后来机场核实了实情，就没再听说有中国学生被阻拦。
　　3月16日，出发前一天，我又去了一次大英博物馆，路过的几个公园里还有很多人野餐，喝下午茶，没有人戴口罩。
　　离开时有些不舍，那时街上很空，我推着箱子还拍了几张宿舍的照片。研究生学业还没完成，租住的房子9月到期，我不知道英国疫情何时能控制住，也不确定能不能再回来。但能顺利回国我已经很知足了，待在隔离酒店也觉得安心。
　　Doris 伦敦政治经济学院 大二学生
　　谨遵规定申报隔离，望得到网友的理解和支持
　　华人留学生有自己的圈子，会及时分享疫情信息。3月13日，英国首相鲍里斯宣布实施“群体免疫”政策，并称“未来会有很多家庭失去亲人”。那天，学校也邮件通知停课，父母立刻帮我买了17日回国的机票。
　　当时已经没有直飞的机票了，转机价格要比以前贵近三千元，我和大多数留学生一样，从新加坡转机。
　　当时，伦敦希思罗机场只有常规安检，没有防疫的特殊程序，地勤人员都没几个戴口罩。
　　新加坡飞上海的途中，空乘发放了健康申报卡。落地后，报到名字的乘客分批下飞机测温，然后再扫几个二维码，填写身份和航班信息。据此，工作人员会给乘客护照贴红、黄、绿标签，分流隔离。英国是疫情防控重点国家，所以我拿的是黄标。
　　登机和落地两个机场防疫工作的差别，让我更坚信回国的决定是正确的。
　　我住的隔离酒店在浦东机场附近，一天200元，环境比较简单，但每天都有定时送饭、消毒和测体温。父母给我寄了很多吃的，知道我回到祖国，他们就放心了。
　　我很反感那些瞒报病情、不严格隔离的归国者。但那毕竟是个例，有些人却以偏概全地反对留学生回国，甚至“污名化”地把近期归国者等同于“输入性病例”，这让我感到遗憾。
　　其实，我和身边的朋友都谨遵规定，落地之后按流程申报、自费隔离。在此期间，我们都尽可能地避免对社会和防疫人员带来麻烦，总是“谢谢”“辛苦了”说个不停。我也希望大家能体谅留学生的遭遇和感受，给予更多的包容和支持。
　　蛋宝 伯明翰大学 大三学生
　　花5万元买两张机票，每天醒来首先确认航班没取消
　　每天一睁眼，看到病例数持续激增和取消的国际航班日趋增多，我都异常焦急。
　　我决定回国时，所剩的航班已经不多了，机票价格更是飙升。我买到了两张3月31日回国的机票，中途从荷兰转机，一共花了5万多元，这是平时价格的四倍。
　　等候的这些天里，我倍感煎熬。学校停课后，我每天窝在家里上网课，不再出门。我提前囤积了食物，拿外卖都会反复洗手消毒。
　　回国的旅程在我心里已预演了许多遍。我会穿医用防护服登机，从头到脚包裹好自己，戴好口罩，不吃饭不上厕所，坚持十多个小时等待落地。我害怕在飞机的密闭空间中被感染，更不想把病毒带回家里。

　　最近和朋友聊天，听他们反馈酒店隔离的生活还可以，我羡慕他们能顺利回国。英国“群体免疫”成效堪忧，从3月12日到23日，英国确诊病例数从不足600例激增到6650例，不到两周，翻了10倍。
　　3月23日晚，英国首相鲍里斯宣布升级管制措施，要求所有人非必需不出行，一律待在家里，禁止非同一家庭2人以上聚集。这倒让不少留英抗疫的朋友略感安心，他们已经储备好物资，做了长期居家的打算。
　　但我还是会止不住担忧：航班能不能如期起飞，中转国让不让乘客入境，飞机上会不会被感染病毒……所有的焦虑和不安，只有飞机在祖国落地的一刻，才能消解。
　　（截止发稿前，蛋宝从伦敦飞荷兰的中转航班已被取消，他在积极寻找新的回国航班。）
　　【南方日报记者】刘珩
　　【实习生】易欣然 赵子周  
　　【来源】 南方探针南方号",http://news.southcn.com/nfplus/nftz/content/2020-03/25/content_190643511.htm
