,2020-03-14
0,苏北以北喝咖啡：竟然都动起来了，不给我川普面子啊
1,共16条回复
2,七七七彩草：终于看到有除中国外的国家官员戴口罩讲话的了 莫名有点欣慰 祝早日控制好
3,共11条回复
4,橘子是战战的呀：严管严控，谨防扩大传播，出门卡啊，河南村长小喇叭用起来。
5,磕冰bot：特朗普确诊了吗
6,共14条回复
7,每日甜份：作业抄的挺快
8,共3条回复
9,是风雨呀：学霸出现了
10,共1条回复
11,Mommytofcc：加油！！！
12,共3条回复
13,尤宝er：拿作业，赶紧抄
14,原来是涓涓呀：严防严控 ！加油委内瑞拉
15,肖战闯世界1005：反应比较迅速，学到中国的精髓了。
16,iMD_小小小倩：祈求不要在蔓延了🙏
17,__凉城小街：一定要严防境外输入，全世界加油吧
18,未来可琪c：加油
19,于工只想做一只安静的小学霸：所以反过来理解就是。。。。其他国家没人性
20,共10条回复
21,天师-卡赞：别是嘴上功夫，一定要记住，谁不以为然，谁煽风点火，谁袖手旁观，谁雪中送炭……愿当地情况早日好转
22,黄河龙88888888：条条大路通罗马，这句话以后应该改一下，只有中国通罗马！
23,共1条回复
24,小发童孩：这就是我们大国风范
25,共2条回复
26,ddddddwsy：好吧，感谢你们1988援建成都，512救援汶川，所以这次成都医护主动请求的。期待你们快点好起来。
27,共1条回复
28,雨纾曦：中华民族真的是一个伟大的民族！
29,共2条回复
30,bob_ava：意大利是西欧唯一的一带一路成员国，我们展现出的大国担当会让更多的西欧国家加入一带一路
31,欢甄换：不求别的，平安归来🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏
32,椰子钵仔糕：“欧洲其他人却没有这样做”非要说这么明白吗
33,Jhgfiutrjjh：就这样，去了多少人送了多少物资，都应该让他们国家的人知道的一清二楚。之前我们的就太糊涂了，有很多都是华人筹备的，结果却是别国打着捐物资的名义上的热搜，后来再澄清也没几个人知道
34,Rea10：希望意大利记性够好，以后也有人性
35,巨C的辣白菜：世界和平吧，没有灾难，大家都能安定生活
36,White_樾：平时就没有人性了？？？
37,一斤小丸子：希望可以感恩吧！命运共同体
38,-董扬扬-：刚刷视频还看到意大利政客说中国传播病毒！物资是中国人欠他们的！真的寒心！人心和人心真不一样！
39,共8条回复
40,天平C：人家来不来参加还是个问题
41,kingroyal：如期举办最大的可能就是只有日本本国运动员参加，并且包揽冠亚季军所有的奖牌。
42,Carrie__Lam：我就想知道还让英国参赛吗
43,就这一个晶晶可乐：运动员要是病了，整个职业生涯可能都要搭进去
44,玉之助的圈外女友：emm...哪里来的迷之自信
45,我还以為：到时候就看谁去了
46,大师兄脚踏七彩祥云：还不如推迟一年呢，没人去不是照样赔钱 ！
47,傲立松群：我敢赌100%取消或者延期！
48,himissmo：这时候没必要玩命
49,天天天天天飞：心理学里面 越是强调什么就越是害怕什么
50,鉄腕AstroBoy：安倍在试图维护其最后的政治遗产，但是不看好能如期举办
51,晚上不睡觉的猫M：奥运会如期举行，日本运动员包揽冠亚季军所有的奖牌
52,自己人_XOXO：唉，只能表示同情~
53,住在岛城：湖南很硬核
54,i送你一个大西瓜：汨罗那几个人？
55,胖胖甜豆包：无症状的 不计入确诊病例和疑似病例 我们这边也是这样计算
56,TheScores：岳阳是无症状，不计入确诊病例，全国各省都是一样，另外统计，这是确诊诊疗方案，全国通用
57,全丫头的妈咪：我国总算消停了，一月底我就跟同事说还要过一个多月，要过了三月份才会消停，果然如此。古人诚不欺我。
58,全丫头的妈咪：祖宗总结留下的规律:       瘟疫:始于大雪、发于冬至、生于小寒、长于大寒、盛于立春、弱于雨水、衰于惊蛰。        千百年来，发生在中国的历次瘟疫都是按这个规律始终的;中国古老的历法一次次证明着这个规律。
59,大眼怪吖：境外输入的现在源源不断呢别高兴太早 没停航 一堆人瞒报 偷偷溜回来
60,共3条回复
61,吃点好吃的哈哈哈哈：辛苦了(≧∇≦)/！！
62,简直周上进：喜极而泣
63,眉目不争秋80084：很开心
64,Ferny在行动：想知道湖南的大学什么时候开学
65,海桑hero：教育厅发布的3月不开学 4月以后了
66,周小贱摄影师：昨天不是查到汨罗有几个无症状感染者吗？
67,五味沁心雨420：无症状的会隔离，但不会作为确诊病例，如果无症状后期出现症状才作为确诊病例
68,共2条回复
69,雯雯貓貓貓：湖南確診全部清零，惟仍應審慎樂觀，注意清潔，小心反灌，別把取得的奇蹟級成績，扔窗外了
70,雯雯貓貓貓：向為你我放下心中所愛，高風險高強度下工作，守護平民百姓家的每一位前線醫護致敬。。您們在戰疫下，是如此的壯烈，無懼無悔，咬緊牙關，把時間，和生命，從死神手中，直接並拼命地搶回來。。 ¡查看图片
71,王文999999：清零不代表零风险，不能放松！没看到境外输入病例越来越多吗？
72,王文999999：一直有输入性病毒  现在很多人已经放松警惕。现在是胜利了嘛请问？清零不等于零风险……现在有很多输入性病毒一直存在
73,我是美女Va：中国牛逼 ！所以医护人员都辛苦了
74,晓松锅：报道上昨天还有一名重症病人，突然就清零了
75,永藤小芽：高中啥时候开学安排一下吧
76,北雁兮南飞：不期待，疫情過後再拍也不遲嘛！
77,啊呸516_6055：乃阿，你人过正喝吗？
78,共4条回复
79,泠洇：期待，好片不怕晚
80,陈禹诺：神奇动物3！！！
81,dd88什么时候跟嘉行解约：等，期待以后上映
82,诺式媒女：🙏🙏🙏还是要注意安全啊。。。。。
83,上海的宋三：作死
84,晓胡飛刀：期待神奇动物3
85,你知我心：期待 等疫情过去 上映
86,Stardust_49：我们期待电影，但更期待所有人平平安安！
87,迪亚哥娃娃：
88,L胤安：
89,蔻涩星星布丁：期待上映。但是还是注意安全啊！！
90,学习群众特派员：等疫情过去再拍吧，真的怕了
91,仙女店主-：好片值得等待
92,每日甜份：这是很正确的了，希望可以有效控制一些
93,北美sick人：回复@material_world:我也是个诗人
94,带着小猪去遛狗：回复@格日勒图_ZS:亲，这边建议您自己割掉呢
95,共9条回复
96,soso的紫小昕：这是最近采访里我看到的唯一一个戴口罩的！
97,曼曼9137：毕竟是社会主义老铁
98,mengmengng：而且佩戴方式正确
99,共9条回复
100,新香耶青：高度重视疫情和采取果断的措施，做得好
101,摇摇尧123：牛逼，两例就关闭娱乐场所了
102,努力努力要努力了：反应挺迅速
103,共3条回复
104,宋小喵80：早发现早隔离，早诊断早治疗！越早越好
105,攻无不克超超哥：特朗普：寡人无疾
106,珞静ii：畏疾忌医
107,愿你向我看：只要不检测，就不会得病
108,共3条回复
109,--众里寻她--：抄对作业了，比民主的发达国家英国瑞典强
110,吃核桃不吐核桃皮的陈半仙儿：终于来了个知道一开始就要抄作业的了～
111,幻觉欢笑声：另一个总统表示不服
112,2014明心8：不错，戴上口罩了。
113,磨罗古0700：预防比治疗重要，领导这么重视，一定能守好国门的。加油
114,疯疯60：计划生育好，留学生是宝。 人才是幌子，腾笼来换鸟。 老外很幸福，妹子随便找。 条例一通过，资产往外搞。 子女入外籍，两国随便跑。 不怕群众骂，出国来养老。 给你输黑绿，华夏人减少。 打垮凝聚力，我好来割草。 副驾右转弯，力量真不小。 锅让主驾背，让你自己倒。 百姓要理性，坚定拥一号。
115,攻无不克超超哥：现在真假已经不重要了，除了中国，整个地球乱成一锅粥了
116,mountain_99：有利于巩固政权！
117,memory040408：每个人都应该重视这次的疫情，尽管中国已经快结束了，但是我们仍然不能放弃防疫，2020年我们中国人再一次团结抗击疫情，相信我们会更有经验，这是血的教训，也是我们中过精神，中国力量！
118,共1条回复
119,贾永方：有些东西，最初不重视、太轻敌或不及时处理，后果是非常严重的。-贾永方。
120,韩德强2018：英国人不同意。他们说，无所作为是最好的作为。大规模感染，获得免疫力，少数年老多病者自然淘汰。  世卫组织和英国开一场辩论会吧？
121,长江政经：希望《凤凰卫视》、《央视“CGTN”》、联合国和世卫组织一起去采访获得加拿大最高奖总督奖的华人邱香果女士，她攻克了埃博拉病的治疗，她于去年七月被带离实验室，这对人类对抗SARS-COV-2、Covid-19和疫苗药品研制十分不利！
122,Technology-Daren：目前疫情正向全球蔓延，我们面临着各种不确定的风险和挑战。同时，放眼世界，国际竞争更加激烈，国家发展面临更多挑战。中国年轻人需要拓展全球视野，共同助力打赢病毒阻击战、经济复苏战、民生保卫战、国际舆论战和中美博弈战，以“人类命运共同体”的理念与格局开创更加美好的未来。
