,2020-05-06
0,你打我哇：现在还记得台湾那个最开始分析的，美国检测到了所有原本及变异了的病毒样本，而中国只有其中一种
1,共11条回复
2,阿里八八九九：为啥我国在武汉先爆发，不就是军运会各国都来了吗，很好解释
3,共50条回复
4,Hi_Summer小姐：等查出真相，武汉人民可以申请赔偿吧
5,共11条回复
6,梦饮千栎：恶人先告状
7,九黎子民：某国家故意瞒报，没及时上报病毒给WHO，造成病毒全球流行。澳大利亚森林大火持续燃烧8个月，造成全球变暖加剧。 全球都该索赔。
8,共7条回复
9,夜神月080421314：查出真相之后，武汉人民是否向真正的传染源申请赔偿？
10,共8条回复
11,西窗竹雨：自由的病毒，生长在自由的USA！
12,向南JACK：率先发病，装聋作哑！中国责任，却被到处指责，这究竟是个什么世界？中国人民的损失谁陪，中国人民为了世界福利所作出的努力谁懂？
13,你有故事我有狗2114：#新冠病毒被指去年12月底已在法国传播# 🙊🙊🙊离真相越来越近
14,墨迹_小布点儿：啊，都查出来了特普朗怎么甩锅呀？
15,白黑配：证据越来越多!
16,珊珊c闪闪：
17,默默De操盘手：讲真话，实事求是，诚实的品格受到尊重
18,共1条回复
19,陪杨超越扶摇直上九万里：继续挖深点，最好是把电子烟和白肺病的事搞清楚。
20,飘浮在哪里：感觉这才是人类共同抗疫的正确姿势，否则咋能找到疫病的真正源头和正确的防病措施呢？希望通过甩锅中国获得竞选连任也得自己抗疫有成效才行；想通过甩锅中国剥夺中国和人民的财富，也得看看是否受的住中国的反制措施和中国日益强大的政军经实力才行；否则恐怕是竹篮打水一场空，或者是偷鸡不成蚀把米。
21,不熬夜肠胃好不掉头发好好学习：！
22,今天四川大学也该开学了吧：清醒点，国外媒体跟我们思路不太一样，他们觉得越早在他们国家发现感染者就越能说明咱们国家疫情防控做的不到位。警惕
23,共1条回复
24,吴许薇氏：美国政客防疫不利 ，甩锅中国推卸责任，美国佬真坏！
25,雪纳瑞Oscar：这些报道海外能看见吗，现在还在一直在埋冤中国
26,会会黑黑：科学分析得出结论。某些国家不要再甩锅！
27,共6条回复
28,我喜欢的猫名字叫娘口三三：简直把我们武汉人民害惨了
29,卡卡_玉：我为祖国点赞（｡ò ∀ ó｡）
30,睡懒觉的猫猫_：别再甩锅给中国了好么
31,北京天文馆詹想：所以其实只是中国最先引起重视并且公开报告……
32,不必等在手机前：好！以后就以可知的首发地命名了，美国人发明的
33,Ray周睿：去年美国的流感大流行里其实是否有很多就是新冠？细思极恐啊！
34,阳光淳影-：转发微博
35,浅叶asaiha：转发微博
36,Anabella2552：欧美列强又哭了，又不能因为新冠肺炎和中国签订不平等条约了
37,共1条回复
38,是一个苹果：哦豁 公知们进来挨打
39,共1条回复
40,老人与海的卡洛琳：一想到去年12月在法国的我，瑟瑟发抖～～
41,青春的青青子衿：真是帅锅中国，武汉人民太无辜了
42,一小笼居居包丶：或在？能不能确定，每次都是或许或在可能，这些词，我们要的是一个肯定的真相，是一个彻底洗清我们冤屈嫌疑的确定
43,Xiaotong桐：美国真是最无赖，最不要脸的国家，甩锅第一名
44,妮佳198606：特朗普就会甩锅，这回清晰了吧。
45,软绵绵甜心：如果去年全世界各个国家就公布真相加强防范，也不至于今天这个样子吧
46,梨开的岁月：转发微博
47,Lionel-Luthor第二：突然反应过来这可能就是美国放任而不防控的原因-如果采取了积极适当的防控措施但还是有巨大的感染量，那直接证明美国早已传播多时，像现在这样消极布防那就无法分辨巨大感染量是长时间传播还是防范不到位导致的。你只能有疑，却没有实证
48,百草堂中药养生：其实西方恶魔病毒出现最早，很可能2019.年秋季就有了！还有脑残公知在为西方洗罪！洗不净的！
49,cc雨绫：可是西方的脑回路，还是会觉得中国没早早发现而传过去的
50,知秋她爹：说实话，这种自己打脸，也要查出事实的勇气，是值得敬佩的。
51,咆哮的驴打滚：索赔？
52,bernie留：点融高利贷，阴阳合同，借10000合同写13000，一年下来要还16000左右，给上海市政府以及经侦反馈根本不管。 点融收割完借款人，要退出了又来收割出借人，点融这么高的利息，30%的逾期也不可能亏钱，钱都被洗走了。 另出借人看的借款合同根本不是原始借款合同，一部分已经被点融收割走了
53,幸福的方佳：恶人恶搞最终报应到自己，恶人想解害有别人最终害自己。特不靠谱的手法就是小人，下三烂。一肚子的坏水
54,仗剑天涯霜满天：那2019年9月18号微博“武汉身边事”刊发的那条微博说是在武汉机场发现一名冠状病毒感染者在原微博报道中最后说是演练？到底是真是假呢？
55,阿里-席学刚：转发微博
56,慢老师：其他的地方发病都没有把样本送检，查原因吗？
57,小飞侠278：不管从哪爆发，所有生病的人都赶紧好起来吧
58,与我两人：但为什么国内现在不查查12月份及以前有没有呢
59,Tao_zyy：想看国外的报道。但是看不了
60,乐了乐了乐：我觉得是澳大利亚出来的蝙蝠
61,秀咪考拉：华南海鲜市场比窦娥还冤
62,科技改变生活16：只不过中国因为有sars教训，中国医生更加敏感。
63,回归的燕子zy：收集证据 告美国赔偿
64,刘瑞洋啊你呀你：最怕的是到时候会隐瞒事实真相。
65,灵魂经过的艳阳下：那么问题来了，说中国实验室有问题，现在来看是西方哪个国家的实验室有问题啊？
66,喜欢奥利奥CLA的嘉嘉：中國是吹哨人
67,翎毓：害怕且细思恐极
68,Scott121：别再查下去了，不然怎么甩锅中国
69,凯子家的小liao：特朗普：假新闻 下一个
70,是迷糊不迷路：2019年12月底1月份的时候，我都出现了反复发烧，喉咙干疼的症状，家里七口人都出现感冒症状，孩子也是反复发烧，那时候只在家里诊所包了药，没去大医院，也不知道是不是流行感冒！那年那段时间感冒症状的人很多
71,共1条回复
72,salsaangel：@源穜 国内的话会进行尸检嘛？
73,共1条回复
74,salsaangel：@源穜 国外真的敢说，说实话
75,共1条回复
76,么么呆小妖怪：1.事实证明，中国不是传染源所在地； 2.想问一下抗体是如何产生的？
77,十一月二十的那刻：美国病毒，妈哒，可以告美国吗，因为它，4个月没上班0收入了
78,JER-先生：川普:这是个假新闻，下一条
79,团年小饭团：怪来怪去有意思吗？
80,咋又饿了捏：去年我们的流感也很严重，期末很多学校都停课，我们班也停了一段时间
81,Monsieur孙：但是法国媒体报道的是病毒起源仍然是武汉，只不过中国政府在十二月才报道第一例。
82,飘摇暖流：呵呵
83,Envelop-G：也就是说病毒早就开始传播并且致人死亡，然而只有中国将这件事报导并采取措施，别的国家在看到中国采取措施之后，纷纷表示自己“被传染”，实则是一个全球性的阴谋！
84,leolin80：要警惕哦，我们是觉得国外越早发现病例，起源就越不是我们，但在很多欧美人看来，国外病例发现越早，说明我们瞒报越久越严重，在国外媒体掌握国际舆论主导权的情况下，他们会用后一个解释来进行引导并给我们施加更大压力
85,这个小曼棒棒哒：糟糕的CNN，把他赶出去
86,吃瓜不信瓜123：转发微博
87,晓然于此v：最早报告病例的，并不一定是病毒的源头呀
88,网事如风_95540：CNN？ 是那个被骂fake news的CNN骂？
89,章鱼show啊showshow：一个逻辑：既然这个消息都是西方国家自个儿披露的，又不是我们派人过去调查的。关于双标的问题，你既然不相信外国人对中国的报道，那你为什么要相信外国人对他们自己国家的调查呢？能不能有点原则啊？
90,正一必胜：破朔迷离啊
91,"xcDavid：你们这是要逼特朗普去""跳楼""啊？！"
92,仰望混沌：你和他们讲证据，奈何他们和你耍流氓啊。
93,月在孤城_lu：快点查
94,钻进钱眼儿里的妞儿：所以之前美国的流感？
95,一只龙利鱼：我都中国才是被殃及的池鱼，去年搞的军人运动会的鬼
96,临临渊鱼：@Kian黃少奇
97,绝情的路过：
98,矛盾的路：会不会是西方人很少用抗生素，所以前期传染力和耐药性比较弱，但是传入中国以后，在中国人身上走了一圈以后传染力和耐药性就增强了呢
99,在回忆里的你i：美帝那老头肯定又说，这是假新闻，下一个
100,战略安全与军控在线：转发微博
101,嘟嘟不好吗：该给中国赔钱了
102,蜜之源0909：所以，米国解散疫情防控小组以及英国的群体免疫大概是因为对此知情的，一方面无力，一方面怕漏底吧！
103,無毒娃娃之晴天霹雳之：难怪特朗普之前说中国应该在9、10月的时候告之世界，原来特朗普政府第一个知道新冠在9、10月份就开始在美国传播，所以想强迫武汉吃死猫
104,KYUNG5555：转发微博
105,说是那么说：可把吃野生动物的冤枉够呛。
106,黯然何以销魂：军运会
107,Dtan1992：美国病毒🙃
108,肥橘你好：瞒不下去了
109,熠狮ZOBOR：@方方
110,Coven-Lee：还有那个国家你这个早?
111,彬蒂：转发微博
112,双子座-余：知道瞒不住了，就提前甩锅
113,削支铅的卷笔刀：应该让更多的人看到
114,绿柚柚子：还要甩锅给中国吗？
115,李太阳阳阳旺旺：
116,ZTZ-99：psa？
117,孤单又灿烂的女鬼：哈尔滨户口现在进京需要什么条件吗
118,中流击水三千里：一个最最简单的道理哪个国家感染率高哪个国家基本就是病毒原发地，美国检测出来的抗体率高达20%多，相当于已经有6000万人感染过新冠肺炎，如此庞大的数字绝不是三四个月之内所能实现的。
119,tzoohh：虽然这个趋势很好，但除非有研究明确指出新冠源自于某个外国，外媒肯定会继续鼓吹是由于中国隐瞒所以导致一直都没有发现新冠已经在传播。
120,网恋被钓一万次：病毒的老家在自由美利坚
121,玉面超大_608：优秀的吹哨医生只有我们有
122,wojiushibuxiangxiezhongwen：没用的 他们还是会说是中国传过去的 是中国瞒报。你没办法叫醒一个装睡的人
123,耶稣听佛祖吹逼：自己编辑新闻给自己人看，自己人看来嗨的不行。呵呵
124,周周先生369：没用的那些国外的脑残甚至一部分国内的还是会认为从中国传出去的
125,没有--最重要：专家、科学家在行动。
126,执着菱角：转发微博
127,ZQ深知不受喜：.
128,雪山飞狐6351813039：美国查吧，美国病毒可追溯到那个美国生物实验室基地的关闭时间，就是美国病毒起源的开始，新冠病毒在西方国家开始流行！
129,旗兵天将999：真相越来越近，源头越来越远！
130,难归ii：不好意思，中国的大部分后浪们压力也是钱，视频里面的后浪只是小部分罢了。。。
131,博哥呀小邓：中国后浪钱压力来自于追求更好的生活水平（想住一线城市），但只要你能考上大学，公立学校学费四年绝对不超六万块。就我个人来说，贷款学费四年，不到两万五，毕业第一年就还清了，而美国高等教育学费吓死人
132,I-hate-my-name：完全不在一个层次，国内是赚钱难，买房难，美国你只要上大学基本如果不当医生，律师，十年赚的钱全基本都得拿去还债，一分钱赚不到。而医生律师这种，在美国一般人也读不起，
133,共136条回复
134,海陵岛胖哥：你和她谈中国，她和你扯美国，似乎美国如此，中国就该也一样
135,骑羊的猎人：小王在谈美国，你非扯中国
136,花非花画非画花画画画中花：人家谈美国是本职工作
137,共58条回复
138,十35312：好吧，我们世界第一，美国一直在烂，烂了几百年还是超级大国，的确太烂了，烂成超级大国的确不对
139,紫外线强度适中：美国1776年建国，到现在历史不到三百年，成为世界大国是二战后，到现在不到一百年，成为世界警察（也就是你说的超级大国）是干趴了苏联后，也就是1991年开始，到现在30年，我建议你稍微多读一点书
140,青青0112： 你是脑子有病，就以为别人都跟你一样有病吗？中国一直说美国才是世界第一，但承认美国第一和说美国的问题，一点都不冲突，我就奇怪了，美国天天骂中国，中国说说美国的问题就不能说了？你美国爹给了你多少钱？
141,共45条回复
142,单枪破双枪：关键是大部分专业没用，一个社会，如果超过五成的学生学人文，法律，新闻，哲学，艺术，历史这类装点门面的专业，这个社会基本上就走在灭亡的道路上了
143,荡漾的紫陽花：翻白眼，没有这些社科类知识那真是有机后浪任人宰割996福报，无产阶级造什么反打个什么劳动纠纷官司哟，还有人真以为可以无视分配关系蛋糕无限做大，你有命做大有权分么？
144,共28条回复
145,luckluckyy：美国最近不是一直给民众在发钱吗？
146,荷叶伞教育总部：发了钱就是通货膨胀啊。东西会涨价
147,乌漆麻黑巴扎嘿：杯水车薪
148,共39条回复
149,米在哥哥：韭菜到了美国还是韭菜
150,CZJ枫林：米国顾着割别人的韭菜，没想到自家的韭菜枯了……
151,共3条回复
152,离人间远一点_：我们虽然也缺钱，但并没有像美国毕业生一样2、3W刀的高额负债哇…
153,紫外线强度适中：2、3w刀？你是不是还往高了说的啊？美国人助学贷款十几二十万比比皆是，2、3w也能叫高额负债
154,江南漠北丶：工资水平不一样啊
155,共14条回复
156,艾伦林Z：哈哈哈哈，别看了，那个《后浪》都是前浪在刷屏，真正的后浪根本不关注
157,守护最好的宽眼距：确实哈哈哈，而且前浪大部分我觉得都是在怀念青春罢了
158,白帽牛仔：中国虽然收入低，但是房价高啊；虽然人均低，但是富豪多啊；论后（韭）浪（菜）还是中国的好
159,魚澄洞主：嗯嗯，美国总统一声呼吁，美国的韭菜们就老老实实的回去生产工作，自由的接受“群体免疫”理论，不惜牺牲自己健康和生命去努力维持企业运转，为资本家攫取超额利润。论觉悟还是美国的韭菜们更胜一筹。
160,青铜剃刀：即使六个钱包，仍然为房贷奔波的后浪们，感觉半斤八两啊
161,从小爱当航空兵：我终于解开了谜团，要求复工的都是背负了巨额贷款啊，太惨了！
162,启迪91029：就是小额贷款这种贷款可千万不能贷你贷款的话就会像滚雪球是越滚越大把你的家底掏空要是贷款的话就去正规的银行否则会吃亏的
163,Litohahaha：为什么不打标点
164,以昆：回复 @望不尽的西山:这样呀，孤陋寡闻了
165,共4条回复
166,楚汉大师：中国的后浪压力不仅是钱，还总想着把前浪拍死在沙滩上
167,w就是幸运兒：现在美国的前浪不正在被新冠拍死吗，后浪还在外面浪
168,希望种花家好好的：不念大学就只能打工，读大学就要还贷。天下没有白吃的午餐
169,爱灿妮儿的心：不好意思 可能比起美国的后浪 中国的后浪们更悲惨一点 不要抨击我 我说的是事实
170,数学系可爱冠军_：真无语=_= 博主仅仅是在说自己看到的美国青年有哪些样子。第一没说“全部”，第二没踩一捧一表达主观性观点。评论里有些人上赶着阴阳怪气什么哦？ 哪句话戳痛你们了呀？
171,织女湖畔的渔夫：社畜青年？
172,鹏城小胥：国内的后浪也不容易，996，高物价，房贷
173,君心自晏然：图片评论 ¡评论配图
174,南無法帝的微笑：图三，冰汝姐姐太美，好羡慕嫉妒恨，那个大男孩儿 @王冰汝
175,锦鳞吸海垂虹：冰汝你也是后浪！
176,儿事國谈莫：后浪们浪不起来了
177,NaranjaAdorable：有个东西叫financial aid...
178,瓦尔特在2020：霉地太有钱，霉地又太没钱。钱都去哪了呢？
179,妳發如雪凄美了離别：我的压力也是钱，除了钱还是钱
180,Melmel2018：冰汝，请问你知道现在绿卡的直系亲属可以去美国么？谢谢！
181,空谷雪山：瘦冰，为了码字，这么晚没睡，太难了
182,Legolas_Li：前浪们在那里低吟浅笑
183,曼陀罗环球365：谁发明了货币?
184,东京职场小白：曾经有一次我写了条微博讨论发达国家中的「社畜现象」，有位网友留言说：美国哪来的社畜？当时看到这条留言真的把我逗笑了。也许在很多人的潜意识里，「社畜」一现象只存在于日本。抛开别的不说，在美国囊中羞涩的年轻人群体是真的多；要说哪国年轻人活得最痛苦这个答案无解，但美国绝对远谈不上轻松
185,紅茶騎士團的昏睡騎士：冰汝委婉地表达了自己的看法
186,孟凡志的凡：转发微博
187,西湖食家：山川汇海，风月同天，一起奔涌吧！
188,共工_88119：中国后浪诸多的压力来源就是：房！
189,冠宸：美国的后浪有多惨？生不逢时，负债累累还丢了饭碗。—— 能称为浪 成为狼 是必然更是机遇与挑战。
