,2020-05-26
0,HZ的selection：这配图。。
1,掰了个呆们：工资又低，活儿又累，要求还多，夜班还多…………
2,每日甜份：提高医护待遇，人自然就来了......
3,宅女追剧：需要提高医护人员工资才会吸引更多的人
4,幻觉欢笑声：就业前景非常好？这话你自己都不信吧
5,瑞博格兰特：劝人学医天打雷劈
6,妞妞你慢慢走：现在的医院不好进，尤其是三甲医院，没有人脉关系钱财不得理你，我朋友在三甲医院规培一个月2100，全医院最低价位，规培护士免费劳动力，工资最低。还倒贴自己租房子住，每个月的水电费房租费用一大笔，2100的工资不够用，还得靠父母补贴，大家说该选护理吗？
7,奔跑的疯子鬼：呼吁有什么用，凡是要呼吁的都不咋的，提高工资待遇才是王道，工资低还容易被大，鬼才干护理呢
8,军文小哥：女孩最好不要学护理，就业率高是因为跳槽和辞职一大堆
9,我爱芒芒果呀：待遇够好，自然会有更多的人选择
10,青藤莫离：你说缺口大，可也要人家医院招啊拿着证进不去医院的多的是
11,奔跑的云啊：说到底都是待遇问题，不光医护
12,白头鹞MarshHarrier：提高待遇别一句白衣天使夸完就没了，不用你说也会有人乐意做，疫情期间微博上几次有医生护士拿了补助又被收回去，我也没看见有解决的博文，辛苦一天还要被骂可能还得被打也没多少钱，你当普通老百姓做慈善的吗？
13,婷婷爱北北：工资又低   干活又多用生命熬夜上夜班 还得不到家属的尊重 “ 我怀着一腔热血踏上行医之路，最后却命丧于自己的信仰之下。”希望这永远都只是一句玩笑话
14,楼下八号座：待遇不提高，啥呼吁都没用
15,李总的小西门：工资低，活多，还不受尊重，都想辞职了谢谢
16,大佬的害羞鬼：需要那么多护士，为啥很多医院门槛还要那么高？但福利待遇真的不怎么好，一个医院招聘护士，成千的人去争几十个名额，只有被选上那刻是快乐的，之后就会有熬不完的夜班和考试，再加上新护士容易被欺负，女人多的地方科室氛围太重要了，熬夜伤身体，等到水蜜桃熬成黄桃你也就差不用夜班了，
17,梨梨梨咿咿咿咿：呵呵，又累工资又低，还被人看不起，要不是和医学有点关系，又有多少人愿意呢
18,人生有限快乐：千万不要报考
19,浅白色的蒲公英：听医院工作的同学也是说未来护理行业会非常好
20,一博的小电车：就业前景好？？？你们真的了解有多少护理专业毕业生找不到工作吗
