日期,内容
2021-01-03,伊利
2021-01-03,严防外来货物的人员！
2021-01-03,伊利躺枪哈哈哈
2021-01-03,阿尔法突袭
2021-01-03,考试是不是不考了？
2021-01-03,不是抚顺口音就是通化口音
2021-01-03,中国人民，准备备战了
2021-01-03,伊利=一例大哥们别这么傻
2021-01-03,挖槽，什么情况啊传这么多
2021-01-03,过年了又开始了…………
2021-01-03,有疫苗了，感觉不是很慌
2021-01-03,加油啊大连
2021-01-03,这么厉害？！
2021-01-03,研究生的这个太惨了吧，准备那么久的考研
2021-01-03,加油
2021-01-03,祝大连安好
2021-01-03,快请国师
2021-01-03,大连为什么总断不了。
2021-01-03,打疫苗
2021-01-03,沈阳1传18感觉也挺多的
2021-01-03,厉害了
2021-01-03,又要戴口罩了，唉:-(没完没了的
2021-01-03,这也太恐怖了
2021-01-03,擦，会不会变异的？不然传播这么厉害
2021-01-03,1比33厉害了，超级传播者
2021-01-03,海蛎子味
2021-01-03,研究生考试那个心态崩了
2021-01-03,一例
2021-01-03,冷链…
2021-01-03,大连加油
2021-01-03,卧槽
2021-01-03,伊利？
2021-01-03,il
2021-01-03,中国人民别泄气，警惕起来冠病祛
2021-01-03,看来今年还是在家过年
2021-01-03,希望平安
2021-01-03,东北话
2021-01-03,？？？
2021-01-03,说白了还是不重视，好多地区十月份已经不戴口罩了
2021-01-03,大连加油
2021-01-03,纯东北大碴子味口音
2021-01-03,？？？
2021-01-03,辽中辽北口音，不是大连口音
2021-01-03,伊利？？？
2021-01-03,。。。。。。。。。。。。。。
2021-01-03,防不胜防啊！这！太TMD吓人了
2021-01-03,春节千万别反弹！
2021-01-03,伊利全禁止吧
2021-01-03,卧槽。。。
2021-01-03,卧槽
2021-01-03,伊利？
2021-01-03,这大碴子味
2021-01-03,已经防不胜防了，希望早日战胜疫情
2021-01-03,沃日
2021-01-03,卧槽，这么恐怖吗
2021-01-03,因为大连是沿海城市，货物运输人员流动都很大，所以传播快传播广
2021-01-03,切断输入源吧
2021-01-03,最近好多感冒的
2021-01-03,这辽宁话挺正宗
2021-01-03,咋整啊山东的表示很害怕
2021-01-03,大舌头好亲切
2021-01-03,加油大连
2021-01-03,我大连快好啊
2021-01-03,不能家庭聚会！
2021-01-03,卧槽
2021-01-03,？？？？？？？？？？？
2021-01-03,加油
2021-01-03,。
2021-01-03,能否和那些提供有毒商家断绝交往？
2021-01-03,一传33
2021-01-03,卧槽？？？
2021-01-03,可怕
2021-01-03,辽宁口音没有h
2021-01-03,标准辽宁口音
2021-01-03,麻了
2021-01-03,怎么这么快(⊙o⊙)！
2021-01-03,大连加油
2021-01-03,超级！！！！！！！！
2021-01-03,大连市是全国冷运集散地
2021-01-03,大连加油
2021-01-03,烫嘴
2021-01-03,禁欧美冷链嘛
2021-01-03,不是有疫苗了么
2021-01-03,我想放假，我想回家！
2021-01-03,这个新闻稿北方味很浓。
2021-01-03,这么快
2021-01-03,为什么总是大连
2021-01-03,各种臭氧层子
2021-01-03,太吓人了
2021-01-03,大连加油
2021-01-03,这不得开了？
2021-01-03,伊利
2021-01-03,唉，防不胜防啊！
2021-01-03,今年年底能回家不
2021-01-03,说重点的可以快进
2021-01-03,大连加油！中国加油
2021-01-03,该死的疫情啥时候结束！！！
2021-01-03,？？？？这么可怕
2021-01-04,东北普通话
2021-01-04,太恐怖了
2021-01-04,大连要快点好起来啊，希望没事
2021-01-04,这个口音比较复杂，是混合型
2021-01-04,唉
2021-01-04,加油
2021-01-04,伊利
2021-01-04,我同学他哥在那啊
2021-01-04,东北口音
2021-01-04,以后不喝伊利了
2021-01-04,草
2021-01-04,卧槽
2021-01-04,口音有点不对劲
2021-01-04,加油
2021-01-04,全国加油！！！！
2021-01-04,研究生听说是大连海洋的
2021-01-04,希望快点结束
2021-01-04,这是沈阳口音
2021-01-04,广西口音
2021-01-04,居然允许弹幕？？
2021-01-04,不是大连话
2021-01-04,我害怕
2021-01-04,加油
2021-01-04,沈阳话
2021-01-04,这是瓦房店话，不是大碴子
2021-01-04,？？？
2021-01-04,大连加油!
2021-01-04,金座
2021-01-04,加油
2021-01-04,沈阳人听着毫无压力
2021-01-04,大连的朋友，加油
2021-01-04,祝早日康复
2021-01-04,别代表东北人谢谢
2021-01-04,毒
2021-01-04,买口罩，戴口罩，少出门
2021-01-04,赶紧打疫苗
2021-01-04,唉
2021-01-04,船be
2021-01-04,过大年
2021-01-04,又来了，又一个春运来了
2021-01-04,我们东北人都觉得这是普通话
2021-01-04,弹幕里有人故意传播焦虑，谣言，误导言论，选择性观看。
2021-01-04,弹幕里有人故意传播焦虑，谣言，误导言论，选择性观看。
2021-01-04,弹幕里有人故意传播焦虑，谣言，误导言论，选择性观看。
2021-01-04,加油啊大连
2021-01-04,先别吃水产和冷冻食物了
2021-01-04,卧槽，我好害怕啊
2021-01-04,说漂亮的，你不知道事情严重性吗
2021-01-04,大连人表示害怕
2021-01-04,大家都小心点吧
2021-01-04,又是冷链
2021-01-04,丝耳月
2021-01-04,伊利
2021-01-04,这公务员的普通话。。。
2021-01-04,加油民那
2021-01-04,好像给他单独准备一个考场了
2021-01-04,请问这个发言人不是要普通话考试的吗
2021-01-04,研究生那位在医院单独考试了大家不要担心
2021-01-04,研究生naf
2021-01-04,没有海蛎子味
2021-01-04,希望过个好年！
2021-01-04,大连加油
2021-01-04,大连加油
2021-01-04,这东北味
2021-01-04,管她什么口音，反正是你们东北那块区域的
2021-01-04,经过了那么多次抗疫时人体免疫力和各种药物的筛选，估计病毒都进化了。
2021-01-04,大连加油
2021-01-04,爆炸
2021-01-04,希望大连可以没事
2021-01-04,伊犁
2021-01-04,大连加油啊
2021-01-04,好起来喂
2021-01-04,危
2021-01-04,希望大连快快好起来!!
2021-01-04,卧槽
2021-01-04,干干干
2021-01-04,伊利
2021-01-04,大连味
2021-01-04,祝愿大连市渡过难关
2021-01-04,抽风
2021-01-04,这沈阳话
2021-01-04,考研前太惨了
2021-01-04,ksilsi
2021-01-04,大连加油！
2021-01-04,这个普通话味太重了
2021-01-04,不是大连话
2021-01-04,什么时候是个头
2021-01-04,大连口音是东北大碴子配海蛎子口音
2021-01-04,考研的单独安排考了
2021-01-04,shi t
2021-01-04,哈哈哈哈哈哈这口音
2021-01-04,emmm东北人没那么普遍的平翘舌不分
2021-01-04,不信谣不传谣
2021-01-04,害怕
2021-01-04,大连加油
2021-01-04,大连说话才不是东北味儿，这个银不四大连银
2021-01-04,这是大普，大连人表示亲切
2021-01-04,大连加油！
2021-01-04,大家不要到处晃了，老老实实呆在老家吧
2021-01-04,啊啊啊啊啊啊
2021-01-04,大连加油
2021-01-04,一，疫情发现早
2021-01-04,"一,疫情发现早"
2021-01-04,本次疫情的特点
2021-01-04,大连加油
2021-01-04,这已经是鹅们大年普通话最飘准的人了
2021-01-04,请弹幕不要侮辱一线战士，谢谢
2021-01-04,好家伙，原来不止我一个东北人不分平翘舌
2021-01-04,加油啊
2021-01-04,大连加油
2021-01-04,那个准备考研的好像专门给她准备考场什么的了
2021-01-04,我家几个月没买水产了
2021-01-04,又是海产？
