日期,内容
2020-12-31,谢谢分享，注意安全
2021-01-01,好想吃。。。
2021-01-01,万年不变道顿崛。。。
2021-01-01,谢谢分享，注意安全
2021-01-06,好想吃。。。
2021-01-06,万年不变道顿崛。。。
2021-01-06,谢谢分享，注意安全
2021-01-07,还有前段时间的goto系列……
2021-01-07,注意个人防护
2021-01-07,5G天线，捏了就没信号了。
2021-01-07,带个N95吧
2021-01-07,口罩上面不捏一下的吗
2021-01-07,没倒闭的算不错了
2021-01-07,服部平次
2021-01-07,？？？
2021-01-07,辞职这个就…？？？
2021-01-07,我去过
2021-01-07,去过唉
2021-01-07,？
2021-01-07,辞职…
2021-01-07,病去如抽丝
2021-01-07,别摸口罩外层
2021-01-07,柯南里看过
2021-01-07,持久战
2021-01-07,好二比
2021-01-07,老婆真好看
2021-01-07,是不是老龄化的缘故
2021-01-07,大哥大嫂过年好
2021-01-07,战地记者
2021-01-07,服部没事吧
2021-01-07,发展一二产业为本，第三产业锦上添花
2021-01-07,up主去疫情重灾区要多搞着防护措施
2021-01-07,这样的口罩去那么危险的地方不大适合，注意防护啊
2021-01-07,心斋桥？
2021-01-07,居然有正常记者了，正不容易
2021-01-07,香川照之
2021-01-07,香川君
2021-01-07,注意安全
2021-01-07,我也没想到
2021-01-07,大阪苍天崛（）
2021-01-07,大和田
2021-01-07,不是依然是更严重了
2021-01-07,好想吃。。。
2021-01-07,万年不变道顿崛。。。
2021-01-07,谢谢分享，注意安全
2021-01-08,我19年去的时候人山人海
2021-01-08,30个，估计只有富豪和高官有位置了
2021-01-08,姐姐口罩的那个夹子夹好
2021-01-08,谢谢up主啦！
2021-01-08,啊这个标志性建筑物
2021-01-08,按这
2021-01-08,明年奥运也要黄
2021-01-08,有什么用
2021-01-08,大门5千万
2021-01-08,奥运会还能开吗
2021-01-08,2021也许会糟糕也说不定呀
2021-01-08,加油
2021-01-08,姑娘好美
2021-01-08,这个疫情给人生病一样有过程这是常识没什么大惊小怪的
2021-01-08,用手捏鼻子上方铁丝是错误的，小姐姐这样按的才是正确的
2021-01-08,不知道奥运会是否还可以顺利举行
2021-01-08,2021噩梦开局，身体越来越差了。
2021-01-08,方舱医院不是最基本的手段吗，越早投入越早能释放医疗资源
2021-01-08,我们每一个人都行走在这艰难的人世间
2021-01-08,你是记者吗
2021-01-08,一共200张
2021-01-08,30个？
2021-01-08,之前来大阪时，住在这附近
2021-01-08,来过这里
2021-01-08,亿些
2021-01-08,干得漂亮！
2021-01-08,我记得在哪里买了个扭蛋
2021-01-08,三十个床位就是几百条人命
2021-01-08,大阪黑鸡！
2021-01-08,道顿堀是旅行社必到的场
2021-01-08,天呐
2021-01-08,这是央视记者小姐姐呢
2021-01-08,硬拖
2021-01-08,这个口罩不行的，N95
2021-01-08,18年的时候去过，全是人
2021-01-08,我去过那里，咋没人了
2021-01-08,还是想办奥运会呗
2021-01-08,好帅啊
2021-01-08,日剧里出现过这家店
2021-01-08,持久战中国赢了
2021-01-08,哎，人家不出门怎么报道呢
2021-01-08,估计记者都打疫苗了吧
2021-01-08,？
2021-01-08,如龙的场景耶
2021-01-08,妹妹，别去阿。。
2021-01-08,不搞旅遊能搞啥
2021-01-08,这就是推卸责任啊
2021-01-08,看哭了
2021-01-08,up主真漂亮，喜欢，加油
2021-01-08,？？？？
2021-01-08,30个
2021-01-08,其实还不如多花点钱多增加点床位，他不是做不到，就是你这个问题想不想做。
2021-01-08,对30个日本政府在极大的努力下，只有30个床位，他们真的是想借刀杀人处理掉一部分老年人。
2021-01-08,他们也没戴口罩
2021-01-08,注意安全啊
2021-01-08,姐姐加油，要注意安全
2021-01-08,为什么灯还开着？好浪费电
2021-01-08,人家是央视记者啊也是工作
2021-01-08,早先严格隔离、防治现在就已经松多了
2021-01-08,她捏了
2021-01-08,哇日本真的挺严重的
2021-01-08,大和田常务
2021-01-08,日本也是很守规矩啊
2021-01-08,注意安全，还是少走动
2021-01-08,不够高效
2021-01-08,不如我们
2021-01-08,不容易
2021-01-08,记得打疫苗在出去
2021-01-08,奥运会是不是又吹了
2021-01-08,好久没见到这种正经的报道
2021-01-08,王梦姐姐太漂亮了，辛苦了(≧∇≦)/
2021-01-08,去这种高发地，还是带N95口罩
2021-01-08,注意安全
