日期,内容
2020-02-26,哈利路亚
2020-02-26,1931年。。那准确来说是日本庆尚北道。
2020-02-26,nb
2020-02-26,中国真好
2020-02-26,神了
2020-02-26,哈哈哈哈
2020-02-26,社团制度
2020-02-26,哈利路亚
2020-02-26,哈利路亚
2020-02-26,哈利路亚
2020-02-26,？？
2020-02-26,跟基督教科学会一样
2020-02-26,圣殿骑士团
2020-02-26,？？？
2020-02-26,陈远南陀主
2020-02-26,上帝：这话我没说过啊
2020-02-26,干的漂亮
2020-02-26,得给它浇点当时刚发明的84了
2020-02-26,哈利路亚
2020-02-26,这些人是靠什么吃饭？
2020-02-26,韩国人也信耶稣？
2020-02-26,卧槽
2020-02-26,怎么还有个会
2020-02-26,想起了新天地超市
2020-02-26,韩国人真是无知可怕
2020-02-26,哈利路亚
2020-02-26,哪个国家都有公知
2020-02-26,？？？？？？？？
2020-02-26,哈利路亚！！！
2020-02-26,哈利路亚
2020-02-26,哈利路亚
2020-02-26,以前是不是还出了个电影？就是这类
2020-02-26,太平天国
2020-02-26,哈利路亚
2020-02-26,他应该是三儿子了
2020-02-26,@陈近南？？？？
2020-02-26,反清复明
2020-02-26,传销？
2020-02-26,我靠，跟我一样大
2020-02-26,缘分啊
2020-02-26,新天地是韩国复工派大本营。
2020-02-26,圣殿骑士？
2020-02-26,还有外国人，貌似中国也有
2020-02-26,哈利路亚
2020-02-26,干得好
2020-02-26,这是新天地教，是“新”
2020-02-26,哈哈哈活该！
2020-02-26,害怕
2020-02-26,哈利路亚！
2020-02-26,这就是个代理人
2020-02-26,干的漂亮
2020-02-26,可怕，21万多人
2020-02-26,哈利路亚？
2020-02-26,?????
2020-02-26,哈利路亚
2020-02-26,哈利路亚
2020-02-26,缘分啊
2020-02-26,一直很纳闷天地交不是韦小宝那时候的吗反清覆明？
2020-02-26,韩国不就沦陷了
2020-02-26,卧槽
2020-02-26,害
2020-02-26,上。。上帝的二儿子？
2020-02-26,哈利路亚
2020-02-27,前面反噬的那个你要笑死我哈哈哈哈哈恍恍惚惚
2020-02-27,又tm是这种玩意……
2020-02-27,你惹我家武汉干嘛？啊？
2020-02-27,大哥耶稣二哥洪秀全三弟俺
2020-02-27,韩国真是一个神奇的地方
2020-02-27,牛逼
2020-02-27,干得漂亮
2020-02-27,？？？？？？
2020-02-27,唉，棒槌的思维咱们不懂啊
2020-02-27,太悲哀了。
2020-02-27,发展成保险公司该多恐怖
