日期,内容
2020-02-02,武汉加油
2020-02-02,有头脑的人
2020-02-02,开口跪
2020-02-03,麦都抖了hhh
2020-02-03,新加坡很多广东人和福建人的
2020-02-03,弹幕令人作呕
2020-02-03,弹幕令人作呕
2020-02-03,？？？？
2020-02-03,李显龙都这么老啦！？
2020-02-03,别和中国扯上关系好吗
2020-02-03,还排华
2020-02-03,关你屁事
2020-02-03,李家坡？不排？
2020-02-03,这老家伙不是什么好鸟，他们最反华
2020-02-03,李家坡不排华？
2020-02-03,他可能说粤语会更好
2020-02-03,新加坡大部分是华人
2020-02-03,可以可以
2020-02-03,新加坡本就是汉语文化圈啊
2020-02-03,？？？
2020-02-03,？？？？？
2020-02-03,不愧是李光耀儿子
2020-02-03,新马泰都是华人国家，华人占比高，李光耀李显龙都是华人，英语，中文都是官方语言
2020-02-03,每个短视的政府都不希望自己的人民总是冷静思考问题，他们只希望自己的人民能够随便忽悠。只有一个真正长远伟大的政府才会喜欢能够冷静思考的人民。
2020-02-03,新马泰都是华人国家，李光耀李显龙都是华人，英语、中文都是官方语言
2020-02-03,新马泰都是华人国家，李光耀李显龙都是华人，英语、中文都是新加坡的官方语言
2020-02-03,都是汉人
2020-02-03,你新加坡有什么种族？不是华人就是马来人
2020-02-03,李家坡省
2020-02-03,居然会中文
2020-02-03,彩虹屁
2020-02-03,变色龙，李显龙
2020-02-03,外国人讲中文系列
2020-02-03,外国人说中文系列
2020-02-03,借你吉言
2020-02-03,汉语十级
2020-02-03,新加坡又开始流行中文了~~~~~~~~~~~
2020-02-03,他就得表现的对抗一点儿，不然东盟怎可能让新加坡当领头的？
2020-02-03,这是只为了大马华人的利益啊，
2020-02-03,对不起，新加坡是英语地位排第一国家
2020-02-03,弹幕令人遗憾
2020-02-03,反华先锋新加坡
2020-02-03,新加坡本来就是反华急先锋
2020-02-03,说一套做一套
2020-02-03,船小好掉头
2020-02-03,李家坡
2020-02-03,词穷了
2020-02-03,你也是华人儿吧
2020-02-03,小李现在不知道求生欲怎么这么强
2020-02-03,新加坡省
2020-02-03,中国人
2020-02-03,建议关弹幕
2020-02-03,墙头草
2020-02-03,他这话就是说给我们听的（你品，你细品）
2020-02-03,欧洲的疯牛病更香
2020-02-03,老美的禽流感更舒服
2020-02-03,中国是负责人的
2020-02-03,他说得很好
2020-02-03,老阴阳人了
2020-02-03,李家坡
2020-02-03,正义之言
2020-02-03,谢谢
2020-02-03,？？？？？？？
2020-02-03,给爷爬
2020-02-03,台湾都比你大
2020-02-03,台湾都比你大
2020-02-03,李老板
2020-02-03,？
2020-02-03,他给自己国家讲话大部分时候都讲汉语吧
2020-02-03,大埔县
2020-02-03,你还想让他说什么，
2020-02-03,梅州，大埔县
2020-02-03,中文?
2020-02-03,其实我们也挺双标的，虽然是华裔，但新加坡确实是个独立国家，
2020-02-03,广东省，梅州市大埔县祖籍
2020-02-03,华人hhh
2020-02-03,一个蝙蝠的故事
