日期,内容
2020-08-26,行啦，真是够了
2020-08-26,这就是留学生吗？
2020-08-26,这是被小偷翻了？
2020-08-26,不关你们事，没必要
2020-08-26,估计国外房东不愿意退押金造成的不良后果，如果你们没有国外生活的经验不要随便扯淡
2020-08-26,这种留学生就是垃圾
2020-08-26,请问留学学啥？出国回来成假洋鬼子鱼肉我们？
2020-08-26,丨意大利留学学啥？学生混血宝宝(づ￣ ³￣)づ
2020-08-26,都是惯的，没吃过苦不懂的考虑别人感受
2020-08-26,666
2020-08-26,这就6了，冲个水能死吗
2020-08-26,为什么中国人要帮忙擦屁股最后还要被说?这是个人行为，管我们p事
2020-08-26,生化危机7
2020-08-26,太辛苦你了
2020-08-26,这素质
2020-08-26,租给刘玥了
2020-08-26,这种行为在哪逗不对
2020-08-26,不是这是干嘛了能这个样子啊？？？？
2020-08-26,这种人不少吧
2020-08-26,点踩了，哪个国家没懒人，带什么中国人节奏
2020-08-26,官方号？别砸了自己招牌，丑的的嘴脸
2020-08-26,打扫一下会死？
2020-08-26,WDNMD外国人也有，你怎么不报道
2020-08-26,辛苦了哥
2020-08-26,？？？？？？？？？？
2020-08-26,是人？
2020-08-26,恶臭
2020-08-26,外国人比中国人垃圾多了
2020-08-26,营销号警告
2020-08-26,营销号警告
2020-08-26,这不报警么
2020-08-26,卧槽
2020-08-26,这女的太懒了吧
2020-08-26,羞仙人呢
2020-08-26,怪不得，有些留学生就是渣
2020-08-26,北京腔这么重啊
2020-08-26,前面的侦探好厉害呦
2020-08-26,我家人在美國租了一個房給個中國女生，退租前情況跟這個有得比。
2020-08-26,太丢脸了
2020-08-26,猪窝！
2020-08-26,好恶心
2020-08-26,唉……
2020-08-26,很多女的特别不爱干净，在外面打扮的人模人样，
2020-08-26,。。。国外不知道但是国内这类事情很常见之前租房看房的时候也遇到过
2020-08-26,还真不一定是编，我就遇到过这种女学生租户
2020-08-26,高素质
2020-08-26,此视频真假未知，建议不要过度评价
2020-08-26,真是张口就来
2020-08-26,都造成楼下和房东财产损失不赔偿？
2020-08-26,网易可喜欢干这事了
2020-08-26,是中国人吧，有香飘飘盒子了，房东应该没有撒谎
2020-08-26,网易的
2020-08-26,辛苦小哥了
2020-08-26,r
2020-08-26,这女的真的很
2020-08-26,说不定是韩国人
2020-08-26,遗迹
2020-08-26,故意
2020-08-26,这是一种心理疾病
2020-08-26,。。。。。。
2020-08-26,不是，要是中国人，你烦也没用，有的人就这德行，别把中国吹的外国人都不爱看咱们。
2020-08-26,小哥被背黑锅？？
2020-08-26,怎么做到的？？？？
2020-08-26,这还算好的了
2020-08-26,这是人干的？
2020-08-26,说凭啥赔偿就离谱
2020-08-26,个人素质低下，关中国人啥事啊
2020-08-26,丢人
2020-08-26,别租就别租，别给我们中国人扣帽子
2020-08-26,哎，丢人啊
2020-08-26,真的丢脸
2020-08-26,那你是谁呀
2020-08-26,垃圾猪厂的德行
2020-08-26,请让大家知道她的姓名
2020-08-26,我们被偏见就是这样来的。。
2020-08-26,可以负责人的告诉你，现在中国的年轻人，他们小的时候就没有接受有关责任心的教育
2020-08-26,别的国家都是极力宣传自己国家好的一面
2020-08-26,天花板为什么会掉下来？
2020-08-26,带节奏带私货？？
2020-08-26,在国外做直播的，懒成蛇。
2020-08-26,?
2020-08-26,?
2020-08-26,呵呵某些高知识分子的素质也就这儿了
2020-08-26,真尼玛丢人
2020-08-26,看完了，只有一个老哥在打扫房间，全是小编再说，怀疑真实性
2020-08-26,"乱扣帽子,难道外国月亮就圆."
2020-08-26,网易真她妈恶臭
2020-08-26,有啥丢人的
2020-08-26,这就是光鲜亮丽的背后
2020-08-26,编的
2020-08-26,正常要房东检查后退租，退押金。这显然是不要押金直接跑路了
2020-08-26,不喜欢别人刻板印象和偏见，自己就要努力做好。这女生有什么好洗的吗？就是脏班子。
2020-08-26,故意的
2020-08-26,？
2020-08-26,真尼玛恶心
2020-08-26,卧槽
2020-08-26,啥玩意儿，丢人丢到国外了
2020-08-26,都是中国人差别咋那么大
2020-08-26,网易就是一个营销号
2020-08-26,素质真不高
2020-08-26,绝对故意的
2020-08-26,丢人现眼
2020-08-26,我觉得这房东是中国黑吧？
2020-08-26,绝命毒师？
2020-08-26,这什么神仙
2020-08-26,无良自媒体，总是喜欢挑起矛盾
2020-08-26,爆破？做了啥？
2020-08-26,人渣哪里都有，不要总是调一两个来代表国家
2020-08-26,大部分都这样
2020-08-26,她代表不了中国人
2020-08-26,女生看着比男生干净，但其实邋遢起来更厉害
2020-08-26,后来钱给够了
2020-08-26,丢脸
2020-08-26,我估计这位女生已经上吊了～
2020-08-26,内容全靠编
2020-08-26,瞅瞅你这我X，和租客一样一样的
2020-08-26,这还养猫？？别糟蹋猫了
2020-08-26,不要老是带有中国人的符号
2020-08-26,视频里说这个女留学生的事情，弹幕指责外国人干嘛
2020-08-26,这风格，老网易了
2020-08-26,这种新闻都是女的？
2020-08-26,说不定是房东造谣
2020-08-26,现在国内的女生宿舍去看看，一模一样
2020-08-26,为什么字幕非要用字母代替字
2020-08-26,那个留学生干脆别回来了……
2020-08-26,遗物
2020-08-26,派克特？
2020-08-26,巨婴
2020-08-26,真的
2020-08-26,以牙还牙以眼还眼
2020-08-26,假北京人？
2020-08-26,老网易了
2020-08-26,别了，那国都有这样的人。没必要这样说
2020-08-26,欧美人不也一样？听在国外的邻居说冒似更糟？
2020-08-26,故意的吧？
2020-08-26,到底是谁你给个名字啊～
2020-08-26,丢出国了
2020-08-26,垃圾哪都有，关中国人什么事
2020-08-26,这女留学生是真心丢人
2020-08-26,牛逼
2020-08-26,衣服什么的不要了？
2020-08-26,房间空气湿度太大
2020-08-26,最烦这种动不动中国人的
2020-08-26,所以原作者允许转载了吗
2020-08-26,你没见过很多本地学生和黑叔叔同学的卧室
2020-08-26,发邮件就死定了
2020-08-26,在日本的更狠
2020-08-26,倍精人！
2020-08-26,畜牲
2020-08-26,这得养出多少蛆啊
2020-08-26,其实这种人。。。哪里都有好吗。。。就算外国人在中国这边这样搞，你看看敢不敢上媒体。
2020-08-26,你要求留学生以性换租时在意她是中国人吗
2020-08-26,来把，说她概全中国人
2020-08-26,网易标准标题
2020-08-26,为啥要买水果？
2020-08-26,给楼上下造成损失，而且都是他自己的问题，难道不需要赔偿？
2020-08-26,哪位神仙露个脸
2020-08-26,真是够垃圾的，我留学的时候走时还得清洁
2020-08-26,说不定是遗物...
2020-08-26,中国人太多了，垃圾也多
2020-08-26,谁没素质你指名道姓说那人别上升到全体中国人割流量这作者非蠢既坏
2020-08-26,不是有你什么事？你是水果吗？
2020-08-26,第一条幕幕？
2020-08-26,不可能绝对不可能
2020-08-27,有坏蛋就有坏蛋，你们去擦什么屁股？
2020-08-27,这素质还去留学呢
2020-08-27,恶心人
2020-08-27,原视频是假新闻。。。
2020-08-27,人肉她
2020-08-27,神仙
2020-08-27,神仙
2020-08-27,丢人现眼丢人现眼
2020-08-27,不知道是不是真的，不做评论
2020-08-27,丢人现眼
2020-08-27,丢人现眼
2020-08-27,？？
2020-08-27,为什么来收拾？外国人就不会管，欺负中国人？？？
2020-08-27,？
2020-08-27,太真实了
2020-08-27,丢人
2020-08-27,太缺德了
2020-08-27,表面光鲜亮丽的人，哎
2020-08-27,盗视频，转载投自制，低创
2020-08-27,这个女人纯营销号大家散了吧
2020-08-27,这个女的纯营销号。大家算了吧
2020-08-27,人肉她！！
2020-08-27,如果真这样是可以告上法庭的但是网易新闻emmm保持意见
2020-08-27,真的丢国人的脸！！！
2020-08-27,夸大其词，无良媒体
2020-08-27,故意的
2020-08-27,太丢人了
2020-08-27,现在这种中国人还少吗？
2020-08-27,此视频为止真假，不要随意评价
2020-08-27,老公知文喽
2020-08-27,这才多大地怎么可能三十几个塑料袋
2020-08-27,人肉她！
2020-08-27,丢人
2020-08-27,投诉了
2020-08-27,md，气人这是什么东西
2020-08-27,？
2020-08-27,开局一张图，全靠编人家房东，怎么不出来说。
2020-08-27,曝光啊
2020-08-27,以后中国留学生租房押金肯定要涨，就是害同胞的本事
2020-08-27,视频谁拍的？
2020-08-27,国内也有这种人所以大城市很多房东不愿意租给外地人
2020-08-27,女拳师出来走两步
2020-08-27,女拳师出来走两步
2020-08-27,遗迹
2020-08-27,网易哥毛，就知道这。德行。
2020-08-27,女拳师出来走两步
2020-08-27,丢人
2020-08-27,女拳师出来走两步
2020-08-27,素质差
2020-08-27,还硬要强调女呵呵
2020-08-27,别拿个例摸黑留学生集体
2020-08-27,卧槽
2020-08-27,？
2020-08-27,又是个娇生惯养的渣女
2020-08-27,人肉出来
2020-08-27,营销号
2020-08-27,真尼玛没素质
2020-08-27,女。。。。留学生
2020-08-27,房东呢？
2020-08-27,不可能的
2020-08-27,这种地方怎么住人
2020-08-27,一看就是个娇生惯养的
2020-08-27,关我屁事
2020-08-27,丢人丢到国外
2020-08-27,我去
2020-08-27,我的天，干啥了？
2020-08-27,我擦，丢中国人的脸啊
2020-08-27,这是网易老狗骗流量的，别信
2020-08-27,别说别的国家也有，是，没错，那为什么我们也要和他们一样
2020-08-27,宿舍管理不严的！女生宿舍普遍没有男生的干净！真的特别不干净！
2020-08-27,营销号吧
2020-08-27,服了，房东语音都没有，这也算洗？
2020-08-27,国人素质
2020-08-27,不好意思我在韩国我的室友此时此刻就是这样za种
2020-08-27,说现在女人不会打扫的，你是女的吗？别说得这么过分好吗？
2020-08-27,故意的
2020-08-27,可能房东很黑
2020-08-27,有很多小朋友现在都特别的邋遢！
2020-08-27,大家伙儿点个踩再走啊
2020-08-27,遗迹哈哈哈
2020-08-27,？？？？？
2020-08-27,营销号
2020-08-27,我去
2020-08-27,哈哈哈哈
2020-08-27,很正常，租客就是这样。把房子出租的都是雷锋。
2020-08-27,凭啥让中国人收拾？
2020-08-27,这种不爆料？
2020-08-27,真不要脸
2020-08-27,恶心死了
2020-08-27,学历不代表素质
2020-08-27,不一定是中国留学生，证实之前建议大家不要无脑跟风
2020-08-27,说是中国人，也得拿出材料证明啊，谁知道是不是为黑而黑
2020-08-27,高素质人才
2020-08-27,有些弹幕可真够双标的
2020-08-27,自由啊
2020-08-27,不知情，不评论
2020-08-27,辛苦了
2020-08-27,笑话新闻
2020-08-27,我怎么想s了这禽兽
2020-08-27,mb这死女人把咱中国的脸都丢尽了
2020-08-27,配音，假的
2020-08-27,这是网易新闻官网？简直不敢相信！
2020-08-27,怎么做到的
2020-08-27,人家都拉黑房东了。
2020-08-27,我想到了绝命毒师硫酸融尸把浴缸和天花板给融了
2020-08-27,我是做房产中介的，这样的女孩不在少数，没有教养。外表打扮的光鲜亮丽。租人家房子弄的跟狗窝一样。
2020-08-27,丢人
2020-08-27,女人爱干净，我就呵呵53了
2020-08-27,我想说那些外表打扮人五人六的女孩，家里跟厕所一样的女孩，就你们也能找到男朋友？找到不怕对方跟你一样渣
2020-08-27,纯粹瞎编的
2020-08-27,真丢中国人的脸
2020-08-27,丢人
2020-08-27,国内也很多，现在很多女孩比男生都邋遢，不爱干净
2020-08-27,都不知道什么样的学生才会被送出去留学吗
2020-08-27,珍爱生命远离网易
2020-08-27,真是丢人
2020-08-27,不知真假
2020-08-27,没头没脑的视频，真能编
2020-08-27,太恶心了
2020-08-27,这全靠编?没个前因后果
2020-08-27,《听说》
2020-08-27,估计是跟房东发生了事情故意弄的
2020-08-27,真丢人
2020-08-27,你这信息又不全，我们不做评价
