日期,内容
2020-03-12,弹幕
2020-03-12,666
2020-03-12,这不自由啊
2020-03-12,这就是自由？
2020-03-12,帮帮也可以，意大利还可以吧。
2020-03-12,太残忍了
2020-03-12,残酷
2020-03-12,残酷理性
2020-03-12,直接处理老龄化
2020-03-12,加油
2020-03-12,唉，加油吧
2020-03-12,造福最广大人民
2020-03-12,人口结构优化
2020-03-12,最惨的是医生护士
2020-03-12,自由
2020-03-12,赞
2020-03-12,自由人士依然不戴口罩
2020-03-12,这不自由
2020-03-12,淡定
2020-03-12,只能说意大利还是实诚估计其实都差不多
2020-03-12,加油
2020-03-12,用自由加油
2020-03-12,冲
2020-03-12,另外一个视频里的意大利老年人都是不怕死的
2020-03-12,不人道主义
2020-03-12,自由？
2020-03-12,哈利路亚
2020-03-12,太难了
2020-03-12,？？？
2020-03-12,。。。。。
2020-03-12,(更土豪的人)
2020-03-12,惨了……
2020-03-12,保佑咱川军平安归来！
2020-03-12,1.8万我感觉下周2就能达到
2020-03-12,意思就是老头老太太都不用进icu了
2020-03-12,连最起码的预防都不做
2020-03-12,前面的真是人才
2020-03-12,关键是这些人还不带口罩
2020-03-12,没有弹幕。。。
2020-03-12,这病毒是老龄化的解药
2020-03-12,放弃老人了
2020-03-12,还不戴口罩
2020-03-12,上帝保佑
2020-03-12,日本逃不了开哦的？？
2020-03-12,呃呃
2020-03-12,。。。。。
2020-03-12,旁边的人不戴口罩在围观
2020-03-12,！
2020-03-12,800+了
2020-03-12,太残酷了
2020-03-12,？？
2020-03-12,这就是自由吗，笑了
2020-03-12,除了日本，其他国家基本都符合模型
2020-03-12,？？？
2020-03-12,扎心了
2020-03-12,好像他们认为没生病就不要带
2020-03-12,天啊
2020-03-12,极端环境下谁也撑不住
2020-03-12,惨
2020-03-12,。
2020-03-12,不自由啊
2020-03-12,这是
2020-03-12,这设备有点帅哦
2020-03-12,没人？
2020-03-12,这不自由
2020-03-12,???????
2020-03-12,我的个神啊
2020-03-12,旁边这帮人就这么看着
2020-03-12,666
2020-03-12,人口论
2020-03-12,意大利不乐观，还是加油吧
2020-03-12,不戴口罩围观？？？
2020-03-12,我们有全中国支持，意大利呢
2020-03-12,疫情相似，但是控制没有咱们那么迅速
2020-03-12,反正就不带口罩
2020-03-12,还是得中国帮忙吧
2020-03-12,没事的他们可以不戴口罩
2020-03-12,哈利路亚
2020-03-12,没病不需要带口罩
2020-03-12,呵呵
2020-03-12,必须警惕输入性感染
2020-03-12,可是意大利面积是湖北的近两倍，就这来说，已经比湖北严重了
2020-03-12,太惨了吧，希望早点过去，加油呀
2020-03-12,看傻了
2020-03-12,……
2020-03-12,演习？
2020-03-12,怎么没有弹幕？
2020-03-12,无可奈何
2020-03-12,这就是西方要的自由
2020-03-12,看着这近不戴口罩，吓人
2020-03-12,没有人能认真的戴口罩的
2020-03-12,这也太难了
