日期,内容
2020-12-07,不断的创造历史
2020-12-07,黑化迟早
2020-12-07,是吗，那你们在叙利亚干的那些事呢，给多少叙利亚人民和政府带来了多少年的噩梦，现在叙利亚都还没有结束
2020-12-07,加油（dog）
2020-12-07,新冠不过是区区新冠，在最严苛的“隔离式监禁”之下，我们只需要一个月就能稳赢新冠，以上，不接受反驳。。。。
2020-12-07,以后美国一定有更痛苦的
2020-12-07,送方方去美国写日记
2020-12-07,果然是没被打过，不经过战火的洗礼，才培养出这些战争贩子
2020-12-07,指数函数增长
2020-12-07,美国人多不怕死
2020-12-07,自由万岁
2020-12-07,一天死十万再说吧。
2020-12-07,后面加个零也不是梦了╮(￣▽￣)╭
2020-12-07,恭喜恭喜
2020-12-07,美国政府可以申请迪尼斯记录
2020-12-08,太惨了我天啊
2020-12-08,自由的气息
2020-12-08,好日子
2020-12-08,我们都反对
2020-12-08,满门忠烈
2020-12-08,虐杀原形2圣殿计划
2020-12-08,苍天饶过谁
2020-12-08,不死都没地方装有钱人
2020-12-08,哎呀，真是太可惜了，我看着眼前的饺子嘴角留下了泪水
2020-12-08,那不是基本都可以直接放弃
2020-12-08,令人高兴的是
2020-12-08,这美国总统说话还没我们村长管用啊
2020-12-08,搁这养蛊呢
2020-12-08,培养皿
2020-12-08,报应吧
2020-12-08,？？？
2020-12-08,真搞不懂
2020-12-08,太恐怖了
2020-12-08,没有中医真可怜
2020-12-08,可怜
2020-12-08,我也反对
2020-12-08,好耶
2020-12-08,可喜可贺
2020-12-08,10天死3万
2020-12-08,大夫们这防护也不太行啊
2020-12-08,呕吼~
2020-12-08,其实平平无奇233333
2020-12-08,拒絕美國进境吧
2020-12-08,一天一次911
2020-12-08,荆条蜜
2020-12-08,人家上天堂而已
2020-12-08,瘟疫公司既视感
2020-12-08,我也反对
2020-12-08,就是人类清除计划
2020-12-08,没得事
2020-12-08,自由美利坚，口罩丢一边
2020-12-08,生化危机
2020-12-08,死的都是老人
2020-12-08,妙啊
2020-12-08,29万我的天，这和一场战争死的人数差不多了。
2020-12-08,外国空气真好
2020-12-08,有哪天没创历史新高吗
2020-12-08,把方方送过去写日记吧
2020-12-08,彩
2020-12-08,每天都是世界末日，太惨了
2020-12-08,《自由》
2020-12-08,创新低
2020-12-08,一点不突然
2020-12-08,芜湖
2020-12-08,女少口阿
2020-12-08,东莞发来贺电
2020-12-08,这蜜可以放生嘛
2020-12-08,美国式人口屠杀
2020-12-08,苹果有赚美了
2020-12-08,我也反对一下
2020-12-08,打了几个越战了？
2020-12-08,行尸走肉开始
2020-12-08,美国才3亿人口
2020-12-08,现在最大的愿望是等圣诞老人拯救他们
2020-12-08,再这么下去要灭国了
2020-12-08,美国解体
2020-12-08,会不会有一天死成空城……
2020-12-08,？？？？卧槽
2020-12-08,日均911？
2020-12-08,建国同志研究病毒反攻美利坚
2020-12-08,6000
2020-12-08,天天末日，美国末日
2020-12-08,自由美利坚，疫情每一天
2020-12-08,他们自己都不在乎咱管好我自己就行了
2020-12-08,忍一忍2020就过去了
2020-12-08,好耶
2020-12-08,好耶
2020-12-08,好耶
2020-12-08,自由大于一切
2020-12-08,不自由宁务死s
2020-12-08,北美懂王
2020-12-08,养蛊
2020-12-08,方方直呼内行
