日期,内容
2021-01-08,遥言
2021-01-08,加油河北！
2021-01-08,廊坊吧
2021-01-08,看到中间那一小块了吗，我在这体验进京堵车
2021-01-08,加油
2021-01-08,江苏13个宝贝随时冲过去
2021-01-08,一定要撑下来。
2021-01-08,加油河北
2021-01-08,加油
2021-01-08,稳住啊
2021-01-08,加油啊
2021-01-08,要活下来啊！
2021-01-08,分秒必争啊
2021-01-08,一方有难八方支援！​
2021-01-08,河北加油
2021-01-08,加油
2021-01-08,小心啊
2021-01-08,加油
2021-01-08,加油
2021-01-08,我家就是中间那小块的
2021-01-08,谢谢！各地来援
2021-01-08,祝早日康复
2021-01-08,河北加油
2021-01-08,必须主动
2021-01-08,加油
2021-01-08,我加
2021-01-08,河北加油！！！！
2021-01-08,加油大河北，加油国际庄
2021-01-08,加油
2021-01-08,戴口罩
2021-01-08,湖北人民为河北人民祝福，希望大家早点干掉疫情，来湖北玩。
2021-01-08,我现在很担心，12月19号去过藁城良村
2021-01-08,国际庄加油
2021-01-08,IgG是长期免疫反应才会产生的抗体，间接说明新冠其实流行了一段时间了
2021-01-08,我们江苏的卫健委昨天去支援，希望一切平安
2021-01-08,这是我小区附近那个高速口
2021-01-08,河北加油！中国加油！大家加油！
2021-01-08,加油！不要让悲剧重演
2021-01-08,免疫了？
2021-01-08,加油
2021-01-08,河北加油
2021-01-08,回不去家了呜呜呜
2021-01-08,河北加油！中国加油！大家加油！
2021-01-08,加油
2021-01-08,加油！
2021-01-08,河北加油
2021-01-08,河北！加油
2021-01-08,藁城的给自己加油
2021-01-08,河北加油!!!撐住!
2021-01-08,加油
2021-01-08,河北加油！
2021-01-08,中间那一小块也算河北吗
2021-01-08,加油！
2021-01-08,.
2021-01-08,河北加油
2021-01-08,河北加油，感谢对我们省会石家庄的帮助
2021-01-08,石家庄加油！！！
2021-01-08,国际庄加油
2021-01-08,河北加油！
2021-01-08,做好个人防护
2021-01-08,加油石家庄
2021-01-08,河北加油
2021-01-08,石家庄加油，河北加油，中国加油！！
2021-01-08,加油啊！不要再来去年那样的情况了
2021-01-08,我去，害怕
2021-01-08,加油，燕赵大地
2021-01-08,千万加油！
2021-01-08,河北加油
2021-01-08,.
2021-01-08,加油！！
2021-01-08,口罩口罩，出门务必带一下。人多的地方尽量不去，去一定戴好口罩！
2021-01-08,早日康复
2021-01-08,河北加油！！
2021-01-08,河北加油
2021-01-08,加油
2021-01-08,才知道河北和山东挨着
2021-01-08,河北加油
2021-01-08,河北加油！
2021-01-08,加油啊加油啊
2021-01-08,河北加油！
2021-01-08,河北加油
2021-01-08,你永远不会独行，你不是孤军奋战！​
2021-01-08,。
2021-01-08,来了
2021-01-08,加油吧，河北！
2021-01-08,加油吧，河北@
2021-01-08,加油吧，河北1
2021-01-08,加油
