日期,内容
2021-01-11,我也就看了8遍！
2021-01-11,哈哈哈哈
2021-01-11,大姐加分
2021-01-11,虾仁猪心
2021-01-11,哈哈哈哈
2021-01-11,戴口罩！！！！！
2021-01-11,戴口罩啊
2021-01-11,对bbc不再讲面子了，现在
2021-01-11,但是还是有引导性提问
2021-01-11,没问我问我一定定体论！
2021-01-11,我感觉老外好像在中国也很受排挤。。
2021-01-11,不戴口罩
2021-01-11,哈哈哈哈哈哈哈哈哈哈哈哈哈
2021-01-11,扎心了哈哈哈哈哈哈哈哈哈哈哈哈
2021-01-11,河北加油！
2021-01-11,啪啪啪啪啪啪啪
2021-01-11,口罩带上，行不
2021-01-11,生意红火
2021-01-11,哇
2021-01-11,我看上姐姐这件卫衣了
2021-01-11,我觉得现在遇到老外，最好离远点，有毒
2021-01-11,这位姐姐真给力
2021-01-11,我觉得现在遇到老外最好离远点，有毒
2021-01-11,北京大妞
2021-01-11,哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈
2021-01-11,《nofakenews>
2021-01-11,可爱的人
2021-01-11,笑死我
2021-01-11,哈哈哈哈哈哈哈哈
2021-01-11,阴间滤镜呢？
2021-01-11,这个大妞爱了爱了
2021-01-11,strugglign真是xswl
2021-01-11,自己不戴口罩这种老外太多
2021-01-11,哈哈哈哈哈哈哈哈哈哈
2021-01-11,民族自信
2021-01-11,无情嘲讽
2021-01-11,伤害不高，侮辱性极强
2021-01-11,你丫的倒是戴口罩啊
2021-01-11,哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈
2021-01-11,小姐姐干得漂亮
2021-01-11,虾仁猪心
2021-01-11,中国人，要自信
2021-01-11,不戴口罩，隔离！
2021-01-11,233333
2021-01-11,哈哈哈哈哈哈哈哈哈哈哈哈哈哈
2021-01-11,哈哈哈哈哈哈哈哈哈无情揭穿
2021-01-11,不戴口罩轰出去
2021-01-11,民族自信
2021-01-11,熟悉的东四北大街...
2021-01-11,哈哈哈哈
2021-01-11,不戴口罩就进门了？！
2021-01-11,不带口罩
2021-01-11,我已经开始笑了
2021-01-11,北京大妞
2021-01-11,阴间滤镜
2021-01-11,估计有更扎心的，只是被剪了
2021-01-11,不给任何BBC剪辑的机会
2021-01-11,哈哈哈哈哈
2021-01-11,极致嘲讽
2021-01-11,666
2021-01-11,红红火火恍恍惚惚
2021-01-11,北京牛逼
2021-01-11,尴尬又不失礼貌的大笑，哈哈哈哈
2021-01-11,这人为啥不戴口罩！
