日期,内容
2020-12-07,鲁迅直呼内行
2020-12-07,后面是NBC……
2020-12-07,美国起飞了呀这是
2020-12-07,所以阿尔萨斯做错了吗？没错！
2020-12-07,弃医从文
2020-12-07,真就群体免疫了呗
2020-12-07,学医救不了美国人
2020-12-07,鲁迅直呼内行
2020-12-07,这是那个听到消毒水无奈捂脸的专家
2020-12-07,迅哥
2020-12-07,人家说的挺好的呀，这标题是想学无良媒体么
2020-12-07,付不起钱的怎么办
2020-12-07,学医救不了霉国
2020-12-07,后面的标志好像华为
2020-12-07,不信谣，不传谣
2020-12-07,注射消毒液
2020-12-07,你变了我记得你以前天天给川宝打官腔的doge
2020-12-07,人类的本质
2020-12-07,戴口罩没用
2020-12-07,学医救不了美利坚
2020-12-07,川宝要撂挑子了
2020-12-07,哈利路亚
2020-12-07,有上帝，让上帝救他们吧！
2020-12-07,老鲁迅了
2020-12-07,建议全体注射消毒液治愈一切
2020-12-07,你们弃医从文吧！
2020-12-07,美国没有鲁迅
2020-12-07,学医救不了美国人
2020-12-07,这个人……挺有常识的
2020-12-07,才发现？疫情一开始我就知道你们没救了！(#^.^#)
2020-12-07,弃医从文
2020-12-07,恶心
2020-12-07,川建国落选、你现出来讲这么多，
2020-12-07,装
2020-12-07,生化危机
2020-12-07,人类本质
2020-12-07,当疫情发生时，在川建国旁边只会附和、现在出来讲谁信你，
2020-12-07,这些个嘴脸、可怜
2020-12-07,让美国就在疫情中消失吧
2020-12-07,这个人，当初川建国讲打消毒水时她就在旁边，也没反对.也没⋯今天在讲什么谁信她
2020-12-07,别戴口罩啊，都不自由了
2020-12-07,标题党
2020-12-07,契尔诺贝利
2020-12-07,后面是华为？
2020-12-07,上帝拯救你们
2020-12-07,学医救不了美国
2020-12-07,你们戴口罩，不自由！！！
2020-12-07,你们都这人数了戴口罩真没用
2020-12-07,睡王订的目标是2.3亿人
2020-12-07,学医救不了美国人
2020-12-07,要自由不要疫苗
2020-12-07,国际歌，起！
2020-12-07,住口，你根本不懂自由！
2020-12-07,不是华为，是NBC
2020-12-07,就算是有特效药也救不了美国人！
2020-12-07,所以啥能救美国呢？未曾设想的道路要来了么？
2020-12-07,弃医从文？
2020-12-07,你也要从文？
2020-12-07,确实
2020-12-07,最终结果感染三亿死亡两亿九！
2020-12-07,我们先定个小目标！感染它一个亿
2020-12-07,加油争取早日上一亿人
2020-12-07,那就别救了，群体免疫算了呗。。。
2020-12-07,学医救不了美国人
2020-12-07,学医救不了美国人
2020-12-07,周树人来到了直播间
2020-12-07,欢迎收看美国大型生物实验
2020-12-07,学医救不了美国人
2020-12-07,就这
2020-12-07,自由
2020-12-07,学医救不了美国人
2020-12-07,鲁迅直呼内行
2020-12-07,难保病毒会变异呢
2020-12-07,学医救不了美国人
2020-12-07,离谱
2020-12-07,子弹可以
2020-12-07,她的口罩不错
2020-12-07,死吧
2020-12-07,全境封锁
2020-12-07,没事，大号感冒
2020-12-07,死吧
2020-12-07,菲克纽斯
2020-12-07,菲克纽斯
2020-12-07,菲克纽斯
2020-12-07,什么都救不了美国人
2020-12-07,学医救不了美国人
2020-12-07,鲁迅没有说过，都是后人杜撰的
2020-12-07,Wow!goodforyou！American
2020-12-07,给你机会你不中用这怪谁？
2020-12-07,自由可以救
2020-12-07,我不能呼吸了哈哈哈
2020-12-07,周树人直呼内行
2020-12-07,终于戴口罩啦
2020-12-07,学医救不了美国人
2020-12-07,你怎么老背个披风？
2020-12-07,学医救不了美国
2020-12-07,现在太晚了
2020-12-07,没人比川宝更懂病毒
2020-12-07,学医救不了美国人
2020-12-07,是啊，它们没错啊
2020-12-07,不好，这个人懂得太多了
2020-12-07,美国就是这样
2020-12-07,老特7000多万的基本盘是不会听你们的
2020-12-07,假的
2020-12-07,那就等死得了
2020-12-07,你这个女人就是凶手之一
2020-12-07,阿Q外传
2020-12-07,辟谣跑断腿
2020-12-07,没事，你们会进化的
2020-12-07,可能生活就是这样吧
