日期,内容
2021-01-09,人少的地方
2021-01-09,戴口罩
2021-01-09,那你排队的地方人不多吗（doge）
2021-01-09,你看看，他又在挑刺了
2021-01-09,口罩
2021-01-09,扎心了，老铁
2021-01-09,哈哈哈哈哈哈哈哈哈哈
2021-01-09,哈哈哈，霸气
2021-01-09,请戴口罩谢谢
2021-01-09,这东西怎么不戴口罩
2021-01-09,不戴口罩就回你自己国家去
2021-01-09,不戴口罩？来人把他叉出去
2021-01-09,户外不强制戴口罩
2021-01-09,虾仁猪心
2021-01-09,你tmd戴口罩啊
2021-01-09,不戴口罩的全杀了，什么素质
2021-01-09,死老外戴口罩！
2021-01-09,大姐大气
2021-01-09,欧本
2021-01-09,带好你的口罩谢谢
2021-01-09,我觉得这种堂食饭店肯定恢复的不如那家买卤味的还有衣服店
2021-01-09,居然没用阴间滤镜
2021-01-09,哈哈哈哈哈
2021-01-09,哈哈哈哈哈
2021-01-09,外国人夸我我兴高采烈，外国人说到坏事我破口大骂
2021-01-09,不开心难道哭？去尼玛
2021-01-09,这才是真话
2021-01-09,舒服了
2021-01-09,什么？杀人还要诛心？！
2021-01-09,啪啪啪啪啪啪啪啪
2021-01-09,哈哈哈
2021-01-09,哈哈哈哈哈哈哈舒服
2021-01-09,哈哈哈
2021-01-09,虾仁猪心
2021-01-09,表示极度舒适
2021-01-09,哈哈哈哈哈哈哈哈h
2021-01-09,哈哈哈哈
2021-01-09,戴口罩啊！
2021-01-09,哈哈哈哈哈哈哈
2021-01-09,哈哈哈
2021-01-09,白皮祖传滤镜
2021-01-09,是事实，很多做生意的都反应不好做
2021-01-09,戴上你那该死的口罩！感谢上帝！
2021-01-09,为什么不带口罩？
2021-01-09,扎心
2021-01-09,看到标题已经笑了
2021-01-09,播出时都会被剪辑的
2021-01-09,舒服了
2021-01-09,伤害性为零，但侮辱性极大
2021-01-09,戴口罩啊！！
2021-01-09,大姐太棒了哈哈哈哈哈
2021-01-09,哈哈哈哈哈哈哈
2021-01-09,这算BBC国内特供版了吧……
2021-01-09,我怀疑这种报道在国外能不能播出？
2021-01-09,打脸
2021-01-09,这个大姐，哈哈哈
2021-01-09,哈哈哈哈哈哈哈哈
2021-01-09,不戴口罩真没素质
2021-01-09,戴口罩呀GDX
2021-01-09,虾仁还要猪心！？？？
2021-01-09,哈哈哈哈哈
2021-01-09,他不戴口罩。。。。
2021-01-09,好喷
2021-01-09,为何不戴口罩？
2021-01-09,不戴口罩，跟他废话什么！
2021-01-09,伤人家自尊～
2021-01-09,别说那么直白嘛！～
2021-01-09,哈哈哈哈哈哈小姐姐给力
