日期,内容
2020-03-24,R.I.P
2020-03-24,哈哈哈反驳可以
2020-03-24,川建国同志加油，祖国永远在你身后！！
2020-03-24,R.I.P.
2020-03-24,哈哈哈哈哈哈哈哈哈哈哈哈哈
2020-03-24,这是一个疯狂打脸节目！
2020-03-24,哈哈哈哈哈哈哈哈哈
2020-03-24,哈哈哈哈哈哈哈哈哈哈哈哈
2020-03-24,加油建国同志
2020-03-24,泪目
2020-03-24,保护我方川普
2020-03-24,你一个国家和整个欧洲比？啊哈哈
2020-03-24,哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈
2020-03-24,建国同志辛苦了
2020-03-24,哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈
2020-03-24,笑死
2020-03-24,哈哈哈哈哈哈
2020-03-24,哈哈哈哈哈哈
2020-03-24,人类迷惑行为
2020-03-24,666
2020-03-24,哈哈哈哈哈哈哈哈哈哈哈
2020-03-24,哈哈哈哈
2020-03-24,保护我方建国
2020-03-24,哈哈哈哈哈哈哈
2020-03-24,迷惑行为
2020-03-24,xswl
2020-03-24,这时候要喊美国加油
2020-03-24,这里的黑白照片我笑死啦哈哈哈
2020-03-24,黑白照好评
2020-03-24,哈哈哈哈哈哈哈哈
2020-03-24,建国同志你幸苦了
2020-03-24,666
2020-03-24,建国同志加油！
2020-03-24,红红火火恍恍惚惚
2020-03-24,加油
2020-03-24,欧洲国家，你们是否有很多问号？
2020-03-24,马云:来来来，我这有，捐给你们，不要钱的哦(马云操作直捣特朗普)
2020-03-24,哈哈哈哈哈
2020-03-24,呵呵红红火火恍恍惚惚
2020-03-24,可怜啊哈哈哈
2020-03-24,没人比我更懂疫情
2020-03-24,哈哈哈哈，现在吃瓜都要吃国际瓜了
2020-03-24,哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈hhhhhh哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈hhhhhh哈哈哈哈哈哈哈哈
2020-03-24,哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈
2020-03-24,建国同志辛苦了
2020-03-24,哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈hhhhhh哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈hhhhhh哈哈哈哈哈哈哈哈
2020-03-24,哈哈哈哈
2020-03-24,哈哈哈哈哈！川建国顶住！
2020-03-24,建国远在异国他乡辛苦了
2020-03-24,建国同志辛苦了
2020-03-24,哈哈哈哈哈哈哈哈
2020-03-24,hhhhhhhhhhhhhhhh
2020-03-24,直接去世，哈哈哈哈
2020-03-24,同志辛苦了
2020-03-24,建国同志辛苦了
2020-03-24,哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈
2020-03-24,2333
2020-03-24,没人比我更懂美国
2020-03-24,哈哈哈哈哈
2020-03-24,保护我方川建国
2020-03-24,哈哈
2020-03-24,泪目泪目
2020-03-24,哈哈哈哈哈
2020-03-24,我快笑死了
2020-03-24,建国同志，辛苦了
2020-03-24,没人比我更懂打脸
2020-03-24,哈哈哈哈
2020-03-24,笑死我了
2020-03-24,hhhhhhc
2020-03-24,建国同志辛苦了哈哈
2020-03-24,哈哈哈哈哈啊哈哈哈
2020-03-24,哈哈哈哈哈哈哈哈
2020-03-24,哈哈哈哈哈哈哈哈
2020-03-24,好红红火火恍恍惚惚哈哈哈哈哈哈哈哈
2020-03-24,bgm好评
2020-03-24,川建国同志继续加油
2020-03-24,哈哈哈哈哈哈好
2020-03-24,辛苦了
2020-03-24,建国同志辛苦了
2020-03-24,建国同志辛苦了
2020-03-24,保护我方打野
2020-03-24,谢谢，有被笑到
2020-03-24,笑死我了
2020-03-24,哈哈哈
2020-03-24,建国同志辛苦啦
2020-03-24,哈哈哈哈哈哈哈哈哈哈哈哈哈哈或
2020-03-24,哈哈哈哈哈哈哈哈哈
2020-03-24,这就是自由嘛i了i了
2020-03-24,哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈
2020-03-24,向特没谱致敬
2020-03-24,哈利路亚
2020-03-24,哈哈哈哈哈哈哈
2020-03-24,保护我方川建国同志
2020-03-24,没一句真话哈哈哈哈
2020-03-24,泪目
2020-03-24,哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈
2020-03-24,哈哈哈哈哈哈哈哈哈一句一错
2020-03-24,哈哈哈哈哈哈哈啊哈哈哈
2020-03-24,求bgm
2020-03-24,三句一假话，哈哈哈
2020-03-24,哈哈哈哈哈哈哈
2020-03-24,哈哈哈哈哈哈哈哈哈哈
2020-03-24,哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈
2020-03-24,改口了哈哈哈哈哈
2020-03-24,川建国同志辛苦了
2020-03-24,hhhhhhhhhhh好搞笑
2020-03-24,666
2020-03-24,哈哈哈哈哈哈哈哈
2020-03-24,笑死我了
2020-03-24,红红火火恍恍惚惚哈哈哈哈哈哈哈打脸
2020-03-24,竟然有点可爱是怎么回事
2020-03-24,哈哈哈哈哈哈哈哈哈哈
2020-03-24,哈哈哈哈哈哈哈哈哈哈哈
2020-03-24,红红火火恍恍惚惚
2020-03-24,哈哈哈哈哈哈哈哈哈哈哈哈
2020-03-24,建国同志辛苦了
2020-03-24,哈哈
2020-03-24,辛苦了
2020-03-24,现在改口啦，23333
2020-03-24,233333
2020-03-24,哈哈哈哈哈建国同志真的是承包了我这段期间的笑点
2020-03-24,加油建国同志
2020-03-24,打“R.I.P.”的，你们秀死了。
2020-03-24,这老头笑死我了
2020-03-24,哈哈哈哈哈哈哈
2020-03-24,哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈
2020-03-24,哈哈哈哈哈哈哈哈
2020-03-24,辛苦啦
2020-03-24,辛苦了，建国同志
2020-03-24,保护我方建国。
2020-03-24,川建国加油！
2020-03-24,建国同志辛苦了
2020-03-24,这时候就要马云大大在送一波测试盒了(♡ര‿ര)给我康康
2020-03-24,哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈
2020-03-24,哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈
2020-03-24,谎言像滚雪球
2020-03-24,哈哈哈哈哈哈哈哈
2020-03-24,建国辛苦了
2020-03-24,川普好可爱
2020-03-24,哈哈哈
2020-03-24,吹，接着吹hhh
2020-03-24,建国辛苦了
2020-03-24,哈哈哈
2020-03-24,建国辛苦了
2020-03-24,哈哈哈哈哈哈哈哈
2020-03-24,美国加油！（滑稽）
2020-03-24,哈哈哈哈
2020-03-24,哈哈哈哈哈哈哈哈
2020-03-24,哈哈哈哈
2020-03-24,hhh
2020-03-24,哈哈哈哈
2020-03-24,哈哈哈哈哈哈哈哈
2020-03-24,哈哈哈哈哈哈哈哈哈
2020-03-24,hhhhhhhhhhh
2020-03-24,泪目！
2020-03-24,辛苦了建国同志
2020-03-24,提前好笑，哈哈哈
2020-03-24,他活在他的梦里，哈哈哈哈
2020-03-24,红红火火恍恍惚惚
2020-03-24,哈哈哈
2020-03-24,妙阿
2020-03-24,辛苦了
2020-03-24,哈哈哈哈哈哈
2020-03-24,RIP
2020-03-24,RIP
2020-03-24,RIP
2020-03-24,RIP
2020-03-24,RIP
2020-03-24,RIP
2020-03-24,RIP
2020-03-24,RIP
2020-03-24,疯狂输出
2020-03-24,哈哈哈哈
2020-03-24,哈哈哈哈哈哈哈哈哈
2020-03-24,哈哈哈哈哈哈哈哈
2020-03-24,华盛顿邮报辛苦了。
2020-03-24,建国同志这么辛苦，不加鸡腿吗
2020-03-24,哈哈哈哈哈哈哈哈哈哈好哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈
2020-03-24,哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈
2020-03-24,建国同志加油
2020-03-24,哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈
2020-03-24,哈哈哈哈哈哈
2020-03-24,哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈
2020-03-24,哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈
2020-03-24,哈哈哈哈哈哈哈
2020-03-24,哈哈哈哈哈哈哈
2020-03-24,哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈
2020-03-24,哈哈哈哈哈哈哈哈
2020-03-24,哈哈哈哈哈哈哈哈哈
2020-03-24,满嘴胡言乱语哈哈哈哈哈哈
2020-03-24,R.I.P
2020-03-24,你币有了
2020-03-24,川建国加油
2020-03-24,加油啊建国同志
2020-03-24,666
2020-03-24,哈哈哈
2020-03-24,？？？？？？
2020-03-24,川普加油继续领导美国走向衰败！
2020-03-24,没人比我更懂疫情
2020-03-24,川建国同志，组织支持你睁眼说瞎话。哈哈哈
2020-03-24,建国同志辛苦了
2020-03-24,hhhhh
2020-03-24,加油，你们优先
2020-03-24,hhhhhhhhhhh
2020-03-24,？？？？？？？
2020-03-24,？？？？？？又cue我中华
2020-03-24,哈哈
2020-03-24,哈哈哈哈哈哈哈哈哈哈
2020-03-24,哈哈哈哈哈哈哈哈哈哈或哈哈哈哈哈哈哈哈哈哈或哈哈哈哈哈哈哈哈哈哈或哈哈哈哈哈哈哈哈哈哈或哈哈哈哈哈哈哈哈哈哈或红红火火恍恍惚惚
2020-03-24,保护我方川建国同志
2020-03-24,安息阿门
2020-03-24,哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈和哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈和哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈和哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈和哈哈哈哈哈哈哈
2020-03-24,23333333
2020-03-24,哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈和哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈和哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈和哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈和哈哈哈哈
2020-03-24,川建国同志加油啊
2020-03-24,川建国同志辛苦了
2020-03-24,哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈
2020-03-24,？？？？？？？？？？？？？？？？？？
2020-03-24,哈哈哈哈哈哈哈
2020-03-24,哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈
2020-03-24,川相声
2020-03-24,哈哈哈哈哈哈哈哈哈哈哈哈哈哈
2020-03-24,R.I.P
2020-03-24,建国同志，加油啊！
2020-03-24,真香现场
2020-03-24,川总一定要抗住这都是污蔑
2020-03-24,向建国同志敬礼！
2020-03-24,辛苦了
2020-03-24,哈哈哈哈哈哈哈
2020-03-24,哈哈哈哈哈哈、
2020-03-24,哈哈哈哈哈哈
2020-03-24,哈哈哈哈
2020-03-24,哈哈哈哈哈哈哈
2020-03-24,emmm23333
2020-03-24,川建国同志加油，记住你不是一个人，我们会在精神上支持你的加油！！！
2020-03-24,哈哈哈哈哈哈哈哈哈
2020-03-24,2333
2020-03-24,R.I.P
2020-03-24,哈哈哈哈哈哈
2020-03-24,哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈
2020-03-24,哈哈哈哈哈哈哈哈哈哈哈可怜又好笑
2020-03-24,hhhhhh
2020-03-24,哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈
2020-03-24,hhhhhhhhhhhhhhhhhhhcao
2020-03-24,哈哈哈哈哈哈哈哈哈哈哈哈
2020-03-24,哈哈哈哈哈哈哈哈哈哈哈哈
2020-03-24,哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈
2020-03-24,哈哈哈哈哈
2020-03-24,哈哈哈哈哈哈哈哈哈哈哈哈
2020-03-24,？？？
2020-03-24,哈哈哈哈哈哈哈哈哈哈
2020-03-24,哈哈哈哈哈
2020-03-24,哈哈哈哈哈哈哈哈哈哈哈哈
2020-03-24,？？？
2020-03-24,加油hhh
2020-03-24,加油川建国，在坚持半年
2020-03-24,马云爸爸的试剂盒搞哪去了
2020-03-24,马云在努力了
2020-03-24,哈哈哈哈哈哈哈哈哈
2020-03-24,哈哈哈哈哈哈哈
2020-03-24,积极？？
2020-03-24,建国改口了？？
2020-03-24,hhhhhhhhhhhh
2020-03-24,hhhhhh
2020-03-24,哈哈哈哈哈，好夸张啊
2020-03-24,哈哈哈哈哈哈哈
2020-03-24,哈哈哈哈
2020-03-24,xswl
2020-03-24,建国同志哈哈哈哈哈哈哈哈
2020-03-24,哈哈哈哈哈哈哈哈哈哈哈哈
2020-03-24,哈哈哈哈哈哈哈哈
2020-03-24,哈哈哈哈哈哈
2020-03-24,？？？？？？？？？？？？
2020-03-24,奈何川普支持率还是那么高
2020-03-24,哈哈哈哈哈哈哈哈哈
2020-03-24,2333
2020-03-24,向建国同志致敬，您辛苦了
2020-03-24,保护
2020-03-24,哈哈哈
2020-03-24,哈哈哈
2020-03-24,R.I.P
2020-03-24,哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈嗝
2020-03-24,屏幕黑白了哈哈哈哈
2020-03-24,哈哈哈
2020-03-24,口语好好哦哈哈哈哈哈哈哈
2020-03-24,建国同志很辛苦的不要怼他了
2020-03-24,哈哈哈哈哈哈哈哈
2020-03-24,哈哈哈哈哈哈哈哈
2020-03-24,泪目泪目
2020-03-24,建国加油啊
2020-03-24,哈哈哈哈
