日期,内容
2020-06-19,那武汉人出去隔离有找谁去说呢
2020-06-19,赞！祖国的伟大
2020-06-19,赞(/≧▽≦/)
2020-06-19,可以
2020-06-19,1
2020-06-19,请善待
2020-06-19,对对，说得好好！
2020-06-20,加油北京
2020-06-20,隔离是应该的
2020-06-20,建议无效
2020-06-20,满满的安全感哈哈
2020-06-20,别说了，我湖北籍的同学，核酸检测阴性学校不让回学校(╥_╥)
2020-06-20,北京毕竟国家枢纽
2020-06-20,省心点吧谨慎态度对待还是没错的
2020-06-20,应该隔离
2020-06-20,支持
2020-06-20,北京已经在全面普测核酸，有啥怕的
2020-06-20,严格点好
2020-06-20,不敢
2020-06-20,工作
2020-06-20,加油
2020-06-20,北京加油
2020-06-20,评论来看，国民素质有待加强。
2020-06-20,看见双标的就来气
2020-06-20,天津去北京出差的已经取消了
2020-06-20,双标
2020-06-20,对
2020-06-20,加油
2020-06-20,……总觉得不太放心
2020-06-20,…区别对待
2020-06-20,坐公交记得好好扫码
2020-06-20,应该
2020-06-20,说武汉的真实情况就是带节奏，您可真搞笑
2020-06-20,基本没有还是有些，你也知道，这病毒传染力超强吧
2020-06-20,我觉得不是
2020-06-20,那武汉人出去隔离有找谁去说呢
2020-06-20,赞！祖国的伟大
2020-06-20,赞(/≧▽≦/)
2020-06-20,可以
2020-06-20,1
2020-06-20,请善待
2020-06-20,对对，说得好好！
2020-06-21,有道理
2020-06-21,不同意
2020-06-21,2020届毕业生，哎，不容易
2020-06-21,加油北京
2020-06-21,隔离是应该的
2020-06-21,建议无效
2020-06-21,满满的安全感哈哈
2020-06-21,别说了，我湖北籍的同学，核酸检测阴性学校不让回学校(╥_╥)
2020-06-21,北京毕竟国家枢纽
2020-06-21,省心点吧谨慎态度对待还是没错的
2020-06-21,应该隔离
2020-06-21,支持
2020-06-21,北京已经在全面普测核酸，有啥怕的
2020-06-21,严格点好
2020-06-21,不敢
2020-06-21,工作
2020-06-21,加油
2020-06-21,北京加油
2020-06-21,评论来看，国民素质有待加强。
2020-06-21,看见双标的就来气
2020-06-21,天津去北京出差的已经取消了
2020-06-21,双标
2020-06-21,对
2020-06-21,加油
2020-06-21,……总觉得不太放心
2020-06-21,…区别对待
2020-06-21,坐公交记得好好扫码
2020-06-21,应该
2020-06-21,说武汉的真实情况就是带节奏，您可真搞笑
2020-06-21,基本没有还是有些，你也知道，这病毒传染力超强吧
2020-06-21,我觉得不是
2020-06-21,那武汉人出去隔离有找谁去说呢
2020-06-21,赞！祖国的伟大
2020-06-21,赞(/≧▽≦/)
2020-06-21,可以
2020-06-21,1
2020-06-21,请善待
2020-06-21,对对，说得好好！
2020-06-23,按照各地防控要求来吧
2020-06-23,有道理
2020-06-23,不同意
2020-06-23,2020届毕业生，哎，不容易
2020-06-23,加油北京
2020-06-23,隔离是应该的
2020-06-23,建议无效
2020-06-23,满满的安全感哈哈
2020-06-23,别说了，我湖北籍的同学，核酸检测阴性学校不让回学校(╥_╥)
2020-06-23,北京毕竟国家枢纽
2020-06-23,省心点吧谨慎态度对待还是没错的
2020-06-23,应该隔离
2020-06-23,支持
2020-06-23,北京已经在全面普测核酸，有啥怕的
2020-06-23,严格点好
2020-06-23,不敢
2020-06-23,工作
2020-06-23,加油
2020-06-23,北京加油
2020-06-23,评论来看，国民素质有待加强。
2020-06-23,看见双标的就来气
2020-06-23,天津去北京出差的已经取消了
2020-06-23,双标
2020-06-23,对
2020-06-23,加油
2020-06-23,……总觉得不太放心
2020-06-23,…区别对待
2020-06-23,坐公交记得好好扫码
2020-06-23,应该
2020-06-23,说武汉的真实情况就是带节奏，您可真搞笑
2020-06-23,基本没有还是有些，你也知道，这病毒传染力超强吧
2020-06-23,我觉得不是
2020-06-23,那武汉人出去隔离有找谁去说呢
2020-06-23,赞！祖国的伟大
2020-06-23,赞(/≧▽≦/)
2020-06-23,可以
2020-06-23,1
2020-06-23,请善待
2020-06-23,对对，说得好好！
2020-06-24,支持！！！
2020-06-24,支持！！！
2020-06-24,按照各地防控要求来吧
2020-06-24,有道理
2020-06-24,不同意
2020-06-24,2020届毕业生，哎，不容易
2020-06-24,加油北京
2020-06-24,隔离是应该的
2020-06-24,建议无效
2020-06-24,满满的安全感哈哈
2020-06-24,别说了，我湖北籍的同学，核酸检测阴性学校不让回学校(╥_╥)
2020-06-24,北京毕竟国家枢纽
2020-06-24,省心点吧谨慎态度对待还是没错的
2020-06-24,应该隔离
2020-06-24,支持
2020-06-24,北京已经在全面普测核酸，有啥怕的
2020-06-24,严格点好
2020-06-24,不敢
2020-06-24,工作
2020-06-24,加油
2020-06-24,北京加油
2020-06-24,评论来看，国民素质有待加强。
2020-06-24,看见双标的就来气
2020-06-24,天津去北京出差的已经取消了
2020-06-24,双标
2020-06-24,对
2020-06-24,加油
2020-06-24,……总觉得不太放心
2020-06-24,…区别对待
2020-06-24,坐公交记得好好扫码
2020-06-24,应该
2020-06-24,说武汉的真实情况就是带节奏，您可真搞笑
2020-06-24,基本没有还是有些，你也知道，这病毒传染力超强吧
2020-06-24,我觉得不是
2020-06-24,那武汉人出去隔离有找谁去说呢
2020-06-24,赞！祖国的伟大
2020-06-24,赞(/≧▽≦/)
2020-06-24,可以
2020-06-24,1
2020-06-24,请善待
2020-06-24,对对，说得好好！
2020-06-25,来出差，检测报告阴性但是院里不让回枯了
2020-06-25,支持！！！
2020-06-25,支持！！！
2020-06-25,按照各地防控要求来吧
2020-06-25,有道理
2020-06-25,不同意
2020-06-25,2020届毕业生，哎，不容易
2020-06-25,加油北京
2020-06-25,隔离是应该的
2020-06-25,建议无效
2020-06-25,满满的安全感哈哈
2020-06-25,别说了，我湖北籍的同学，核酸检测阴性学校不让回学校(╥_╥)
2020-06-25,北京毕竟国家枢纽
2020-06-25,省心点吧谨慎态度对待还是没错的
2020-06-25,应该隔离
2020-06-25,支持
2020-06-25,北京已经在全面普测核酸，有啥怕的
2020-06-25,严格点好
2020-06-25,不敢
2020-06-25,工作
2020-06-25,加油
2020-06-25,北京加油
