日期,内容
2020-02-18,山川异域，风月同天。
2020-02-18,日本加油
2020-02-18,看到评论我就放心了，国人不是一味地滥发同情心
2020-02-18,看到评论我就放心了，国人不是一味地滥发同情心
2020-02-18,这。。。
2020-02-18,主要是促进东亚经济共同体的建设
2020-02-18,日本加油平安吉祥
2020-02-18,中日友好开启
2020-02-18,我大朝
2020-02-18,我大天朝行啊
2020-02-18,这是改变日本人观念的机会
2020-02-18,准备往那儿寄物资吧
2020-02-18,能帮就帮吧
2020-02-18,山川异域，风月同天
2020-02-18,我们也念几句诗
2020-02-18,念诗念诗
2020-02-18,日本加油。
2020-02-18,风月同天，山川异域。
2020-02-18,人类的本质就是复读机
2020-02-18,也希望日本对疫情得到控制，让人民少受苦难
2020-02-18,不要重复我们的错误啊QAQ
2020-02-18,都是亚洲人，加油啊
2020-02-18,人类总是重复着相同的错误
2020-02-18,我们不用感，是真的身受
2020-02-18,尽力相助，而非全力相助
2020-02-18,加油！
2020-02-18,山川异域，风月同天
2020-02-18,这么殷勤，还不是奥运会想挣钱
2020-02-18,加油噢力给
2020-02-18,加油日本
2020-02-18,特摄会不会就不拍了
2020-02-18,山川异域，风月同天
2020-02-18,等我们好了再救援他们，记住巴铁也在闹蝗灾
2020-02-18,能帮就帮帮他们吧
2020-02-18,作业都抄不好
2020-02-18,山川异域，风月同天。
2020-02-18,今天看了几个日本的报道，感觉日本对新冠的警觉度不够
2020-02-18,相互相助
2020-02-18,明月不归沉碧海，白云愁色满苍梧。作业给你抄，东西我们就不还了。
2020-02-18,太难了
2020-02-18,真·感同身受
2020-02-18,就怕他们已经没口罩了
2020-02-18,还有俄罗斯，巴基斯坦
2020-02-18,从情感来看，这是对前不久日本援华的反馈。从国家大局来看，这是联合东亚的一步
2020-02-18,","
2020-02-18,这情商
2020-02-18,礼尚往来
2020-02-19,中方：方舱医院诗友会，敢来战否？
2020-02-19,投之以桃，报之以李
2020-02-19,加油
2020-02-19,日本:呕吼，完了
2020-02-19,很适度
2020-02-19,弱小和无知不是生存的障碍，傲慢才是
2020-02-19,不想帮就不想帮，绝大多数你从哪得出的？
2020-02-19,山川异域，日月同天，箱子日本箱子上的字是我们中国人自己弄上去的
2020-02-19,山川
2020-02-19,日本廷住
2020-02-19,日本政府并不负责任
2020-02-19,日本加油，安倍坚挺…
2020-02-19,日本只不过担心奥运会而已，礼尚往来，适可而止。
2020-02-19,加油
2020-02-19,加油
2020-02-19,好像俄罗斯、韩国比日本捐的多！
2020-02-19,合国吧
2020-02-19,把口罩全部扫回来
2020-02-19,山川异域，风月同天。
2020-02-19,日本加油
2020-02-19,看到评论我就放心了，国人不是一味地滥发同情心
2020-02-19,看到评论我就放心了，国人不是一味地滥发同情心
2020-02-19,这。。。
2020-02-19,主要是促进东亚经济共同体的建设
2020-02-19,日本加油平安吉祥
2020-02-19,中日友好开启
2020-02-19,我大朝
2020-02-19,我大天朝行啊
2020-02-19,这是改变日本人观念的机会
2020-02-19,准备往那儿寄物资吧
2020-02-19,能帮就帮吧
2020-02-19,山川异域，风月同天
2020-02-19,我们也念几句诗
2020-02-19,念诗念诗
2020-02-19,日本加油。
2020-02-19,风月同天，山川异域。
2020-02-19,人类的本质就是复读机
2020-02-19,也希望日本对疫情得到控制，让人民少受苦难
2020-02-19,不要重复我们的错误啊QAQ
2020-02-19,都是亚洲人，加油啊
2020-02-19,人类总是重复着相同的错误
2020-02-19,我们不用感，是真的身受
2020-02-19,尽力相助，而非全力相助
2020-02-19,加油！
2020-02-19,山川异域，风月同天
2020-02-19,这么殷勤，还不是奥运会想挣钱
2020-02-19,加油噢力给
2020-02-19,加油日本
2020-02-19,特摄会不会就不拍了
2020-02-19,山川异域，风月同天
