日期,内容
2020-02-11,这就是制度优势！！
2020-02-11,这也能锻炼我们的医学队伍
2020-02-11,最为一个北大毕业的山东人，我知道他们面临多大的危险，我更是希望他们照顾好自己照顾好病人，平安胜利！！！
2020-02-11,都是精英中的精英
2020-02-11,都是大牛人
2020-02-11,厉害了我的天使们
2020-02-11,瞬间泪目！
2020-02-11,三连支持
2020-02-11,大佬们辛苦了
2020-02-11,nb
2020-02-11,致敬！中国加油！武汉加油！
2020-02-11,真厉害
2020-02-11,我的天八位护士长
2020-02-11,泪目
2020-02-11,我北医排面大
2020-02-11,川大华西nb
2020-02-11,加油！
2020-02-11,这种危急时刻还是要靠公立医院啊!
2020-02-11,华西来了
2020-02-11,行李物资要自己拿好啊
2020-02-11,东齐鲁，西华西
2020-02-11,这已经是中国最好的几个医院了.~!
2020-02-11,突然就泪目
2020-02-11,突然泪目
2020-02-11,北京来的这批都是院长和党委书记亲自挂帅啊
2020-02-11,你们是哪个部队的？我们是……。。。。突然就泪目了
2020-02-11,你们辛苦啦
2020-02-11,加油！
2020-02-11,牛批
2020-02-11,看到曙光
2020-02-12,王炸
2020-02-12,齐鲁医院牛壁
2020-02-12,齐鲁医院牛壁
2020-02-12,都是精锐中的精锐武汉有救了
2020-02-12,膜拜大佬
2020-02-12,四大天王lei了！病毒给爷爬！
2020-02-12,专家也要好好注意身体啊
2020-02-12,强调北大？
2020-02-12,关键时刻还是国家队的靠谱
2020-02-12,百团大战开始了
2020-02-12,协和第一啊
2020-02-12,我真哭了，加油啊！
2020-02-12,加油！
2020-02-12,真·国家队
2020-02-12,好厉害啊
2020-02-12,北协和中国最强
2020-02-12,辛苦
2020-02-12,院长挂帅
2020-02-12,百团大战
2020-02-12,武汉会战
2020-02-12,这就是制度优势！！
2020-02-12,这也能锻炼我们的医学队伍
2020-02-12,最为一个北大毕业的山东人，我知道他们面临多大的危险，我更是希望他们照顾好自己照顾好病人，平安胜利！！！
2020-02-12,都是精英中的精英
2020-02-12,都是大牛人
2020-02-12,厉害了我的天使们
2020-02-12,瞬间泪目！
2020-02-12,三连支持
2020-02-12,大佬们辛苦了
2020-02-12,nb
2020-02-12,致敬！中国加油！武汉加油！
2020-02-12,真厉害
2020-02-12,我的天八位护士长
2020-02-12,泪目
2020-02-12,我北医排面大
2020-02-12,川大华西nb
2020-02-12,加油！
2020-02-12,这种危急时刻还是要靠公立医院啊!
2020-02-12,华西来了
2020-02-12,行李物资要自己拿好啊
2020-02-12,东齐鲁，西华西
2020-02-12,这已经是中国最好的几个医院了.~!
2020-02-12,突然就泪目
2020-02-12,突然泪目
2020-02-12,北京来的这批都是院长和党委书记亲自挂帅啊
2020-02-12,你们是哪个部队的？我们是……。。。。突然就泪目了
2020-02-12,你们辛苦啦
2020-02-12,加油！
2020-02-12,牛批
2020-02-12,看到曙光
2020-02-13,现在全国的大佬都转武汉了
2020-02-13,北京朝阳也很棒的，以前是王辰院长
2020-02-13,院士
2020-02-13,好的祖国人民相信您们定会凯旋而归
2020-02-13,太厉害了8位护士长
2020-02-13,湖南治愈率差不多四分之一。
2020-02-13,院长都来这多，厉害
2020-02-13,王炸
2020-02-13,齐鲁医院牛壁
2020-02-13,齐鲁医院牛壁
2020-02-13,都是精锐中的精锐武汉有救了
2020-02-13,膜拜大佬
2020-02-13,四大天王lei了！病毒给爷爬！
2020-02-13,专家也要好好注意身体啊
2020-02-13,强调北大？
2020-02-13,关键时刻还是国家队的靠谱
2020-02-13,百团大战开始了
2020-02-13,协和第一啊
2020-02-13,我真哭了，加油啊！
2020-02-13,加油！
2020-02-13,真·国家队
2020-02-13,好厉害啊
2020-02-13,北协和中国最强
2020-02-13,辛苦
2020-02-13,院长挂帅
2020-02-13,百团大战
2020-02-13,武汉会战
2020-02-13,这就是制度优势！！
2020-02-13,这也能锻炼我们的医学队伍
2020-02-13,最为一个北大毕业的山东人，我知道他们面临多大的危险，我更是希望他们照顾好自己照顾好病人，平安胜利！！！
2020-02-13,都是精英中的精英
2020-02-13,都是大牛人
2020-02-13,厉害了我的天使们
2020-02-13,瞬间泪目！
2020-02-13,三连支持
2020-02-13,大佬们辛苦了
2020-02-13,nb
2020-02-13,致敬！中国加油！武汉加油！
2020-02-13,真厉害
2020-02-13,我的天八位护士长
2020-02-13,泪目
2020-02-13,我北医排面大
2020-02-13,川大华西nb
2020-02-13,加油！
2020-02-13,这种危急时刻还是要靠公立医院啊!
2020-02-13,华西来了
2020-02-13,行李物资要自己拿好啊
2020-02-13,东齐鲁，西华西
2020-02-13,这已经是中国最好的几个医院了.~!
2020-02-13,突然就泪目
2020-02-13,突然泪目
2020-02-13,北京来的这批都是院长和党委书记亲自挂帅啊
2020-02-13,你们是哪个部队的？我们是……。。。。突然就泪目了
2020-02-13,你们辛苦啦
2020-02-13,加油！
2020-02-13,牛批
2020-02-13,看到曙光
2020-02-14,全都是大牛。。
2020-02-14,中国最顶尖综合医院北京协和
2020-02-14,王炸。。。
2020-02-14,医疗届“大佬”齐聚诊治
2020-02-14,国家队全“明星”阵容
2020-02-14,我大温州，打浙江o死亡率。
2020-02-14,看起来就很强
2020-02-14,太强了
2020-02-14,武汉会战，战必胜
2020-02-14,北京队冲！
2020-02-14,国家队！！
2020-02-14,那些天天喷国家的看到没有。这就是中国
