日期,内容
2021-01-22,让他这么干，我们可以耗死他
2021-01-22,人家只要关心一亿人，剩下的十来亿牲口无所谓了
2021-01-22,好事，把有限资源尽可能多地投入到非经济领域
2021-01-22,印度手机聪明的知道瘟疫和战争是要一起来的
2021-01-22,自然淘汰率10%，他们不会在乎新冠病毒的！
2021-01-22,他们眼中的人民，不是我们理解的人民！
2021-01-22,兔子：不用内涵，直接点名行么
2021-01-22,谜之自信
2021-01-22,核头咋了
2021-01-22,种姓制度了解一下。不配被称之为人的低种姓族群，死了也不算数，因为你根本就不是人。
2021-01-22,不贵哪来回扣？那么多人等着分呢
2021-01-22,up是田柳的？老乡？
2021-01-22,这么少？不应该啊……难不成他们真靠恒河水的练就了毒免疫?
2021-01-22,苏联(印度)解体
2021-01-22,二手的
2021-01-22,危机转移
2021-01-22,人家可以借钱发展军事，然后耍流氓不还，而且是亚投行的
2021-01-22,你不懂，你看看中国在干什么，印度走的另一条路！
2021-01-22,某个冤大头给的呗
2021-01-22,音乐突然欢乐了起来
