日期,内容
2020-03-05,统称美国流感
2020-03-05,表情好A
2020-03-05,我好爱这个眼神啊啊啊啊awsl
2020-03-05,霸气
2020-03-05,哈哈哈，帅
2020-03-05,66666
2020-03-05,帅
2020-03-05,眼神好评
2020-03-05,漂亮
2020-03-05,王之藐视
2020-03-05,强
2020-03-05,怼死他们，只要怼不死，就给我往死里怼
2020-03-05,牛
2020-03-05,干得漂亮
2020-03-05,硬核
2020-03-05,那是猪流感··猪···
2020-03-05,再来亿遍
2020-03-05,好藐视哈哈哈哈哈哈哈哈哈
2020-03-05,贼喊捉贼
2020-03-05,美洲病夫
2020-03-05,声音好好听
2020-03-05,眼神很到位
2020-03-05,眼神爱了爱了
2020-03-05,爬！
2020-03-05,美帝日常双标
2020-03-05,本来就是！美帝什么脑回路？
2020-03-05,王者的蔑视
2020-03-05,怼的好
2020-03-05,说得好
2020-03-05,直接怼美国？
2020-03-05,帅！！！
2020-03-05,病毒没有国界，更无国籍
2020-03-05,霸气
2020-03-05,真气势
2020-03-05,霸气
2020-03-05,谁要求美国为艾滋病道歉了？！
2020-03-05,对美国就要往死了怼
2020-03-05,看我眼神行事
2020-03-05,干得漂亮
2020-03-05,表情好评
2020-03-05,用拳头向美国“道歉”
2020-03-05,老美臭不要脸啊
2020-03-05,怼他
2020-03-05,这眼神，粉了
2020-03-05,霸气得小眼神
2020-03-05,北美病夫
2020-03-05,太帅了，眼神
2020-03-05,春莹姐去哪了？
2020-03-05,好
2020-03-05,阿丘出来挨打
2020-03-05,这是病毒啊！不是人为可以控制的啊
2020-03-05,只有我觉得眼神很犀利吗
2020-03-05,太帅了
2020-03-05,帅
2020-03-05,好帅啊。我可以。
2020-03-05,好有节奏的bgm
2020-03-05,好刚
2020-03-05,明显在找茬
2020-03-05,如果真的需要，美国得下跪
2020-03-05,好爱这个男人
2020-03-05,帅
2020-03-05,@阿丘
2020-03-05,我倒是感觉，应该让全世界给中国说声谢谢啥的。毕竟全球性的灾难，在中国已经狙击掉了大半。
2020-03-05,漂亮的反击
2020-03-05,大快人心！
2020-03-05,病毒如果不是认为的是大自然进化的产物，那么中国也是受害者。而且提前把病毒狙击掉了一大部分，有什么可道歉的。
2020-03-05,好！
2020-03-05,ohhhhhhhhhhhhhhhhh
2020-03-05,这个眼神，太大佬了
2020-03-05,帅的不要不要
2020-03-05,干得漂亮
2020-03-05,美国，可爱啊
2020-03-05,说得好
2020-03-05,爽爆了！！！！！
2020-03-05,就喜欢这个眼神
2020-03-05,听着真的很舒服事情还没有定论，为什么要我们道歉？
2020-03-05,啊啊啊，霸气十足
2020-03-05,王之蔑视
2020-03-05,阿丘就是跪久了下肢瘫痪
2020-03-05,语气要强硬点
2020-03-05,美国白皮猪
2020-03-05,懂的都懂
2020-03-05,这个bgm经常是那种火辣热舞的
2020-03-05,@阿丘
2020-03-05,得得在他们自己的新闻上道歉，让美国人自己知道
2020-03-05,霸气
2020-03-05,这眼神到位
2020-03-05,得在他们自己的新纹身
2020-03-05,214个，我去
2020-03-05,王之蔑视
2020-03-05,有理有据
2020-03-05,最后一句那不屑一顾实在是绝了
2020-03-05,太帅了
2020-03-05,帅！
2020-03-05,好帅
2020-03-05,眼神我爱了
2020-03-05,好帅！
2020-03-05,艾滋病道歉
2020-03-05,？
2020-03-05,这眼神就是看不起你啊小美国
2020-03-05,好，太好了
2020-03-05,中国nb
2020-03-05,病毒就是美国的
2020-03-05,帅！
2020-03-05,酷！
2020-03-05,阿丘，一丘之貉！
2020-03-05,一丘之貉！
2020-03-05,最后一个眼神，帅！！！
2020-03-05,霸气回应
2020-03-05,中国加油
2020-03-05,美国弟弟行为
2020-03-05,美国弟弟行为
2020-03-05,i了i了
2020-03-05,霸气回怼
2020-03-05,温文尔雅而不失霸气
2020-03-05,王之蔑视，，
2020-03-05,？？？
2020-03-05,m
2020-03-05,王之蔑视
2020-03-05,帅
2020-03-05,武汉加油
2020-03-05,真是个狠人
2020-03-05,666
2020-03-05,18449
2020-03-05,说得好
2020-03-05,漂亮
2020-03-05,中国万岁
2020-03-05,狠狠怼，怼的好
2020-03-05,爽
2020-03-05,中国永不道歉！也不会道歉！
2020-03-05,6666
2020-03-05,@阿丘
2020-03-05,祖国加油
2020-03-05,i了i了
2020-03-05,有内味了
2020-03-05,要不是中国，鬼知道现在病毒会传播成什么样子
2020-03-05,痞帅痞帅的坚哥我好爱
2020-03-05,最后一句话听的真爽
2020-03-05,霸气
2020-03-05,这眼神我爱了
2020-03-05,眼神爱了
2020-03-05,王之藐视
2020-03-05,不敢不敢（滑稽）
2020-03-05,干的漂亮
2020-03-05,怼得漂亮
2020-03-05,这眼神霸气
2020-03-05,这是自然选择啊
2020-03-05,为什么说美国就没字幕？
2020-03-05,坚哥眼神爱了
2020-03-05,这眼神牛逼啊
2020-03-05,来了
2020-03-05,美国猪流感
2020-03-05,鄙视的眼神
2020-03-05,美国贼喊捉贼
2020-03-05,说的好
2020-03-05,美国猪流感
2020-03-05,任你逼逼叨，看我尔不尔你
2020-03-05,美国猪流感
2020-03-05,哈？
2020-03-05,眼神杀！
2020-03-05,干得漂亮
2020-03-05,眼神带着藐视
2020-03-05,说的好
2020-03-05,美国刘信达
2020-03-05,大佬大佬····
2020-03-05,这个蔑视的眼神，哈哈哈
2020-03-05,说得好
2020-03-05,这bgm太土了
2020-03-05,帅的呀
2020-03-05,霸气
2020-03-05,坚哥奥里给
2020-03-05,我要求
2020-03-05,艾滋病也是美国不重视，才导致不可大暴发的
2020-03-05,这气势！无敌了
2020-03-05,求BGM
2020-03-05,热
2020-03-05,王之蔑视
2020-03-05,中国加油
