日期,内容
2020-04-29,大师姐好
2020-04-29,大师姐
2020-04-29,解决不了，别难为大师姐
2020-04-29,局座加油，动用因果律武器搞掉美国。
2020-04-29,养蛊神器
2020-04-29,拖垮美国
2020-04-29,大师姐！亚太分部前来捧场。
2020-04-29,解锁
2020-04-29,中国赶紧花个2000亿压压惊
2020-04-29,防务新观察里的
2020-04-29,底牌—1
2020-04-29,CCTV7
2020-04-29,局座讲过
2020-04-29,师姐好
2020-04-29,钱都花在维护霸权了
2020-04-29,此外还有阿拉斯加北极海岸
2020-04-29,除了东海岸西海岸还有南海岸（休斯顿那儿）跟夏威夷岛
2020-04-29,又来南海转了
2020-04-29,真的有钱啊美国
2020-04-29,红旗行动？
2020-04-29,大师姐
2020-04-29,下面有请预言家发言
2020-04-29,大师姐
2020-04-29,没有下一步了，我是2022年回来的
2020-04-29,你穿越了
2020-04-29,能跟炮座比？你认真的么
2020-04-29,大师姐
2020-04-29,大师姐
2020-04-29,大师姐
2020-04-29,大师姐好
2020-04-29,有内味了
2020-04-29,口胡！！这是大师姐！！
2020-04-29,大师姐好
2020-04-29,师姐好
2020-04-29,这巨剑破浪真帅
2020-04-29,俄亥俄
2020-04-29,这段对话似曾相识！
2020-04-29,好看
2020-04-29,放到这里，我感觉会祸害我们的军事专家的风评
2020-04-29,这个女人来啦！
2020-04-29,别喊了，没人
2020-04-29,大师姐
2020-04-29,666
2020-04-29,局座徒弟哦
2020-04-29,远程开潜艇，玩过游戏没？拿个手柄开
2020-04-29,和那个男人对过线的女人
2020-04-29,teacher?
2020-04-29,..
2020-04-29,...hello?
2020-04-29,hello?
2020-04-29,老师看见我了吗
2020-04-29,谁说女子不如男？
2020-04-29,幽灵船+1
2020-04-29,李莉老师是局座的大弟子，江湖人称“大师姐”
2020-04-29,因果律
2020-04-29,大师姐
2020-04-29,发际线
2020-04-29,lily
2020-04-29,怎么看都是美国病毒
2020-04-29,这是女版局座吧
2020-04-29,大痂说狗头
2020-04-29,大师姐好
2020-04-29,看成对线专家
2020-04-29,222
2020-04-29,美国公知
2020-04-29,我没开弹幕？？？？？？？？？？？？？？？
2020-04-29,老中央7了
2020-04-29,大师姐
2020-04-29,真理范围内
2020-04-29,只有两部分，一部分和剩下一部分
2020-04-29,姐姐好
2020-04-29,快点研发空母
2020-04-29,李莉老师还新英雄？！！
2020-04-29,观察者网越来越牛掰了
2020-04-29,666
2020-04-29,影响不大，别歪歪了
2020-04-29,防务新观察
2020-04-29,这不是那谁吗？
2020-04-29,一个美颜美的当然像了
2020-04-29,李莉!!!!!!!
2020-04-29,是大师姐
2020-04-29,是大世界
2020-04-29,大师姐
2020-04-29,666
2020-04-29,大佬
2020-04-29,2333+666
2020-04-29,大师姐
2020-04-29,大师姐
2020-04-29,lili
2020-04-29,3
2020-04-29,李姐
2020-04-29,888人正在看
2020-04-29,为什么好像看过。。。。
2020-04-29,这不是大师姐吗
2020-04-29,还要烧钱的功能，这是美弟衰落的最大诱因
2020-04-29,这视频不是看过了？
2020-04-29,对话20年后的自己
2020-04-29,超时空对话
2020-04-29,看过了
2020-04-29,我觉得十年以后，日本可能不会像以前那么亲美了
2020-04-29,大师姐好
2020-04-29,莉姐
2020-04-29,果然电视台的化妆更专业
2020-04-29,央视国防频道专家
2020-04-29,Navyseal?
2020-04-29,英文字幕好像不对
2020-04-29,大师姐！
2020-04-29,放弃幻想准备打仗
2020-04-29,梅开二度？
2020-04-29,还好吧也针对不了中国。这些东西想让他消失还是很简单的毕竟离我们很近离美国很远
2020-04-29,大师姐
2020-04-29,说新大佬的我来科普下这是局座的学生江湖人称大师姐
2020-04-29,前面是导语
2020-04-29,弹幕呢？
2020-04-29,。
2020-04-29,女版炮座
2020-04-29,真让人头大
2020-04-29,Lily
2020-04-29,解锁新英雄
2020-04-29,密闭的核潜艇确诊太可怕了
2020-04-29,反正都是在别国的土地上霍霍
2020-04-29,又发了一遍？
2020-04-29,美军真有钱
2020-04-29,美女与武器
2020-04-29,因果律武器第二代掌门人么2333
2020-04-29,知性美
2020-04-29,大师姐
2020-04-29,好美丽
2020-04-29,加油特种兵
2020-04-29,李红好，大家好
2020-04-29,西海岸——东海岸，这不就全了么？是说还有非本土基地是么？
2020-04-29,2333
2020-04-29,这不就养蛊吗？【doge】
2020-04-29,l
2020-04-29,不是发过了么？燕返？
2020-04-29,66666
2020-04-29,简单来说就是针对中国
2020-04-29,！！！
2020-04-29,妈妈最爱的女儿
2020-04-29,战乎
2020-04-29,大师姐好
2020-04-29,新英雄
2020-04-29,大师姐你们说新英雄？
2020-04-29,李莉可是局座的学生
2020-04-29,大师姐
2020-04-29,超级病毒培养皿啊这是
2020-04-29,密闭的怎么得上的
2020-04-29,这是大师姐，
2020-04-29,大师姐
2020-04-29,大师姐
2020-04-29,大师姐
2020-04-29,大师姐
2020-04-29,还容易挨打。
2020-04-29,什么小弟，叫大师姐！
2020-04-29,红警3地图即视感
