日期,内容
2020-08-08,free～dom～
2020-08-08,字由的气息
2020-08-08,居然没带枪
2020-08-08,为什么是现金
2020-08-08,大写的惨字
2020-08-08,太惨了
2020-08-08,光天化日抢劫。。。。。。。
2020-08-08,666
2020-08-08,美丽的风景线
2020-08-08,这就别调侃了吧。。
2020-08-08,一道黑影连脸都看不清
2020-08-08,体质问题
2020-08-08,美丽的风景线飞扬着自由的气息
2020-08-08,nice
2020-08-08,肯定是老倪抢的
2020-08-08,被盯上了
2020-08-08,为什么要现金？
2020-08-08,为什么取现金……
2020-08-08,枪很重要
2020-08-08,悲剧
2020-08-08,方方出来写日记啦
2020-08-08,还有钱请的起律师
2020-08-08,肯定是黑人干的
2020-08-08,很快就成流浪汉了
2020-08-08,这是一道美丽的风景线
2020-08-08,抢回来啊，丛林法则
2020-08-08,这么惨的吗
2020-08-08,所以要什么纸币
2020-08-08,民风淳朴
2020-08-08,为啥要现金
2020-08-08,还是移动支付安全
2020-08-08,哈哈，电子支付的重要性
2020-08-08,香甜
2020-08-08,惨
2020-08-08,自由的气息
2020-08-08,白人的钱也是钱
2020-08-08,自由的抢劫不算抢劫，这是融资
2020-08-08,在美国没有枪的下场
2020-08-08,这个人没有钱活下去了你们猜他下一步会什么做
2020-08-08,这下直接变流浪汉了
2020-08-08,黑人！
2020-08-08,一看那跑步体形就是黑人！
2020-08-08,太惨了
2020-08-08,还取现金？太落后了
2020-08-08,？？？？？？
2020-08-08,惨
2020-08-08,自由
2020-08-08,可怜
2020-08-08,说电子支付是魔鬼的那个你别用啊
2020-08-08,美国梦
2020-08-08,我感觉可能熟人有内鬼
2020-08-08,肯定是被盯上了，财不露白啊
2020-08-08,确实挺可怜的，弹幕不要幸灾乐祸啊
2020-08-08,太惨了
2020-08-08,说干的漂亮的怕是脑子进岩浆了
2020-08-08,真棒棒
2020-08-08,詹姆斯赔吧
2020-08-08,自由而甜美的空气
2020-08-08,为什么花钱要取出来呢？不信任银行了吗？
2020-08-08,厉害了我的美国劫匪
2020-08-08,抓不到了
2020-08-08,啊，这香甜的空气
2020-08-08,自由
2020-08-08,免费啦！
2020-08-08,移动支付多重要
2020-08-08,怎么就黑人了，只是黑衣男子，白人也可能抢劫啊
2020-08-08,自由
2020-08-08,卖房款20万美金？逗呢？
2020-08-08,话说这谁录的？。。。
2020-08-08,啊自由
2020-08-08,自由国度的香甜空气
2020-08-08,也就美国人四年工资，不心疼
2020-08-08,抢回来。
2020-08-08,太可怜了
2020-08-08,黑人抢的吧
2020-08-08,黑人
2020-08-08,民风淳朴
2020-08-08,自由国家自由抢劫
2020-08-08,自由
2020-08-08,???????
2020-08-08,自由的气息，被抢的老哥悲剧啊
2020-08-08,没有电子银行吗？
2020-08-08,好活
2020-08-08,现金
2020-08-08,民风淳朴
2020-08-08,惹
2020-08-08,高端人才
2020-08-08,太惨了
2020-08-08,可怜
2020-08-08,可怜
2020-08-08,舒服
2020-08-08,有个网络支付多好
2020-08-08,为啥要取出现金，，，，不是在卡里面么，
2020-08-08,太惨了
2020-08-08,用140万暂时渡过难关！！！
2020-08-08,太惨了
2020-08-08,让美国再次伟大
2020-08-08,自由
2020-08-08,太惨了
2020-08-08,风景线
2020-08-08,去做抢劫吧
2020-08-08,像巴西啊
2020-08-08,肯定被人盯上了
2020-08-08,监控呢？？
2020-08-08,自由
2020-08-08,正道的光
2020-08-08,好像是黑人抢的
2020-08-08,好逼真
2020-08-08,感觉是黑人抢的
2020-08-08,吔
2020-08-08,定体问
2020-08-08,心疼他
2020-08-08,这就是自由
2020-08-08,定体问！
2020-08-08,美丽的风景线
2020-08-08,知道移动支付的好处了吧？他顶多抢你个手机
2020-08-08,卧槽无情
2020-08-08,美利坚
2020-08-08,黑人？
2020-08-08,美丽的风景线
2020-08-08,假新闻，美国怎么可能有抢劫案发生（）
2020-08-08,还拿现金
2020-08-08,也许这就是生活
2020-08-08,米国真香！！！
2020-08-08,民风淳朴
2020-08-08,就算被追回来。胳膊脱臼估计也得1万块钱治吧。一共就20万。只剩19万了。
2020-08-08,自由漂亮国
2020-08-08,自由
2020-08-08,惨
2020-08-08,这就是美国真的
2020-08-08,民风淳朴
2020-08-08,带这么多现金，居然不拿枪。
2020-08-08,路人忙着拍视频
2020-08-08,论个案国内也有吧也有更惨的
2020-08-08,美国一直抨击我国的天网系统，所以美国人被抢了没法破案，这个锅白宫背
2020-08-08,猩猩的动作
2020-08-08,老围中救美了
2020-08-08,现在知道无纸化交易多重要了吧
2020-08-08,太惨了
2020-08-08,一夜回到解放前
2020-08-08,黑人厉害
2020-08-08,知道为什么黑人招人厌了吧
2020-08-08,国外的空气真香甜
2020-08-08,唉
2020-08-08,希望可以找到劫匪
2020-08-08,太惨了
2020-08-08,泥葛干的没有人事
2020-08-08,看手应该是黑人………
2020-08-08,快了快了，再坚持一年半载的
2020-08-08,自由的气息
2020-08-08,还是中国好，手机管理一切交易
2020-08-08,恭喜，丑国加大力度
2020-08-08,卧槽太惨了
2020-08-08,手机支付它不香?，怪惨的
2020-08-08,骗保
2020-08-08,为什么不存银行
2020-08-08,20万一个钱包就搞定？？？
2020-08-08,移动支付的好处
2020-08-08,现金？
2020-08-08,自由美利坚
2020-08-08,自由的交易
2020-08-08,黑人
2020-08-08,这一瞬间的事都能被录下来就离谱
2020-08-08,为什么不拿枪
2020-08-08,黑人
2020-08-08,还用现金呐
2020-08-08,牛逼
2020-08-08,可怜啊
2020-08-08,所以说谁在拍啊，不去帮忙
2020-08-08,太平盛世
2020-08-08,说实话太可怜了
2020-08-08,美丽国家，呵呵。。
2020-08-08,美丽国家，呵呵
2020-08-08,不带两把霰弹枪还敢取钱？
2020-08-08,真洛圣都
2020-08-08,黑人
2020-08-08,在中国30分钟人就抓回来了
2020-08-08,自由美利坚
2020-08-08,自由美利坚
2020-08-08,问路人为何这么冷淡的，因为这里是自由的国度，屡见不鲜……
2020-08-08,美国特色
2020-08-08,没钱又没房离流浪不远了默哀
2020-08-08,在美国抢劫就可以了，上啥班
2020-08-08,maga!!!
2020-08-08,靓丽的风景线
2020-08-08,带这么多钱竟敢不带枪？？？
2020-08-08,惨
2020-08-08,我要移民美国，我要整容成黑人，我要字由，我要简单girl！
2020-08-08,要变小丑的节奏。。
2020-08-08,自由的国度
2020-08-08,还以为是建行
2020-08-08,没良心的人下地狱去吧
2020-08-08,好可怜啊
2020-08-08,人生好艰难
2020-08-08,灯塔国
2020-08-08,太惨了吧
2020-08-08,这不是美国，你们只给我看美国不好的新闻，你们图谋不轨（）
2020-08-08,黑人
2020-08-08,美帝好自由
2020-08-08,。。
2020-08-08,在国内一定能抓出来美国就真不一定了
2020-08-08,自由的空气
2020-08-08,为啥要报现金出来？？
2020-08-08,为啥要取出来。。。刷卡不香吗？
2020-08-08,惨
2020-08-08,平时要有点积蓄啊，老美们……
2020-08-08,自由！
2020-08-08,熟人或中介，知道卖房子的人。
2020-08-08,好可怜
2020-08-08,大美丽家
2020-08-08,惨
2020-08-08,自由
2020-08-08,黑人干的
2020-08-08,黑人
2020-08-08,他有抢他的自由
2020-08-08,不要因为立场而丧失了人基本的是非观，这是我们强大的根本
2020-08-08,传统艺能？
2020-08-08,黑人
2020-08-08,没有一片雪花是无辜的
2020-08-08,赞
2020-08-08,但凡有个移动支付也不至于这样啊
2020-08-08,自由的抢劫
2020-08-08,好可怜
2020-08-08,其实用银行卡也行啊，是不是银行还要收税啊？不然干嘛要弄现金呢？
2020-08-08,民风淳朴
2020-08-08,太惨了，一定要抓到
2020-08-08,厉害厉害
2020-08-08,看来以后出门取钱带枪是刚需了
2020-08-08,太惨了哎
2020-08-08,自由的枪呢？
2020-08-08,悲剧
2020-08-08,电子支付了解下
2020-08-08,自由的国度？
2020-08-08,看看这个拍摄者
2020-08-08,这也太惨了吧
2020-08-08,还用现金
2020-08-08,这年头还拿现金，多危险啊
2020-08-08,太棒了
2020-08-08,海盗文化速度与激情
2020-08-08,nb
2020-08-08,民风淳朴
2020-08-08,没有网上银行吗？
2020-08-08,拿钱不带枪
2020-08-08,没有电子/手机支付真可怜
2020-08-08,支持共和党的下场
2020-08-08,支持共和党的下场
2020-08-08,真羡慕你们美国
2020-08-08,自由国度
2020-08-08,自由
2020-08-08,美利坚合众国义勇军在哪？
2020-08-08,抢劫犯可恶
2020-08-08,笑话别人的多少沾点
2020-08-08,我就是嘲笑美丽自由国
2020-08-08,带那么多现金吗
2020-08-08,又是黑人哈哈了快点引进
2020-08-08,自由
2020-08-08,没良心
2020-08-08,可怜
2020-08-08,路人为什么这么冷淡doge
2020-08-08,自由气息
2020-08-08,天天移动支付移动支付，这是移动支付的问题?移动支付是约束你犯罪的理由吗
2020-08-08,路人为什么这么冷淡？doge
2020-08-08,惨
2020-08-08,这个白人居然不拿枪
2020-08-08,自由香甜空气
2020-08-08,民风淳朴啊
2020-08-08,可怜
2020-08-08,我就是要笑话，怎么了？
2020-08-08,40秒处高能预警
2020-08-08,洛圣都日常
2020-08-08,自由国度，我好羡慕。
2020-08-08,光天化日
2020-08-08,气抖冷
2020-08-08,哈哈哈哈哈哈！
2020-08-08,自由色
2020-08-08,太自由了
2020-08-08,当时要是有枪就不会这样了
2020-08-08,基本是黑的
2020-08-08,不会是认识的人一直盯着吧
2020-08-08,这个国家怎么了
2020-08-08,倒卖硝酸铵，物美价廉
2020-08-08,啊自由的气息
2020-08-08,自由
2020-08-08,可怜
2020-08-08,空气是甜的，人比印第安人厉害百倍
