日期,内容
2020-01-24,怕
2020-01-24,ppa
2020-01-24,安徽安徽！！！！
2020-01-24,希望安徽提高防范意识！！！
2020-01-25,前面那个什么意思，白话又怎么样，不爱听左上角
2020-01-25,核武器有用吗
2020-01-25,大佬
2020-01-25,就是那海鲜市场
2020-01-25,港大厉害
2020-01-25,向您致敬！！
2020-01-25,怎么又是白话啊啊，种南山也是广东的
2020-01-25,非法贩卖野生动物的混蛋东西
2020-01-25,卖使用过的口罩的，真丢我安徽的脸
2020-01-25,安徽马鞍山已经发现有人卖二次用过口罩
2020-01-25,不光武汉，全国都有吃野味的，只是这次武汉中奖了。希望以后能规范市场吧
2020-01-25,是什么能咋地！就你懂的多
2020-01-25,你对大自然如何，大自然就对你如何
2020-01-25,安徽你清醒一点啊！！
2020-01-25,中国加油！武汉加油！
2020-01-25,建议吃野味的在牢里吃个够
2020-01-25,致敬！
2020-01-25,你自己要吃野味
2020-01-25,已经是了
2020-01-25,不瞎吃能这样吗？
2020-01-25,因为就是从武汉吃野味的那些人开始的
2020-01-25,上海来了武汉的，都不出门了
2020-01-25,是蝙蝠不是果子狸
2020-01-25,为什么都是武汉？
2020-01-25,"人类在大自然面前真的脆弱,就这么二十年不到都爆发了几次致命病毒了"
2020-01-25,武汉跑过来海南了
2020-01-25,好像周星驰
2020-01-25,怕
2020-01-25,ppa
2020-01-25,安徽安徽！！！！
2020-01-25,希望安徽提高防范意识！！！
2020-01-26,安徽农村还在拜年呀
2020-01-26,深井冰，这个时候还tm要强调自己地方性？
2020-01-26,02年非典从广东顺德开始，19年末新型冠状病毒从湖北武汉开始
2020-01-26,吃野味biss
2020-01-26,禁止食用野味。
2020-01-26,讲真我是武汉的我家里人没一个喜欢吃野味的
2020-01-26,所以说人类不要在侵犯大自然了啊
2020-01-26,这个是非典大佬
2020-01-26,神仙
2020-01-26,部分人害了全体，但是这一类人到处都有
2020-01-26,不管是白话还是普通话，都是中国人的骄傲。
2020-01-26,社区内爆发就不好控制了
2020-01-26,浙江这里一个卖野味的已经关了好几年了，抓的还是很严的
2020-01-26,前面那个什么意思，白话又怎么样，不爱听左上角
2020-01-26,核武器有用吗
2020-01-26,大佬
2020-01-26,就是那海鲜市场
2020-01-26,港大厉害
2020-01-26,向您致敬！！
2020-01-26,怎么又是白话啊啊，种南山也是广东的
2020-01-26,非法贩卖野生动物的混蛋东西
2020-01-26,卖使用过的口罩的，真丢我安徽的脸
2020-01-26,安徽马鞍山已经发现有人卖二次用过口罩
2020-01-26,不光武汉，全国都有吃野味的，只是这次武汉中奖了。希望以后能规范市场吧
2020-01-26,是什么能咋地！就你懂的多
2020-01-26,你对大自然如何，大自然就对你如何
2020-01-26,安徽你清醒一点啊！！
2020-01-26,中国加油！武汉加油！
2020-01-26,建议吃野味的在牢里吃个够
2020-01-26,致敬！
2020-01-26,你自己要吃野味
2020-01-26,已经是了
2020-01-26,不瞎吃能这样吗？
2020-01-26,因为就是从武汉吃野味的那些人开始的
2020-01-26,上海来了武汉的，都不出门了
2020-01-26,是蝙蝠不是果子狸
2020-01-26,为什么都是武汉？
2020-01-26,"人类在大自然面前真的脆弱,就这么二十年不到都爆发了几次致命病毒了"
2020-01-26,武汉跑过来海南了
2020-01-26,好像周星驰
2020-01-26,怕
2020-01-26,ppa
2020-01-26,安徽安徽！！！！
2020-01-26,希望安徽提高防范意识！！！
2020-01-27,说的太好了，听不懂的就看字幕
2020-01-27,武汉加油
2020-01-27,出现了
2020-01-27,武汉加油
2020-01-27,国士无双！有他们在，我们需要怕吗！
2020-01-27,国士无双！
2020-01-27,安徽农村还在拜年呀
2020-01-27,深井冰，这个时候还tm要强调自己地方性？
2020-01-27,02年非典从广东顺德开始，19年末新型冠状病毒从湖北武汉开始
2020-01-27,吃野味biss
2020-01-27,禁止食用野味。
2020-01-27,讲真我是武汉的我家里人没一个喜欢吃野味的
2020-01-27,所以说人类不要在侵犯大自然了啊
2020-01-27,这个是非典大佬
2020-01-27,神仙
2020-01-27,部分人害了全体，但是这一类人到处都有
2020-01-27,不管是白话还是普通话，都是中国人的骄傲。
2020-01-27,社区内爆发就不好控制了
2020-01-27,浙江这里一个卖野味的已经关了好几年了，抓的还是很严的
2020-01-27,前面那个什么意思，白话又怎么样，不爱听左上角
2020-01-27,核武器有用吗
2020-01-27,大佬
2020-01-27,就是那海鲜市场
2020-01-27,港大厉害
2020-01-27,向您致敬！！
2020-01-27,怎么又是白话啊啊，种南山也是广东的
2020-01-27,非法贩卖野生动物的混蛋东西
2020-01-27,卖使用过的口罩的，真丢我安徽的脸
2020-01-27,安徽马鞍山已经发现有人卖二次用过口罩
2020-01-27,不光武汉，全国都有吃野味的，只是这次武汉中奖了。希望以后能规范市场吧
2020-01-27,是什么能咋地！就你懂的多
2020-01-27,你对大自然如何，大自然就对你如何
2020-01-27,安徽你清醒一点啊！！
2020-01-27,中国加油！武汉加油！
2020-01-27,建议吃野味的在牢里吃个够
2020-01-27,致敬！
2020-01-27,你自己要吃野味
2020-01-27,已经是了
2020-01-27,不瞎吃能这样吗？
2020-01-27,因为就是从武汉吃野味的那些人开始的
2020-01-27,上海来了武汉的，都不出门了
2020-01-27,是蝙蝠不是果子狸
2020-01-27,为什么都是武汉？
2020-01-27,"人类在大自然面前真的脆弱,就这么二十年不到都爆发了几次致命病毒了"
2020-01-27,武汉跑过来海南了
2020-01-27,好像周星驰
2020-01-27,怕
2020-01-27,ppa
2020-01-27,安徽安徽！！！！
2020-01-27,希望安徽提高防范意识！！！
2020-01-28,都已经超过非典了，才初步第三阶段.....
2020-01-28,白话不是中文？
2020-01-28,武汉加油…以后不整什么野味了
2020-01-28,为啥要吃野生动物啊～
2020-01-28,最怕的就是超级传播者
2020-01-28,最怕的就是出现超级传播者
2020-01-28,已经4000多了
2020-01-28,非典4000多例现在还没大爆发就2000多了真大爆发还得了
2020-01-28,现在已经是了现在已经是了
2020-01-28,说的太好了，听不懂的就看字幕
2020-01-28,武汉加油
2020-01-28,出现了
2020-01-28,武汉加油
2020-01-28,国士无双！有他们在，我们需要怕吗！
2020-01-28,国士无双！
2020-01-28,安徽农村还在拜年呀
2020-01-28,深井冰，这个时候还tm要强调自己地方性？
2020-01-28,02年非典从广东顺德开始，19年末新型冠状病毒从湖北武汉开始
2020-01-28,吃野味biss
2020-01-28,禁止食用野味。
2020-01-28,讲真我是武汉的我家里人没一个喜欢吃野味的
2020-01-28,所以说人类不要在侵犯大自然了啊
2020-01-28,这个是非典大佬
2020-01-28,神仙
2020-01-28,部分人害了全体，但是这一类人到处都有
2020-01-28,不管是白话还是普通话，都是中国人的骄傲。
2020-01-28,社区内爆发就不好控制了
2020-01-28,浙江这里一个卖野味的已经关了好几年了，抓的还是很严的
2020-01-28,前面那个什么意思，白话又怎么样，不爱听左上角
2020-01-28,核武器有用吗
2020-01-28,大佬
2020-01-28,就是那海鲜市场
2020-01-28,港大厉害
2020-01-28,向您致敬！！
2020-01-28,怎么又是白话啊啊，种南山也是广东的
2020-01-28,非法贩卖野生动物的混蛋东西
2020-01-28,卖使用过的口罩的，真丢我安徽的脸
2020-01-28,安徽马鞍山已经发现有人卖二次用过口罩
2020-01-28,不光武汉，全国都有吃野味的，只是这次武汉中奖了。希望以后能规范市场吧
2020-01-28,是什么能咋地！就你懂的多
2020-01-28,你对大自然如何，大自然就对你如何
2020-01-28,安徽你清醒一点啊！！
2020-01-28,中国加油！武汉加油！
2020-01-28,建议吃野味的在牢里吃个够
2020-01-28,致敬！
2020-01-28,你自己要吃野味
2020-01-28,已经是了
2020-01-28,不瞎吃能这样吗？
2020-01-28,因为就是从武汉吃野味的那些人开始的
2020-01-28,上海来了武汉的，都不出门了
2020-01-28,是蝙蝠不是果子狸
2020-01-28,为什么都是武汉？
2020-01-28,"人类在大自然面前真的脆弱,就这么二十年不到都爆发了几次致命病毒了"
2020-01-28,武汉跑过来海南了
2020-01-28,好像周星驰
2020-01-28,怕
2020-01-28,ppa
2020-01-28,安徽安徽！！！！
2020-01-28,希望安徽提高防范意识！！！
2020-01-29,戴口罩啊你们
2020-01-29,国士无双致敬
2020-01-29,都已经超过非典了，才初步第三阶段.....
2020-01-29,白话不是中文？
2020-01-29,武汉加油…以后不整什么野味了
2020-01-29,为啥要吃野生动物啊～
2020-01-29,最怕的就是超级传播者
2020-01-29,最怕的就是出现超级传播者
2020-01-29,已经4000多了
2020-01-29,非典4000多例现在还没大爆发就2000多了真大爆发还得了
2020-01-29,现在已经是了现在已经是了
2020-01-29,说的太好了，听不懂的就看字幕
2020-01-29,武汉加油
2020-01-29,出现了
2020-01-29,武汉加油
2020-01-29,国士无双！有他们在，我们需要怕吗！
2020-01-29,国士无双！
2020-01-29,安徽农村还在拜年呀
2020-01-29,深井冰，这个时候还tm要强调自己地方性？
2020-01-29,02年非典从广东顺德开始，19年末新型冠状病毒从湖北武汉开始
2020-01-29,吃野味biss
2020-01-29,禁止食用野味。
2020-01-29,讲真我是武汉的我家里人没一个喜欢吃野味的
2020-01-29,所以说人类不要在侵犯大自然了啊
2020-01-29,这个是非典大佬
2020-01-29,神仙
2020-01-29,部分人害了全体，但是这一类人到处都有
2020-01-29,不管是白话还是普通话，都是中国人的骄傲。
2020-01-29,社区内爆发就不好控制了
2020-01-29,浙江这里一个卖野味的已经关了好几年了，抓的还是很严的
2020-01-29,前面那个什么意思，白话又怎么样，不爱听左上角
2020-01-29,核武器有用吗
2020-01-29,大佬
2020-01-29,就是那海鲜市场
2020-01-29,港大厉害
2020-01-29,向您致敬！！
2020-01-29,怎么又是白话啊啊，种南山也是广东的
2020-01-29,非法贩卖野生动物的混蛋东西
2020-01-29,卖使用过的口罩的，真丢我安徽的脸
2020-01-29,安徽马鞍山已经发现有人卖二次用过口罩
2020-01-29,不光武汉，全国都有吃野味的，只是这次武汉中奖了。希望以后能规范市场吧
2020-01-29,是什么能咋地！就你懂的多
2020-01-29,你对大自然如何，大自然就对你如何
