日期,内容
2021-01-20,没事，核弹造到管够就行了
2021-01-20,都没听过的国家
2021-01-20,谁同意调查的？南郭先生
2021-01-20,沈逸说，要用他们能听得懂的话告诉他们，我们的态度
2021-01-20,欲加之罪
2021-01-20,我太生气了
2021-01-20,我们要建立和巩固自己的话语权体系。
2021-01-20,愤怒了……
2021-01-20,草
2021-01-20,典型的双标
2021-01-20,无法和一个蓄意栽赃的人讲道理
2021-01-20,是啊
2021-01-20,都不是人，哪来的良心？
2021-01-20,赞同
2021-01-20,西方万事扯政治
2021-01-20,揪字眼，一个事情不同的解读方法
2021-01-20,英国初期还搞群体免疫，有脸嘛
2021-01-20,这些专家还在隔离上哪去调查。。。
2021-01-20,异端的权力
2021-01-20,政治就是丑恶的
2021-01-20,查一下继承731的病毒实验室
2021-01-20,好家伙
2021-01-20,老姐，保护好自己
2021-01-20,只能说活该。
2021-01-20,美英印隐瞒多少没人知道，因为他们很多症状轻微和无症状的不检测
2021-01-20,美国佬不是最爱玩涉及国家安全那一套吗，咱也跟他玩，就不给它。
2021-01-20,蓬配猪能说的这么具体，是因为他们做的
2021-01-20,哈哈哈，你说啥就给你啥？强盗思维
2021-01-20,准来就很离谱，那里基本没有非西方阵营，俄罗斯是想进西方进不去
2021-01-20,美帝：“良心是什么？有鹅肝酱好吃吗？”
2021-01-20,支持
2021-01-20,我想骂人
2021-01-20,真是世界毒瘤美利坚
2021-01-20,我又不是全人类的爹，我能保护我自己就行，要我管你？
2021-01-20,蓬佩猪个老荫B
2021-01-20,说白了就是想白嫖嘛，没
2021-01-20,众所周知，美国污蔑我们什么他们自己必定做过什么。
2021-01-20,中国在国际没有话语权，所以它们随便说都可以
2021-01-20,你知道个屁，在这说，你算啥？！
2021-01-20,没有良心怎么摸得到
2021-01-20,就是这样支持
2021-01-20,这个调查小组明显是政治操弄，和疫情无关
2021-01-20,美国都成啥样了还有脸指责别人，真是不要脸
2021-01-20,这种所谓调查为何要批准?
2021-01-20,无耻混蛋
2021-01-20,朝鲜应该是应对疫情最好的国家了好像都没感染
2021-01-20,自己不行，怀疑别人也不行
2021-01-20,美国不是退出了吗
2021-01-20,骂回去，用不着客气
2021-01-20,猪怎么能有良心呢
2021-01-20,还以为是银河号？！为什么不查美国？！死的人最多
2021-01-20,这不就是美国的做法吗
2021-01-20,原来猪自己说美国是这么做的
2021-01-20,美国精英都不是人。
2021-01-20,透明迅速？他们用传真机收的信息嘛
2021-01-20,我大中华有必要在乎一群狗的看法
2021-01-20,就和自己比？
2021-01-20,美国的证据就是“国家安全”，研究病毒武器也是为了国家安全，遏制别人企业也是国家安全
2021-01-20,那帮魔鬼有良心？
2021-01-20,没事，弄不死我的只会让我更强大，以后有机会弄死美国
2021-01-20,犯贱习惯了
2021-01-20,我怀疑欧美国家就剩一张嘴，没眼睛没脑子
2021-01-20,美式先发制人，没有结论之前就要先污名化
2021-01-20,利比里亚
2021-01-20,有脑子的自然明白，没脑子的你管他干啥？
2021-01-20,现在还不能硬杠
2021-01-20,1分钟（狗头）
2021-01-20,美国污蔑中国的东西都是他们自己干的事
2021-01-20,钱都不交的说啥
2021-01-20,笑死人
2021-01-20,好酸啊，这语气，呵呵
2021-01-20,没办法，国际舆论西方主导
2021-01-20,MDZZ
2021-01-20,现在先锤米国德堡实验室了！
2021-01-20,君子欺之以方。
2021-01-20,你防不住怪我防得太好了吗？我防好了就是数据隐瞒，你防不住我就该防不住吗？
2021-01-20,欺负老实人吗？
2021-01-20,中国不给你公布又怎样？
2021-01-20,反正中国目前没什么疫情，他们那边乱得要命
2021-01-20,志贤姐视频大家多支持啊
2021-01-20,这就是放屁了
2021-01-20,防了个寂寞
2021-01-20,美国：正是在下
2021-01-20,说得好骂得好
2021-01-20,美国都不交会费在这指手画脚
2021-01-20,姐呀！他们坏事干太多心早都被狗吃了，哪还有良心?
2021-01-20,无耻
2021-01-20,这几天有动作了，一定要曝光美国研究的病毒
2021-01-20,？！
2021-01-20,现在还没到时候
2021-01-20,姐啊，你说你有必要生气么，咱就给大家讲这个事儿就行，跟老外讲良心，别闹了
2021-01-20,印度人爆料，特别是6、7、8、9图
2021-01-20,世卫美国早就开始说了说世卫士中国的傀儡组织（狗头）
2021-01-20,你们美国在做什么呢？
2021-01-20,印度人爆料，特别是6、7、8、9图
2021-01-20,哈哈哈哈哈哈哈2019年秋天不是美国的电子烟病毒么
2021-01-20,美国到现在还一群人不知道这个病毒呢。你说谁不透明
2021-01-20,一水喜二水喜三水喜
2021-01-20,真是不要脸到了登峰造极的地步
2021-01-20,一二三水喜
2021-01-20,哈哈，强盗来盯疫苗的吧！
2021-01-20,西方没有良心！
2021-01-20,三水喜
2021-01-20,二水喜
2021-01-20,一水喜
2021-01-20,就是想让你成为原罪，方方跑去作证还活蹦乱跳就离谱
2021-01-20,有良心我还是美国狗了吗
2021-01-20,印度：正是在下
2021-01-20,全弄死感染病毒，在华重症不治。
2021-01-20,那美国也一起啊，大家一起，不然说个屁
2021-01-20,这些人就是要不断找借口围剿祖国，绝不能松懈
2021-01-20,为什么这样没点逼数？嫌前些年美国爆发的猪流感闹腾那么大，你们骂成啥样了
2021-01-20,欲加之罪，拿报告说事有用，早说了
2021-01-20,切
2021-01-20,马后炮从这找茬。
2021-01-20,说自己呐
2021-01-20,贼喊捉贼
2021-01-20,傀儡的世卫组织
2021-01-20,厚颜无耻到无下限
2021-01-20,他们没有良心
2021-01-20,美国还有个电子烟病，症状跟新冠肺炎一模一样，报道一个月不到就开始封杀消息。
2021-01-20,忍不住笑了，我就是怎么正大光明把病毒透明迅（传染）分享你们啊
2021-01-20,说这话的人算老几
2021-01-20,就欠东风快递
2021-01-20,完全的政治操弄
2021-01-20,~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
2021-01-20,它们有良心？
2021-01-20,印度它也配？
2021-01-20,儒家文化是极软的，所以老是挨打
2021-01-20,这
2021-01-20,凭什么
2021-01-20,笑死了，“透明”“迅速”
2021-01-20,我们的责任就是站在事实的立场大声的说出我们的话语，它们有没有良心我们不管
2021-01-20,我觉得中国的舆论场上要加强
2021-01-20,谋士遇见土匪，就是要用棍棒才能交流
2021-01-20,这个我站智贤姐，外宣还是太温柔了
2021-01-20,两个查出阳性
2021-01-20,打嘴仗没意思，反正谁死谁知道
2021-01-20,美利坚400钟
2021-01-20,随他们的便
2021-01-20,那些禽兽有良心？？
2021-01-20,为什么米国退出了，还能有话语权？？
2021-01-20,他们没有心
2021-01-20,就是有的人有理也讲的很温和，真的有毛病，内心慕洋犬
2021-01-20,最早的病毒序列就可以说明了，爷爷辈、父辈的都不在中国
2021-01-20,最后的喷毒
2021-01-20,智贤姐还想着和盎撒讲良心？把数据拍他们脸上他们也一样无视的
2021-01-20,指责中国隐瞒？草
2021-01-20,好家伙，连世卫都说
2021-01-20,恶人先告状
2021-01-20,美国不是退出WHO了么
2021-01-20,全是敌对国家
2021-01-20,骂的好好
