日期,内容
2021-01-14,我恐怕也是个潜在的日本人
2021-01-14,1
2021-01-14,姐姐说话的思路好清晰呀！
2021-01-14,看到日本新宿boys了
2021-01-14,1111111
2021-01-14,女仆店
2021-01-14,我也笑了
2021-01-14,来了来了
2021-01-14,1
2021-01-14,也快了
2021-01-14,1
2021-01-14,寒冷有利于病毒传播
2021-01-14,老娘要气炸了
2021-01-14,孤独
2021-01-14,现在看新增47例真有一种前世的感觉
2021-01-14,1
2021-01-14,因为传真机
2021-01-14,111111
2021-01-14,理解
2021-01-14,樱花树太多，花粉过敏很多
2021-01-14,1
2021-01-14,1
2021-01-14,小姐姐好清楚哦
2021-01-14,牛郎店？
2021-01-14,M
2021-01-14,用粤语说bo嘢
2021-01-14,1
2021-01-14,孤独
2021-01-14,停滞了
2021-01-14,好美
2021-01-14,心灵的慰藉
2021-01-14,罗兰
2021-01-14,11111
2021-01-14,果然很野
2021-01-14,副相兼财相麻生太郎直呼内行
2021-01-14,1111111
2021-01-14,1
2021-01-14,主要是传真机不够吧
2021-01-14,可以去看看纳豆奶奶的视频
2021-01-14,札幌市。。。日本为数不多的非本州岛都会区（另一个应该就是九州岛的福冈）
2021-01-14,聊10块钱的
2021-01-14,好的，特别想看
2021-01-14,1111111
2021-01-14,那边冷呀
2021-01-14,薄野
2021-01-14,111
2021-01-14,1
2021-01-14,1
2021-01-14,可以理解，不花钱我找你聊天你跟我聊吗？
2021-01-14,11
2021-01-14,东京不明白
2021-01-14,1
2021-01-14,全面去老龄化
2021-01-14,1
2021-01-14,其实大部分只是幌子，直接交易是违法的；但是我去喝酒遇到了服务员，然后和服务员恋爱了，发生了关系，这就是为爱鼓掌了
2021-01-14,歌舞伎町
2021-01-14,1111
2021-01-14,呵呵，懂的都懂
2021-01-14,20年疫情期间最乐见的记者姐姐
2021-01-14,1
2021-01-14,lsp
2021-01-14,1
2021-01-14,1
2021-01-14,1111111
2021-01-14,111111
2021-01-14,博野之战？
2021-01-14,赛博朋克歌舞伎
2021-01-14,gakki
2021-01-14,1
2021-01-14,肯定不单只聊天啦
2021-01-14,我们是“吃了吗？”哈哈哈
2021-01-14,可以，不就是打赏直播吗。
2021-01-14,第三次冲击
2021-01-14,中文博大精深
2021-01-14,找女朋友花的更多，而且好不好还被骂直男，甚至还可能被绿了
2021-01-14,花钱找人陪聊挺好呀
2021-01-14,哈哈哈哈哈哈哈
2021-01-14,央视特约驻日本记者我没记错吧
2021-01-14,1
2021-01-14,跟KTV差不多
2021-01-14,病毒狂喜
2021-01-14,他们的文化
2021-01-14,好想去
2021-01-14,身后那副荷花小油画好好看
2021-01-14,这不就跟b站看直播一样的嘛
2021-01-14,2
2021-01-14,关系
2021-01-14,看银魂了解一下
2021-01-14,牙不好看
2021-01-14,因为有些秘密只能跟不认识的人讲才没有顾虑
2021-01-14,水？什么水？有黏度吗？甜的咸的？
2021-01-14,因为用的传真机报数据（doge)
2021-01-14,1111
2021-01-14,1
2021-01-14,聊人生哈哈哈哈哈
2021-01-14,旅游补贴。。
2021-01-14,可以理解
2021-01-14,哇！可以拉拉手诶
2021-01-14,理解，就和我们的摸摸唱是一样的嘛
2021-01-14,嘿嘿~
2021-01-14,11111
2021-01-14,1
2021-01-14,其实和找心理医生类似，只不过大多数人都只是去娱乐性质的聊天。
