日期,内容
2020-02-03,可以理解
2020-02-03,理解
2020-02-03,说得好
2020-02-03,可以理解
2020-02-03,好像福建口音
2020-02-03,屹立5000不倒怕你们
2020-02-03,争取国际支持，是好事
2020-02-03,新加坡华人当中国人看我都分不清还说外国人
2020-02-03,新加坡差不多都是华人
2020-02-03,大国夹缝求生存
2020-02-03,有粤语的口音
2020-02-03,国语好评
2020-02-03,反正中国有一点事情，外国巴不得煽风点火
2020-02-03,再不上山看看澳大利亚就快要没有绿色的山了
2020-02-03,黄字正解
2020-02-03,新加坡官方语言本来就有汉语
2020-02-03,理解
2020-02-03,这个说得好
2020-02-03,他是华人啊
2020-02-03,美国出来挨打
2020-02-03,听着难受，不过理解
2020-02-03,他们赚不到钱了
2020-02-03,？？？
2020-02-03,当年非典他们也挺惨的
2020-02-03,澳大利亚干啥啥不行，排华第一名
2020-02-03,国内很多地方封村了，封小区了。人家封国境合情合理，说话要讲道理。
2020-02-03,他一直都会中文啊…
2020-02-03,就是怕你们自己国家的人吧？呵呵
2020-02-03,这才是他的目的
2020-02-03,个人感觉这个话里有话
2020-02-03,要学会自我反思
2020-02-03,新加坡和马来西亚华裔都很多，他们有艰难的推行普通话教学，马来西亚华人很亲中的，新加坡就比较中立
2020-02-03,可以理解
2020-02-03,新加坡排华大概是因为印尼大屠杀
2020-02-03,他的意思你们新加坡不是
2020-02-03,好意思说澳洲？？
2020-02-03,说新加坡不排华的笑死了
2020-02-03,切
2020-02-03,没问题啊
2020-02-03,说新加坡是大国的，你等下，建议重新回家读书
2020-02-03,新加坡以华裔为主，其次才是马来人
2020-02-03,新加坡华人比马来人多多了
2020-02-03,新加坡华人七成多，马来人多的是马来西亚
2020-02-03,说着汉语，称我们为中方，唉，百味杂陈
2020-02-03,印尼的罪恶不会忘记
2020-02-03,说着汉语，还称呼我们中方，唉，百味杂陈
2020-02-03,维护自己罢了
2020-02-03,他即使为了他的国人也没问题吧。
2020-02-03,排华动点脑子，新加坡总理都说汉语
2020-02-03,必须的
2020-02-03,？？听别人说好吧，大家
2020-02-03,前面的，什么一个国家，认清现实吧，别自作多情，即使是同祖同宗又如何
2020-02-03,人家的做法是对的
2020-02-03,新加坡排华？好想听下故事
