日期,内容
2021-01-08,泪目，我也是石家庄的。石家庄人实在
2021-01-08,工作人员费心了
2021-01-08,就算摆拍也比你键盘侠强
2021-01-08,同款泡面，正在吃，希望大爷能好好的
2021-01-08,点赞
2021-01-08,好人一生平安
2021-01-08,好孩子
2021-01-09,去做核酸检测吧！
2021-01-09,善良的人
2021-01-09,有的，可以求助救助站。
2021-01-09,这是不是记录仪拍的
2021-01-09,山西好多都在河北打工，很多这样的情况吧。
2021-01-09,玩梗适度
2021-01-09,想起去年下不了高速，最后滞留在服务区的那个湖北司机师傅，好心酸
2021-01-09,泪目，我也是石家庄的。石家庄人实在
2021-01-09,工作人员费心了
2021-01-09,就算摆拍也比你键盘侠强
2021-01-09,同款泡面，正在吃，希望大爷能好好的
2021-01-09,点赞
2021-01-09,好人一生平安
2021-01-09,好孩子
2021-01-10,我不行看了想哭
2021-01-10,人间有温情
2021-01-10,买东西给人吃还拍视频，绝了
2021-01-10,这口罩戴的
2021-01-10,那就好
2021-01-10,好人
2021-01-10,石家庄加油！！！
2021-01-10,加油！！！！！
2021-01-10,唉
2021-01-10,不能回家太难过了
2021-01-10,河北加油啊
2021-01-10,去做核酸检测吧！
2021-01-10,善良的人
2021-01-10,有的，可以求助救助站。
2021-01-10,这是不是记录仪拍的
2021-01-10,山西好多都在河北打工，很多这样的情况吧。
2021-01-10,玩梗适度
2021-01-10,想起去年下不了高速，最后滞留在服务区的那个湖北司机师傅，好心酸
2021-01-10,泪目，我也是石家庄的。石家庄人实在
2021-01-10,工作人员费心了
2021-01-10,就算摆拍也比你键盘侠强
2021-01-10,同款泡面，正在吃，希望大爷能好好的
2021-01-10,点赞
2021-01-10,好人一生平安
2021-01-10,好孩子
2021-01-11,好人
2021-01-11,可以免费退票
2021-01-11,110也没办法啊
2021-01-11,前面的，人家正在吃东西好吗？
2021-01-11,太难了
2021-01-11,他们真的需要帮助
2021-01-11,说的很对很对
2021-01-11,说口罩的，你吃东西的时候戴口罩吗？
2021-01-11,好人一生平安
2021-01-11,好人一生平安
2021-01-11,口罩！口罩！
2021-01-11,好可怜
2021-01-11,好人一生一生平安
2021-01-11,我不行看了想哭
2021-01-11,人间有温情
2021-01-11,买东西给人吃还拍视频，绝了
2021-01-11,这口罩戴的
2021-01-11,那就好
2021-01-11,好人
2021-01-11,石家庄加油！！！
2021-01-11,加油！！！！！
2021-01-11,唉
2021-01-11,不能回家太难过了
2021-01-11,河北加油啊
2021-01-11,去做核酸检测吧！
2021-01-11,善良的人
2021-01-11,有的，可以求助救助站。
2021-01-11,这是不是记录仪拍的
