日期,内容
2020-05-24,大提琴特长生你来啦
2020-05-24,感觉今年高考好多知识点鸭
2020-05-24,随机性
2020-05-24,理科生学了高中生物的应该都能懂吧
2020-05-24,这家伙怎么还是所长
2020-05-24,所长好年轻
2020-05-24,王所长气质！
2020-05-24,所长漂亮
2020-05-24,是的
2020-05-24,临床经验丰富
2020-05-24,画重点………仔猪
2020-05-24,这是央视国际台
2020-05-24,因为这是翻译
2020-05-24,哟，艺术生啊[doge]全才啊
2020-05-24,？？？？？
2020-05-24,保护
2020-05-24,保护
2020-05-24,50年都难进化成
2020-05-24,弹幕什么意思啊，自己人怀疑自己人？
2020-05-24,你为疫情做贡献了吗
2020-05-24,想给外行科普我们所做的科研太难了这个差异在我们看来天差地别...
2020-05-24,一切都是一场阴谋
2020-05-24,舒校长现在很慌
2020-05-24,前面那个相似率那个，人类和猩猩，猴子都比96高
2020-05-24,这个艺术生可以
2020-05-24,确实可以弄高考题，一开文就给你一堆听不懂的文字
2020-05-24,美国去年关了几个生化实验室很可疑
2020-05-24,特朗普：China
2020-05-24,贼喊捉贼美利坚
2020-05-24,王所长
2020-05-24,英文好评发到外网让他们多看见
2020-05-24,问题恰恰在于自然进化需要这么久，如果人为改造呢？
2020-05-24,保护
2020-05-24,我以为会回应饶毅举报事件
2020-05-24,我就单纯好奇啊，没别的意思，这个相似度80%是怎么个概念，有没有懂得解释一下
2020-05-24,红色，我笑了
2020-05-24,*
2020-05-24,她来了她来了艺术特长生她来了！
2020-05-24,保护
2020-05-24,有可能，然后变异进化
2020-05-24,记者问的问题都挺准的
2020-05-24,？？？？
2020-05-24,←小白
2020-05-24,年轻漂亮，好厉害啊
2020-05-24,据说所长是艺术生，这是对科研工作者极大的侮辱啊
2020-05-24,p4负责人是中科院武汉分院院长袁志明
2020-05-24,是征没错
2020-05-24,播放6万了，评论260，希望你们不要对厅长有想法！
2020-05-24,高考要考的
2020-05-24,←左边的，自然突变是有一定的进化方向的，不是任意突变的。她想表达的是新冠和这个病毒之间不存在自然突变的联系。
2020-05-24,这个问题很好
2020-05-24,好孝
2020-05-24,这是那个艺术生吗？果真长的可以
2020-05-24,你不懂你点什么头啊
2020-05-24,几百万猿类跟人类都没拉开多大差距
2020-05-24,发声总比闷着好
2020-05-24,人和大猩猩基因相似程度都有有97%呢
2020-05-24,建国:fakenews
2020-05-24,艺术生，你来了
2020-05-24,人和香蕉都有一半基因相似呢，这说明是完全不同的病毒
2020-05-24,这就是高考关系户，现在所长吗？
2020-05-24,懂的都懂，不懂的还是不懂
2020-05-24,感谢科普
2020-05-24,虽然我懵了，但我觉得说的对
2020-05-24,保护
2020-05-24,保护
2020-05-24,前排保护
2020-05-24,舒红兵
2020-05-24,大提琴
2020-05-24,高考不考这个，学医的害怕
2020-05-24,还好意思出来？
2020-05-24,分不清艺术生和艺术特长生？
2020-05-24,艺术生气质是不一样嗷
2020-05-24,问问美国我不信他们什么都不知道
2020-05-24,无中生有？
2020-05-24,好像是WIV1，当时发表在nature上
2020-05-24,这个问题其实蛮尖锐的，关系到一个病毒库管理统计的问题
2020-05-24,这句话有点败笔了...这个突变不是指哪儿打哪儿，而且打哪儿指哪儿
2020-05-24,其实从病毒基因组大小看，96%算很接近了
2020-05-24,美国制造
2020-05-24,现有的病毒，有可能泄露吗
