日期,内容
2021-01-11,学校敢不留？？？
2021-01-11,学校这样做……………？？？？！！！！！
2021-01-11,学校不负责任
2021-01-11,学校也不管就真是
2021-01-11,点赞
2021-01-11,暖心
2021-01-11,太过分了
2021-01-11,学校放假了，清校了估计
2021-01-11,谢谢
2021-01-11,我要是没家，真没家。学校不留，我该怎么办
2021-01-11,光明网说的，离校即返家。还是想哭
2021-01-11,离校即返家嘛，想哭
2021-01-11,什么学校啊
2021-01-11,什么学校啊这是
2021-01-11,好惨啊
2021-01-11,什么学校这么没有责任感？
2021-01-11,赞
2021-01-11,学校可以的，校外死活与本校无关
2021-01-11,然后然后然后
2021-01-11,这问题大了
2021-01-11,石家庄大学放假就离谱，看看大连
2021-01-11,点个赞在看
2021-01-11,好人一生平安
2021-01-11,学校过分了，让学生去哪呀。
2021-01-11,学校真是……
2021-01-11,学校胡闹
2021-01-11,哪个学校的？要严查！
2021-01-11,没有就冻死拉到呗意思
2021-01-11,这是看到的
2021-01-11,学校是不是欠考虑，没有返乡的，不可以在校居住吗，为了推卸责任！！！
2021-01-11,可怜
2021-01-11,真够惨的了。这就是人性呵
2021-01-11,哪个学校？
2021-01-11,学校胡闹！
2021-01-11,祖国先强大起来！
2021-01-11,感谢志愿者！
2021-01-12,学学校让人心寒了
2021-01-12,学校牛啊
2021-01-12,学校牛逼！辅导员老师牛逼
2021-01-12,学校牛逼
2021-01-12,太难了
2021-01-12,学校过分
2021-01-12,那就别回来了..
2021-01-12,哪个学校的啊，有知道的没
2021-01-12,好心人。
2021-01-12,学校敢不留？？？
2021-01-12,学校这样做……………？？？？！！！！！
2021-01-12,学校不负责任
2021-01-12,学校也不管就真是
2021-01-12,点赞
2021-01-12,暖心
2021-01-12,太过分了
2021-01-12,学校放假了，清校了估计
2021-01-12,谢谢
2021-01-12,我要是没家，真没家。学校不留，我该怎么办
2021-01-12,光明网说的，离校即返家。还是想哭
2021-01-12,离校即返家嘛，想哭
2021-01-12,什么学校啊
2021-01-12,什么学校啊这是
2021-01-12,好惨啊
2021-01-12,什么学校这么没有责任感？
2021-01-12,赞
2021-01-12,学校可以的，校外死活与本校无关
2021-01-12,然后然后然后
2021-01-12,这问题大了
2021-01-12,石家庄大学放假就离谱，看看大连
2021-01-12,点个赞在看
2021-01-12,好人一生平安
2021-01-12,学校过分了，让学生去哪呀。
2021-01-12,学校真是……
2021-01-12,学校胡闹
2021-01-12,哪个学校的？要严查！
2021-01-12,没有就冻死拉到呗意思
2021-01-12,这是看到的
2021-01-12,学校是不是欠考虑，没有返乡的，不可以在校居住吗，为了推卸责任！！！
2021-01-12,可怜
2021-01-12,真够惨的了。这就是人性呵
2021-01-12,哪个学校？
2021-01-12,学校胡闹！
2021-01-12,祖国先强大起来！
2021-01-12,感谢志愿者！
2021-01-13,这啥学校
2021-01-13,学学校让人心寒了
2021-01-13,学校牛啊
2021-01-13,学校牛逼！辅导员老师牛逼
2021-01-13,学校牛逼
2021-01-13,太难了
2021-01-13,学校过分
2021-01-13,那就别回来了..
2021-01-13,哪个学校的啊，有知道的没
2021-01-13,好心人。
2021-01-13,学校敢不留？？？
2021-01-13,学校这样做……………？？？？！！！！！
2021-01-13,学校不负责任
2021-01-13,学校也不管就真是
2021-01-13,点赞
2021-01-13,暖心
2021-01-13,太过分了
2021-01-13,学校放假了，清校了估计
2021-01-13,谢谢
2021-01-13,我要是没家，真没家。学校不留，我该怎么办
2021-01-13,光明网说的，离校即返家。还是想哭
2021-01-13,离校即返家嘛，想哭
2021-01-13,什么学校啊
2021-01-13,什么学校啊这是
2021-01-13,好惨啊
2021-01-13,什么学校这么没有责任感？
2021-01-13,赞
2021-01-13,学校可以的，校外死活与本校无关
2021-01-13,然后然后然后
2021-01-13,这问题大了
2021-01-13,石家庄大学放假就离谱，看看大连
2021-01-13,点个赞在看
2021-01-13,好人一生平安
2021-01-13,学校过分了，让学生去哪呀。
2021-01-13,学校真是……
2021-01-13,学校胡闹
2021-01-13,哪个学校的？要严查！
2021-01-13,没有就冻死拉到呗意思
2021-01-13,这是看到的
2021-01-13,学校是不是欠考虑，没有返乡的，不可以在校居住吗，为了推卸责任！！！
2021-01-13,可怜
2021-01-13,真够惨的了。这就是人性呵
2021-01-13,哪个学校？
2021-01-13,学校胡闹！
2021-01-13,祖国先强大起来！
2021-01-13,感谢志愿者！
2021-01-14,能住一个假期吗
2021-01-14,为什么不可以就进家呢
2021-01-14,哪个学校也曝光下，真负责任
2021-01-14,排除湖南科技大学～学校让留校！
2021-01-14,学校太过分了
2021-01-14,北二外疫情期间也不让住，不管有什么考试，12月31号都得遣散
2021-01-14,志愿者好样的
2021-01-14,什么学校
2021-01-14,学校是真的过分
2021-01-14,不给留校，就不用担责了
2021-01-14,应该是外省回家的
2021-01-14,好人一生平安
2021-01-14,啥学校啊说出来避避雷
2021-01-14,这啥学校
2021-01-14,学学校让人心寒了
2021-01-14,学校牛啊
2021-01-14,学校牛逼！辅导员老师牛逼
2021-01-14,学校牛逼
2021-01-14,太难了
2021-01-14,学校过分
2021-01-14,那就别回来了..
2021-01-14,哪个学校的啊，有知道的没
2021-01-14,好心人。
2021-01-14,学校敢不留？？？
2021-01-14,学校这样做……………？？？？！！！！！
2021-01-14,学校不负责任
2021-01-14,学校也不管就真是
2021-01-14,点赞
2021-01-14,暖心
2021-01-14,太过分了
2021-01-14,学校放假了，清校了估计
2021-01-14,谢谢
2021-01-14,我要是没家，真没家。学校不留，我该怎么办
2021-01-14,光明网说的，离校即返家。还是想哭
2021-01-14,离校即返家嘛，想哭
2021-01-14,什么学校啊
2021-01-14,什么学校啊这是
2021-01-14,好惨啊
2021-01-14,什么学校这么没有责任感？
2021-01-14,赞
2021-01-14,学校可以的，校外死活与本校无关
2021-01-14,然后然后然后
2021-01-14,这问题大了
2021-01-14,石家庄大学放假就离谱，看看大连
2021-01-14,点个赞在看
2021-01-14,好人一生平安
2021-01-14,学校过分了，让学生去哪呀。
2021-01-14,学校真是……
2021-01-14,学校胡闹
2021-01-14,哪个学校的？要严查！
2021-01-14,没有就冻死拉到呗意思
2021-01-14,这是看到的
2021-01-14,学校是不是欠考虑，没有返乡的，不可以在校居住吗，为了推卸责任！！！
2021-01-14,可怜
2021-01-14,真够惨的了。这就是人性呵
2021-01-14,哪个学校？
2021-01-14,学校胡闹！
2021-01-14,祖国先强大起来！
2021-01-14,感谢志愿者！
2021-01-15,什么学校了过分！
2021-01-15,学校这样不好吧。。。
2021-01-15,可怜啊
2021-01-15,好可怜
2021-01-15,学校不能让他们住宿舍吗？
2021-01-15,学校有饼
2021-01-15,野鸡大学
2021-01-15,能住一个假期吗
2021-01-15,为什么不可以就进家呢
2021-01-15,哪个学校也曝光下，真负责任
2021-01-15,排除湖南科技大学～学校让留校！
2021-01-15,学校太过分了
2021-01-15,北二外疫情期间也不让住，不管有什么考试，12月31号都得遣散
2021-01-15,志愿者好样的
2021-01-15,什么学校
2021-01-15,学校是真的过分
2021-01-15,不给留校，就不用担责了
2021-01-15,应该是外省回家的
2021-01-15,好人一生平安
2021-01-15,啥学校啊说出来避避雷
2021-01-15,这啥学校
2021-01-15,学学校让人心寒了
2021-01-15,学校牛啊
2021-01-15,学校牛逼！辅导员老师牛逼
2021-01-15,学校牛逼
2021-01-15,太难了
2021-01-15,学校过分
2021-01-15,那就别回来了..
2021-01-15,哪个学校的啊，有知道的没
2021-01-15,好心人。
2021-01-15,学校敢不留？？？
2021-01-15,学校这样做……………？？？？！！！！！
2021-01-15,学校不负责任
2021-01-15,学校也不管就真是
2021-01-15,点赞
2021-01-15,暖心
2021-01-15,太过分了
2021-01-15,学校放假了，清校了估计
2021-01-15,谢谢
2021-01-15,我要是没家，真没家。学校不留，我该怎么办
2021-01-15,光明网说的，离校即返家。还是想哭
2021-01-15,离校即返家嘛，想哭
2021-01-15,什么学校啊
2021-01-15,什么学校啊这是
2021-01-15,好惨啊
2021-01-15,什么学校这么没有责任感？
2021-01-15,赞
2021-01-15,学校可以的，校外死活与本校无关
2021-01-15,然后然后然后
2021-01-15,这问题大了
2021-01-15,石家庄大学放假就离谱，看看大连
2021-01-15,点个赞在看
2021-01-15,好人一生平安
2021-01-15,学校过分了，让学生去哪呀。
2021-01-15,学校真是……
2021-01-15,学校胡闹
2021-01-15,哪个学校的？要严查！
2021-01-15,没有就冻死拉到呗意思
2021-01-15,这是看到的
2021-01-15,学校是不是欠考虑，没有返乡的，不可以在校居住吗，为了推卸责任！！！
2021-01-15,可怜
2021-01-15,真够惨的了。这就是人性呵
2021-01-15,哪个学校？
2021-01-15,学校胡闹！
2021-01-15,祖国先强大起来！
2021-01-15,感谢志愿者！
2021-01-16,了不起
2021-01-16,什么学校了过分！
2021-01-16,学校这样不好吧。。。
2021-01-16,可怜啊
2021-01-16,好可怜
2021-01-16,学校不能让他们住宿舍吗？
2021-01-16,学校有饼
2021-01-16,野鸡大学
2021-01-16,能住一个假期吗
2021-01-16,为什么不可以就进家呢
2021-01-16,哪个学校也曝光下，真负责任
2021-01-16,排除湖南科技大学～学校让留校！
2021-01-16,学校太过分了
2021-01-16,北二外疫情期间也不让住，不管有什么考试，12月31号都得遣散
2021-01-16,志愿者好样的
2021-01-16,什么学校
2021-01-16,学校是真的过分
2021-01-16,不给留校，就不用担责了
2021-01-16,应该是外省回家的
2021-01-16,好人一生平安
2021-01-16,啥学校啊说出来避避雷
2021-01-16,这啥学校
2021-01-16,学学校让人心寒了
2021-01-16,学校牛啊
2021-01-16,学校牛逼！辅导员老师牛逼
2021-01-16,学校牛逼
2021-01-16,太难了
2021-01-16,学校过分
2021-01-16,那就别回来了..
2021-01-16,哪个学校的啊，有知道的没
2021-01-16,好心人。
2021-01-16,学校敢不留？？？
2021-01-16,学校这样做……………？？？？！！！！！
2021-01-16,学校不负责任
2021-01-16,学校也不管就真是
2021-01-16,点赞
2021-01-16,暖心
2021-01-16,太过分了
2021-01-16,学校放假了，清校了估计
2021-01-16,谢谢
2021-01-16,我要是没家，真没家。学校不留，我该怎么办
2021-01-16,光明网说的，离校即返家。还是想哭
2021-01-16,离校即返家嘛，想哭
2021-01-16,什么学校啊
2021-01-16,什么学校啊这是
2021-01-16,好惨啊
2021-01-16,什么学校这么没有责任感？
2021-01-16,赞
2021-01-16,学校可以的，校外死活与本校无关
2021-01-16,然后然后然后
2021-01-16,这问题大了
2021-01-16,石家庄大学放假就离谱，看看大连
2021-01-16,点个赞在看
2021-01-16,好人一生平安
2021-01-16,学校过分了，让学生去哪呀。
2021-01-16,学校真是……
2021-01-16,学校胡闹
2021-01-16,哪个学校的？要严查！
2021-01-16,没有就冻死拉到呗意思
2021-01-16,这是看到的
