日期,内容
2020-10-20,钟老生日快乐！！！国士无双！！！南山风骨！！！健康长寿！！！
2020-10-20,生快
2020-10-21,国士无双生日快乐
2020-10-21,钟老生日快乐！！！国士无双！！！南山风骨！！！健康长寿！！！
2020-10-21,生快
2020-10-22,生日快乐
2020-10-22,国士无双生日快乐
2020-10-22,钟老生日快乐！！！国士无双！！！南山风骨！！！健康长寿！！！
2020-10-22,生快
2020-10-23,生日快乐
2020-10-23,生日快乐
2020-10-23,生日快乐！！！
2020-10-23,生日快乐
2020-10-23,生日快乐，延年益寿
2020-10-23,生日快乐
2020-10-23,国士无双生日快乐
2020-10-23,钟老生日快乐！！！国士无双！！！南山风骨！！！健康长寿！！！
2020-10-23,生快
2020-10-24,生日快乐！
2020-10-24,生日快乐
2020-10-24,生日快乐!(^O^)y
2020-10-24,迟来的祝福，钟院士生日快乐！！
2020-10-24,生日快乐！
2020-10-24,生日快乐！
2020-10-24,生日快乐
2020-10-24,生日快乐
2020-10-24,生日快乐
2020-10-24,生日快乐
2020-10-24,生日快乐
2020-10-24,生日快乐
2020-10-24,生日快乐，身体健康
2020-10-24,生日快乐，身体健康
2020-10-24,生日快乐
2020-10-24,弹幕刷起来！！！
2020-10-24,生日快乐！
2020-10-24,生日快乐
2020-10-24,国士无双
2020-10-24,生日快乐！！！
2020-10-24,生日快乐
2020-10-24,生日快乐
2020-10-24,钟老生日快乐！！！国士无双！！！南山风骨！！！健康长寿！！！
2020-10-24,生日快乐(((*°▽°*)八(*°▽°*)))♪
2020-10-24,生日快乐
2020-10-24,生日快乐
2020-10-24,生日快乐！！！
2020-10-24,生日快乐
2020-10-24,生日快乐，延年益寿
2020-10-24,生日快乐
2020-10-24,国士无双生日快乐
2020-10-24,钟老生日快乐！！！国士无双！！！南山风骨！！！健康长寿！！！
2020-10-24,生快
2020-10-25,国士无双
2020-10-25,迟来的祝福，生日快乐！！！
2020-10-25,生日快乐！
2020-10-25,生日快乐
2020-10-25,生日快乐
2020-10-25,生日快乐
2020-10-25,寿比南山
2020-10-25,生日快乐
2020-10-25,寿比南山
2020-10-25,生日快乐
2020-10-25,生日快乐
2020-10-25,生日快乐
2020-10-25,迟来的祝福，先生生日快乐！
2020-10-25,生日快乐！
2020-10-25,生日快乐
2020-10-25,生日快乐!(^O^)y
2020-10-25,迟来的祝福，钟院士生日快乐！！
2020-10-25,生日快乐！
2020-10-25,生日快乐！
2020-10-25,生日快乐
2020-10-25,生日快乐
2020-10-25,生日快乐
2020-10-25,生日快乐
2020-10-25,生日快乐
2020-10-25,生日快乐
2020-10-25,生日快乐，身体健康
2020-10-25,生日快乐，身体健康
2020-10-25,生日快乐
2020-10-25,弹幕刷起来！！！
2020-10-25,生日快乐！
2020-10-25,生日快乐
2020-10-25,国士无双
2020-10-25,生日快乐！！！
2020-10-25,生日快乐
