日期,内容
2020-04-11,不愧是你们
2020-04-11,川建国加油
2020-04-11,BGM走起来
2020-04-11,漂亮
2020-04-11,恭喜啊
2020-04-11,哇
2020-04-11,继续加油指数增长
2020-04-11,恭喜
2020-04-11,火烧连营
2020-04-11,靓丽的风景线
2020-04-11,超级大国
2020-04-11,团灭美军？
2020-04-11,这就是那自由的海风和空气吧
2020-04-11,泪目
2020-04-11,这个大叔还挺帅的
2020-04-11,说什么大实话
2020-04-11,漂亮国真的漂亮
2020-04-11,漂亮
2020-04-11,开除他，他在说什么呢！
2020-04-11,军舰也会靠港的，然后就各种下去浪
2020-04-11,美国球
2020-04-11,这个人戴的是老花镜
2020-04-11,建议击沉
2020-04-11,等死吧
2020-04-11,恭喜恭喜
2020-04-11,啧啧啧
2020-04-11,你也知道啊
2020-04-11,这时候能不能把他偷了
2020-04-11,在海上隔离中，怎么来的疫情?
2020-04-11,真是滑稽
2020-04-11,收旧航母
2020-04-11,唢呐都叫不醒
2020-04-11,目前还是核潜艇安全
2020-04-11,喜大普奔
2020-04-11,开除他
2020-04-11,梦幻联动
2020-04-11,喜闻乐见
2020-04-11,川普竟然没有把这个人开除(狗头)
2020-04-11,危
2020-04-11,天谴
2020-04-11,全回港待着吧，瞎溜达啥
2020-04-11,400名确诊，疯了
2020-04-11,喜大普奔
2020-04-11,刺激
2020-04-11,恭喜恭喜
2020-04-11,恐怖航母
2020-04-11,航母几个月在海上漂，到底是从哪里感染的呢？滑稽.jpg
2020-04-11,罗斯福会说你是罪人（滑稽）
2020-04-11,他们是怎么接触到感染源的？
2020-04-11,出来混迟早要还的
2020-04-11,简单，再撤三个舰长，就当不知道！！
2020-04-11,撤了撤了
2020-04-11,恭喜啊
2020-04-11,罢免警告
2020-04-11,CaptainCrozier！CaptainCrozier！CaptainCrozier！
2020-04-11,恭喜恭喜，普天同庆
2020-04-11,各种意味上的加油
2020-04-11,所以这些舰长也不求援？
2020-04-11,鹰酱开过来让我们帮助你呀顺带帮你们检查下设备修缮方面
2020-04-11,来给我们瞅瞅
2020-04-11,你没管了
2020-04-11,科学养蛊
2020-04-11,瞎说什么大实话！
2020-04-11,WOW
2020-04-11,梦幻联动
2020-04-11,梦幻联动
2020-04-11,乖乖屯兵太多了吧！大自然警告
2020-04-11,加油加油加油
2020-04-11,自作孽不可活
2020-04-11,海上兵变，东西分庭，大美利坚万岁！
2020-04-11,这位太高阶了，开除不了
2020-04-11,恭喜贺喜
2020-04-11,扔了吧
2020-04-11,这航母有毒，不能要了
2020-04-11,uqsi
2020-04-11,美军一点不无辜
2020-04-11,恭喜米国
2020-04-11,明天全开除咯！
2020-04-11,明天就开除
2020-04-11,加油
2020-04-11,666
2020-04-11,世界警察也病了--
2020-04-11,等待第一艘核潜艇
2020-04-11,开始顾头不顾腚了
2020-04-11,开除开除
2020-04-11,美国加油（doge）
2020-04-11,这个剧情似曾相识
2020-04-11,厉害了，火烧连营
2020-04-11,老天有眼
2020-04-11,你也想下台了
2020-04-11,不要返航，这里不是家
2020-04-11,极差的危机处理能力，fired
2020-04-11,令人舒适
2020-04-11,新角色出现
2020-04-11,美国加油！！！继续加油啊！
2020-04-11,普天同庆！！！
2020-04-11,继续甩锅中国撒
2020-04-11,哈哈哈哈哈哈哈
2020-04-11,完了，回家抱孙子吧
2020-04-11,开过来，我们帮你治
2020-04-11,恭喜恭喜
2020-04-11,恭喜恭喜
2020-04-11,恭喜恭喜
2020-04-11,恭喜恭喜
2020-04-11,恭喜恭喜
2020-04-11,youarefired
2020-04-11,也太难了吧
2020-04-11,看看乌里扬诺夫斯克号预计人数吧
2020-04-11,哇哦
2020-04-11,呕吼
2020-04-11,仅管这样，我们也不能发下戒心，如此反常的行为背后或许是大动作！
2020-04-11,大明劫
2020-04-11,超级大国嘛
2020-04-11,哇哦
2020-04-11,66666
2020-04-11,哈哈
2020-04-11,不介意上舰帮你们消个毒
2020-04-11,挺好挺好
2020-04-11,!
2020-04-11,在圣迭戈亲眼看见过卡尔·文森
2020-04-11,好
2020-04-11,珍珠港
2020-04-11,哇喁哇喁，世界大界
2020-04-11,前面那个你是馋核动力航母的技术吧你
2020-04-11,嗷
2020-04-11,刺激
2020-04-11,这人得开除
2020-04-11,GG
2020-04-11,哦哦
2020-04-11,苍天饶过谁
2020-04-11,都是好东西呀都是好东西呀，
2020-04-11,不愧是你
2020-04-11,他们怎么感染的
2020-04-11,淡定川普
2020-04-11,哈哈哈哈
2020-04-11,！！！！
2020-04-11,不愧是你
2020-04-11,！
2020-04-11,哈哈
2020-04-11,4分钟
2020-04-11,秀啊
2020-04-11,666
2020-04-11,不介意的话开到我们这来可以帮忙治疗一下
2020-04-11,wow
2020-04-11,wow
2020-04-12,川建国发动手风琴攻击
2020-04-12,我好像笑
2020-04-12,美军趴窝了世界和平了
2020-04-12,没事，鹰酱把所有舰长都撤了不就行了~
2020-04-12,说明，传染源在美国啊
2020-04-12,一个营了
2020-04-12,烧了吧！
2020-04-12,美丽的风景线
2020-04-12,不错
2020-04-12,如果美国最新研发的福特号军舰也有人感染了，那才叫一个爽。
2020-04-12,大结局！
2020-04-12,撤了撤了
2020-04-12,恭喜
2020-04-12,中国加油
2020-04-12,这事
2020-04-12,额
2020-04-12,不愧是你们
2020-04-12,川建国加油
2020-04-12,BGM走起来
2020-04-12,漂亮
2020-04-12,恭喜啊
2020-04-12,哇
2020-04-12,继续加油指数增长
2020-04-12,恭喜
2020-04-12,火烧连营
2020-04-12,靓丽的风景线
2020-04-12,超级大国
2020-04-12,团灭美军？
2020-04-12,这就是那自由的海风和空气吧
2020-04-12,泪目
2020-04-12,这个大叔还挺帅的
2020-04-12,说什么大实话
2020-04-12,漂亮国真的漂亮
2020-04-12,漂亮
2020-04-12,开除他，他在说什么呢！
2020-04-12,军舰也会靠港的，然后就各种下去浪
2020-04-12,美国球
2020-04-12,这个人戴的是老花镜
2020-04-12,建议击沉
2020-04-12,等死吧
2020-04-12,恭喜恭喜
2020-04-12,啧啧啧
2020-04-12,你也知道啊
2020-04-12,这时候能不能把他偷了
2020-04-12,在海上隔离中，怎么来的疫情?
2020-04-12,真是滑稽
2020-04-12,收旧航母
2020-04-12,唢呐都叫不醒
2020-04-12,目前还是核潜艇安全
2020-04-12,喜大普奔
2020-04-12,开除他
2020-04-12,梦幻联动
2020-04-12,喜闻乐见
2020-04-12,川普竟然没有把这个人开除(狗头)
2020-04-12,危
2020-04-12,天谴
2020-04-12,全回港待着吧，瞎溜达啥
2020-04-12,400名确诊，疯了
2020-04-12,喜大普奔
2020-04-12,刺激
2020-04-12,恭喜恭喜
2020-04-12,恐怖航母
2020-04-12,航母几个月在海上漂，到底是从哪里感染的呢？滑稽.jpg
2020-04-12,罗斯福会说你是罪人（滑稽）
2020-04-12,他们是怎么接触到感染源的？
2020-04-12,出来混迟早要还的
2020-04-12,简单，再撤三个舰长，就当不知道！！
2020-04-12,撤了撤了
2020-04-12,恭喜啊
2020-04-12,罢免警告
2020-04-12,CaptainCrozier！CaptainCrozier！CaptainCrozier！
2020-04-12,恭喜恭喜，普天同庆
2020-04-12,各种意味上的加油
2020-04-12,所以这些舰长也不求援？
2020-04-12,鹰酱开过来让我们帮助你呀顺带帮你们检查下设备修缮方面
2020-04-12,来给我们瞅瞅
2020-04-12,你没管了
2020-04-12,科学养蛊
2020-04-12,瞎说什么大实话！
2020-04-12,WOW
2020-04-12,梦幻联动
2020-04-12,梦幻联动
2020-04-12,乖乖屯兵太多了吧！大自然警告
2020-04-12,加油加油加油
2020-04-12,自作孽不可活
2020-04-12,海上兵变，东西分庭，大美利坚万岁！
2020-04-12,这位太高阶了，开除不了
2020-04-12,恭喜贺喜
2020-04-12,扔了吧
2020-04-12,这航母有毒，不能要了
2020-04-12,uqsi
2020-04-12,美军一点不无辜
2020-04-12,恭喜米国
2020-04-12,明天全开除咯！
2020-04-12,明天就开除
2020-04-12,加油
2020-04-12,666
2020-04-12,世界警察也病了--
2020-04-12,等待第一艘核潜艇
2020-04-12,开始顾头不顾腚了
2020-04-12,开除开除
2020-04-12,美国加油（doge）
2020-04-12,这个剧情似曾相识
2020-04-12,厉害了，火烧连营
2020-04-12,老天有眼
2020-04-12,你也想下台了
2020-04-12,不要返航，这里不是家
2020-04-12,极差的危机处理能力，fired
2020-04-12,令人舒适
2020-04-12,新角色出现
2020-04-12,美国加油！！！继续加油啊！
2020-04-12,普天同庆！！！
2020-04-12,继续甩锅中国撒
2020-04-12,哈哈哈哈哈哈哈
2020-04-12,完了，回家抱孙子吧
2020-04-12,开过来，我们帮你治
2020-04-12,恭喜恭喜
2020-04-12,恭喜恭喜
2020-04-12,恭喜恭喜
2020-04-12,恭喜恭喜
2020-04-12,恭喜恭喜
2020-04-12,youarefired
2020-04-12,也太难了吧
2020-04-12,看看乌里扬诺夫斯克号预计人数吧
2020-04-12,哇哦
2020-04-12,呕吼
2020-04-12,仅管这样，我们也不能发下戒心，如此反常的行为背后或许是大动作！
2020-04-12,大明劫
2020-04-12,超级大国嘛
2020-04-12,哇哦
2020-04-12,66666
2020-04-12,哈哈
2020-04-12,不介意上舰帮你们消个毒
2020-04-12,挺好挺好
2020-04-12,!
2020-04-12,在圣迭戈亲眼看见过卡尔·文森
2020-04-12,好
2020-04-12,珍珠港
2020-04-12,哇喁哇喁，世界大界
2020-04-12,前面那个你是馋核动力航母的技术吧你
2020-04-12,嗷
2020-04-12,刺激
2020-04-12,这人得开除
2020-04-12,GG
2020-04-12,哦哦
2020-04-12,苍天饶过谁
2020-04-12,都是好东西呀都是好东西呀，
2020-04-12,不愧是你
2020-04-12,他们怎么感染的
2020-04-12,淡定川普
2020-04-12,哈哈哈哈
2020-04-12,！！！！
2020-04-12,不愧是你
2020-04-12,！
2020-04-12,哈哈
2020-04-12,4分钟
