日期,内容
2020-07-31,?
2020-07-31,滚
2020-07-31,老妖婆
2020-07-31,这是骗疫苗来的亲善手段
2020-07-31,感觉盯上了我们的疫苗，战忽局安排一下
2020-07-31,鸟都不鸟他的
2020-07-31,危
2020-07-31,警惕
2020-07-31,此人要被抄家找通共证据了
2020-07-31,警惕
2020-07-31,不要被弹幕带了节奏
2020-07-31,大家注意这里并不是把中国归入“玩忽职守的国家”
2020-07-31,危
2020-07-31,是敌非友不要保护
2020-07-31,刀了刀了！
2020-07-31,警惕
2020-07-31,危
2020-07-31,w危
2020-07-31,这个该灌密西西比河水
2020-07-31,？？？
2020-07-31,战忽局的同志大意了！！！！！！！
2020-07-31,战忽局呢？快集合
2020-07-31,警惕！敌人说我们好了
2020-07-31,真面目
2020-07-31,战忽局的重要性！！！
2020-07-31,警惕
2020-07-31,警惕
2020-07-31,战忽同志出来工作了…
2020-07-31,是不是我们疫苗要开始用了
2020-07-31,资本世界最后一点理智之声
2020-07-31,说3句真话再说一句假话，啧啧
2020-07-31,阿姨谢谢，快别说了，我担心他们灭你口
2020-07-31,这逻辑我服了
2020-07-31,危
2020-07-31,信你的鬼话
2020-07-31,危
2020-07-31,垃圾人
2020-07-31,暗示美国人不算人？
2020-07-31,这人没了
2020-07-31,战忽局
2020-07-31,危
2020-07-31,后面的抖腿
2020-07-31,没意思浪费时间也就为了自己利益
2020-07-31,这人不能留，，，，
2020-07-31,后面那货在抖腿，你们看到了吗
2020-07-31,令人作呕
2020-07-31,？？？？
2020-07-31,不对劲
2020-07-31,老妖婆
2020-07-31,警惕美国战忽局
2020-07-31,你不对劲
2020-07-31,Reckless（鲁莽）
2020-07-31,还逐渐呢？！
2020-07-31,天下何人不通共
2020-07-31,战忽局呢？快上，敌人要识破我们了
2020-07-31,你不对劲
2020-07-31,政治不正确！
2020-07-31,拉华裔选票呢
2020-07-31,假新闻！
2020-07-31,政治不正确！
2020-07-31,原来还有自知之明啊
2020-07-31,？？？？？？？？？
2020-07-31,两面人
2020-07-31,好好保护起来
2020-07-31,警惕
2020-07-31,病毒不是美国传给中国的吗？
2020-07-31,你职位没了
2020-07-31,警惕我们的敌人
2020-07-31,好烦，这种人
2020-07-31,喝多了吧，起诉我们，赔个你个大香蕉哦
2020-07-31,害怕了
2020-07-31,天下何人不同。。。
2020-07-31,为什么不是友军？
2020-07-31,总之得有自知之明
2020-07-31,这不是友军，皆为利往需除
2020-07-31,警惕
2020-07-31,危
2020-07-31,这是人话？
2020-07-31,反复横跳
2020-07-31,抖
2020-07-31,私设公堂
2020-07-31,警惕警惕
2020-07-31,抖腿
2020-07-31,警惕
2020-07-31,别，我们不想引起注意
2020-07-31,政治生涯结束
2020-07-31,话里有话，老妖婆
2020-07-31,你不对劲
2020-07-31,暗杀
2020-07-31,这谁家奶奶赶紧领回家
2020-07-31,？
2020-07-31,嗯哼哼？
2020-07-31,上当了哈哈哈哈哈哈
2020-07-31,？
2020-07-31,保护
2020-07-31,害怕
2020-07-31,？？？？？？
2020-07-31,妖怪！显出原形！
2020-07-31,等着我们起诉你们美国佬
2020-07-31,危
2020-07-31,还是甩锅我们
2020-07-31,麦卡锡来了
2020-07-31,总结：美国不能搞例外，如此一来其他国家也会对美国搞例外
2020-07-31,请求战忽局支援
2020-07-31,小心被抄家！
2020-07-31,这不科学哟，
2020-07-31,？
2020-07-31,意思美国犯法的地方更多！还有想说一句病毒最初起源在哪里还不一定
2020-07-31,危
2020-07-31,不对劲
2020-07-31,后面的玩手机了
2020-07-31,很好的听力材料，基本听懂了
2020-07-31,老妖婆
2020-07-31,你诉讼就行了？谁赔给你啊
2020-07-31,你不对劲？
2020-07-31,原谅的前提是我们错了，我们可没错，别被带歪了
2020-07-31,危
2020-07-31,玩忽职守？？？？你看看你自己
2020-07-31,伪
2020-07-31,伪
2020-07-31,？？？？？？？？
2020-07-31,伪
2020-07-31,玩忽职守？？？？？？？你看看你自己
2020-07-31,不是友军
2020-07-31,警惕
2020-07-31,警惕
2020-07-31,警惕
2020-07-31,给卡布奇诺倒一杯阿姨
2020-07-31,上当了
2020-07-31,这英语好清晰啊
2020-07-31,这也不是个好东西
2020-07-31,这个人不能留居然调查过中国
2020-07-31,战忽局出来工作
2020-07-31,表演，不要当真
2020-07-31,注意：这不是友军！
2020-07-31,美国人说的话能信？
2020-07-31,这美国佬又要借钱，说好话了
2020-07-31,危
2020-07-31,themore...themore句型，要考的画重点
2020-07-31,我倒觉的既不用保护也无须指责，看看就好。
2020-07-31,危
2020-07-31,为了打压对手，甚至可以说真话
2020-07-31,？？？？？
2020-07-31,这不是友军
2020-07-31,战忽局安排一下
2020-07-31,危
2020-07-31,安排
2020-07-31,我看不懂了
2020-07-31,美国人有病吧，真的以为中国人不敢打是吧
2020-07-31,天下何人不通共
2020-07-31,？？？？？？？
2020-07-31,战忽局的人怎么干活的？？？？这个人不能留
2020-07-31,警惕
2020-07-31,为反对而反对，美帝是没有友军的
2020-07-31,危
2020-07-31,？？？？？
2020-07-31,哦，你为了执政然后更狠地打击我国为我国所说的好话真感人
2020-07-31,呵呵他们狗咬狗
2020-07-31,先开炮，是不是友军到时再说
2020-07-31,准备自杀
2020-07-31,当敌人开始夸你的时候，你要注意了
