日期,内容
2020-03-07,？？？
2020-03-07,你配吗
2020-03-07,？？？？
2020-03-07,？？？？
2020-03-07,BGMPorUnaCabeza？？？
2020-03-07,bgm一步之遥
2020-03-07,一步之遥
2020-03-07,bgm一步之遥
2020-03-07,PorUnaCabeza？
2020-03-07,吐了
2020-03-07,？
2020-03-07,BGM：PorUnaCabeza
2020-03-07,?？
2020-03-07,这小眼神酷~
2020-03-07,？？？？？？？？？
2020-03-07,这小眼神酷~
2020-03-07,？？？？？？？
2020-03-07,缓缓的打出一个？
2020-03-07,？？？
2020-03-07,？？？？？？
2020-03-07,？
2020-03-07,？？？？？？
2020-03-07,道歉？？？？？？？
2020-03-07,???
2020-03-07,？真的不觉得自己不要脸吗？我真的疑惑
2020-03-08,这BGM
2020-03-08,给爷爬美国弟弟
2020-03-08,？？？？？？？
2020-03-08,？？？？？？？
2020-03-08,？？？？？？？？？？？？？？
2020-03-08,谁是病毒发源地还不知道，中国只是第一时间发现病毒，很大可能美国才是病毒发源地
2020-03-08,jesseswatter他的IG
2020-03-08,哈哈哈哈给爷干懵了
2020-03-08,？？？？？？？？
2020-03-08,？。
2020-03-08,地铁老爷爷看手机
2020-03-08,你美国先为流感暴风道歉
2020-03-08,？？？
2020-03-08,youarearacist
2020-03-08,你要求？你配吗？
2020-03-08,你要求道歉，阿秋回应你了。你们2个自己去嗨吧
2020-03-08,王之蔑视
2020-03-08,你算老几？
2020-03-08,看吧
2020-03-08,美国要向全世界磕头道歉！
2020-03-08,牛皮
2020-03-08,这小眼睛太有神了
2020-03-08,？？？？？？？？？
2020-03-08,？？？？？？
2020-03-08,遗像
2020-03-08,病毒我们造的？
2020-03-08,给爷爬给爷爬
2020-03-08,想pi吃
2020-03-08,最新爆料视频大家网上搜索一下病毒源头是在美国首先提出质疑美国的是日本大家可以看下。
2020-03-08,想桃子
2020-03-08,我就不
2020-03-08,哈哈哈哈哈哈哈哈哈哈哈哈哈
2020-03-08,一看就是一个变态
2020-03-08,美国给我道歉当时因为这个我发烧了一个星期都没去上课
2020-03-08,艾滋病是美国的传统，赶紧带回去
2020-03-08,这背乐
2020-03-08,？？？？
2020-03-08,道你奶奶的歉
2020-03-08,？？？？
2020-03-08,美国道歉！
2020-03-08,BGM一步之遥
2020-03-08,？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？
2020-03-08,美国垃圾
2020-03-08,神之藐视
2020-03-08,这小眼神，哈哈哈哈哈
2020-03-08,？？？？？？？？？？？
2020-03-08,蛮夷蛮夷蛮夷蛮夷蛮夷蛮夷
2020-03-08,？？？
2020-03-08,？？？？？？？？？？？？？
2020-03-08,你在说啥？？？
2020-03-08,？？？？？
2020-03-08,要求道歉？！你算什么东西？！
2020-03-08,BGM棒，哈哈哈哈
2020-03-08,小眼神可爱(๑•.•๑)
2020-03-08,这眼神绝了
2020-03-08,h1n1的时候可没有让墨西哥和美国道歉哦
2020-03-08,蔑视的眼神
2020-03-08,????????
2020-03-08,王之蔑视
2020-03-08,？？
2020-03-08,？？？？？？
2020-03-08,眯眯眼都不好惹
2020-03-08,¿¿¿¿¿¿¿¿¿¿¿
2020-03-08,不愧是福克斯狐狸电视台不要脸的发言
2020-03-08,对啊，你们美国人咋不道歉呢
2020-03-08,吵美国主持人吐口水
2020-03-08,外国沙雕多
2020-03-08,看看哥轻蔑的眼神就知道什么意思了
2020-03-08,这个主持人只是美国的工具人罢了
2020-03-08,好样的(✪▽✪)
2020-03-08,这欠揍的小眼神，我喜欢
2020-03-08,？
2020-03-08,这大眼睛扑闪扑闪的
2020-03-08,日常双标？
2020-03-08,66666对对对
2020-03-08,这货的穿衣打扮品味奇葩，说话还装腔作势
2020-03-08,漂洋过海来问候你
2020-03-08,所以现在美国疫情严重，应该由美国道歉了？
2020-03-08,道歉？给你一个眼神自己体会
2020-03-08,你想笑死我好继承我的花呗吗！
2020-03-08,白人的双标展现的淋漓尽致
2020-03-08,天呐这个眼神爱了
2020-03-08,想peach
2020-03-08,这表情hhhhh
2020-03-08,哈哈哈哈
2020-03-08,美国流感
2020-03-08,ask这个词我很不喜欢
2020-03-08,一脸不屑好评
2020-03-08,这愉悦的bgm2333主持人:有被冒犯到
2020-03-08,沙壁的美国主持人
2020-03-08,我要美国猪流感道歉
2020-03-08,无语
2020-03-08,？？？？？？？？？
2020-03-08,你是谁？
2020-03-08,？
2020-03-08,老赵刚他
2020-03-08,?
2020-03-08,？
2020-03-08,王之藐视
2020-03-08,王之蔑视
2020-03-09,不好意思，我不看，这13脸我看不下去
2020-03-09,去你大爺
2020-03-09,？whoareyou?abug???
2020-03-09,一句话我就不
2020-03-09,大哥？为何不戴帽子？
2020-03-09,坚哥
2020-03-09,？？？？？？？？？？？？？？？？？？
2020-03-09,一步之遥？
2020-03-09,弟弟
2020-03-09,喔？
2020-03-09,？？？？
2020-03-09,？？？
2020-03-09,战术蔑视
2020-03-09,哈哈哈哈哈哈哈哈
2020-03-09,？？
2020-03-09,人类迷惑行为
2020-03-09,眼神爱了爱了23333
2020-03-09,shameonyou
2020-03-09,美国引发
2020-03-09,？？？？
2020-03-09,我们有川建国同志，小崽子造不起反。
2020-03-09,？？？？？？？
2020-03-09,？？？
2020-03-09,想桃子呢混
2020-03-09,瞧這小眼神哈哈哈
2020-03-09,说得好！
