日期,内容
2020-05-21,这个时候，良心下水道哪里去了
2020-05-21,天造威尼斯
2020-05-21,美国的手语翻译戏好多啊
2020-05-21,俗话说的好，大灾之后必有大疫。到了美国这就变成大疫之后必有大灾了吗？
2020-05-21,特朗普并不会管这个洲吧
2020-05-21,屋漏偏逢连夜雨
2020-05-21,去封锁别国科技的精力，拿来救灾，啥事做不成啊？！
2020-05-21,你家没了
2020-05-21,fakenews
2020-05-21,鸟语花香
2020-05-21,这是逼着出门还是居家呀
2020-05-21,就冲这表情，我给三连
2020-05-21,洪水之后，瘟疫也有可能发生
2020-05-21,你有钱有人往我们南海排，没人没钱救灾？
2020-05-21,唉怎么了，今年灾难这么多
2020-05-21,天亡美利坚自由游泳每一天
2020-05-21,芜湖
2020-05-21,社会达尔文主义。。。
2020-05-21,社会达尔文主义
2020-05-21,洪水加瘟疫……
2020-05-22,循环拉
2020-05-22,自行离开？？？？？？？？？？
2020-05-22,发达国家
2020-05-22,这是不是因为中国碳排放导致你们决堤呀？甩锅大王
2020-05-22,水自由了有水权了
2020-05-22,自行撤离亮了
2020-05-22,自由呗
2020-05-22,回来看手语
2020-05-22,自由！！
2020-05-22,龙卷风，冰雹什么的全去美国搞起来啊，叫你烧粮食
2020-05-22,自由的味道
2020-05-22,啧啧
2020-05-22,美丽风景线
2020-05-22,就一城市内涝而已嘛
2020-05-22,希望水再大一点
2020-05-22,自由泳
2020-05-22,我应该点赞吗？
2020-05-22,基建都用来建设墨西哥墙了，哪还有空建大坝
2020-05-22,自行撤离可还行。。。
2020-05-22,北美剧变
2020-05-22,还有后续
2020-05-22,昨天的密歇根，今天的十三号线（不对
2020-05-22,水也需要自由
2020-05-22,火上加油
2020-05-22,这是世界第一超级大国
2020-05-22,添油加醋，雪上加霜
2020-05-22,中国北方缺少严重啊，
2020-05-22,人祸
2020-05-22,你可一定要喷发啊黄石
2020-05-22,黄石加油！
2020-05-22,fakenews！
2020-05-22,fakenews
2020-05-22,漂亮哦，自由嘛
2020-05-22,我还以为这是湖？？？
2020-05-22,打仗很积极，救人不积极。。。。
2020-05-22,奥利给，加油冲破全境
2020-05-22,多点这
2020-05-22,自由的水，还差火和风
2020-05-22,希望鱼没事
2020-05-22,手语好评
2020-05-22,自由的洪水
2020-05-22,(^･ｪ･^)自由的洪水
2020-05-22,恭喜
2020-05-22,漂亮
2020-05-22,恭喜恭喜
2020-05-22,加带力度
2020-05-22,自由
2020-05-22,特朗普:病毒被冲走了
2020-05-22,极度舒适
2020-05-22,水获得了自由
2020-05-22,民心不稳啊
2020-05-22,好!
2020-05-22,还有鸟叫呢
2020-05-22,自由的洪水
2020-05-22,德国下水道呢
