日期,内容
2020-04-14,我们在见证历史
2020-04-14,我们这差不多了
2020-04-14,放开油管，爷要去跟他们对线，让他们知道什么叫王者
2020-04-14,指的大概是全中美吧，你们懂得。
2020-04-14,这是自己人友谊勋章获得者为什么你们还开枪
2020-04-14,想得美！
2020-04-14,神仙打架
2020-04-14,客观过头了
2020-04-14,但愿如此吧
2020-04-14,可惜老美不这么想
2020-04-14,方方:我不信我不听我谣言
2020-04-14,可我们是落花有情你们是流水无意啊无奈
2020-04-14,说我们指责的你睁睁眼
2020-04-14,你有病吧，中国什么时候指责美国了？
2020-04-14,我支持战争，反正除了贷款我一无所有
2020-04-14,将斗争到底，
2020-04-14,美国公知？
2020-04-14,这翻译太稀烂了吧
2020-04-14,别的不说，好多单词可以学
2020-04-14,对我们就是用完就丢
2020-04-14,现在在外网宣传中国的东西不都要被限流严重的封号么？
2020-04-14,说实话咱已经解除危机了
2020-04-14,前面的亲不要被政客的言论激起仇恨情绪。。。。
2020-04-14,美国政客表现毫无能力，中国一流水平，唯有歇斯底里乱叫
2020-04-14,这个医院前面少了一个重要的定语“传染病”医院
2020-04-14,美国反华政客心焦啊
2020-04-14,美国已经做出了选择
2020-04-14,相互指责？笑了
2020-04-14,我不否定但不同意
2020-04-14,这位老头，挺客观的，
2020-04-14,对我们在前线战斗总结经验，你们在后方言论自由！！！
2020-04-14,米果是自由国度，言论自由！我们可高攀不起！合作不起！
2020-04-14,赶赶紧的老爷子
2020-04-14,入党吧
2020-04-14,和则两利，斗则俱伤
2020-04-14,风雨哈佛路的背景音乐
2020-04-14,朝鲜什么时候不封国了？
2020-04-14,建议入党
2020-04-14,nice
2020-04-14,"慢点慢点,吸口气再说"
2020-04-14,这个意思有点儿不对啊
2020-04-14,成天被政客洗脑，民众怎么可能客观？
2020-04-14,没错，非常客观
2020-04-14,动员能力震惊全世界
2020-04-14,公知出来洗地了
2020-04-14,道理我都懂
2020-04-14,哈哈哈哈哈
2020-04-14,合作个屁
2020-04-14,明白人
2020-04-14,互相指责？这不是美国单方面干的么？
2020-04-14,不特别惨是不会感同身受的
2020-04-14,救不了这么多自由的二货啊
2020-04-14,这是自己人
2020-04-14,其实我想说，世界的变革是需要流血，现在有个不是人的举起的屠刀，那就等等看吧（唉）
2020-04-14,这样夸我还有点不好意思也
2020-04-14,再萧条我们也是世界之光
2020-04-14,欧美国官员无心的言论？？？
2020-04-14,这些我们都知道啊=。=
2020-04-14,先管好你家手风琴大师再说其他
2020-04-14,中国倒是很想和平合作，互利共赢，只是美国一直挑事
2020-04-14,精中狂喜
2020-04-14,朝鲜不是一直封么
2020-04-14,美国公知可以
2020-04-14,没人可以叫醒美国政客
2020-04-14,不会合作的
2020-04-14,川普说话不算话啊
2020-04-14,这话该对美国人说
2020-04-14,ForthegreatergoodOfhumanrace
2020-04-14,只要是中国提出的理念，都是propaganda，你让这工作怎么做？
2020-04-14,终于不黑了
2020-04-14,此生无悔入华夏，来世还做中国人
2020-04-14,说实话也叫公知？
2020-04-14,都是体制的问题！
2020-04-14,这需要美国正视病毒源头端正态度。
2020-04-14,朝鲜封国
2020-04-14,精中好人
2020-04-14,共同研发，快完成了一脚踢开，然后说你偷窃
2020-04-14,合作个锤子
2020-04-14,我们完了，你们也完了
2020-04-14,我们并没有指责，我们只是合理质疑
2020-04-14,但是，国外很多人都不愿客观和正面去评价中国
2020-04-14,定。。。定体问？
2020-04-14,这完全取决于美国
2020-04-14,美国公知？？
2020-04-14,互相指责这说法不对，是美国单方面指责中国
2020-04-14,某知名读物的作者罗伯特库恩先生
2020-04-14,你们西方人主动挑起的对中国各种侮辱不先承认错误，还想用所谓的团结之类话掩盖过去吗？？？
2020-04-14,暗示美国领导人握劝不作为
2020-04-14,非也，不可掉以轻心，新冠一日不灭，仍可能卷土重来
2020-04-14,到位
2020-04-14,中国加油
2020-04-14,中美之间永远都没有所谓的和谐，中国如果想实现伟大复兴就必须把美国踩下去。
2020-04-14,我们完了
2020-04-14,这话主要要和美国说
2020-04-14,我来组成弹幕
2020-04-14,nice～
2020-04-14,我们不想和美国斗啊，美国总是挑衅怎么办?
2020-04-14,这明明是美国的锅
2020-04-14,星际穿越？
2020-04-14,先把美各种反华法案撤了再来求助
2020-04-14,不愧是中国通言辞都很客观
2020-04-14,不在中国扩散，谢谢
2020-04-14,祖国母亲666
2020-04-15,大大的眼光真得太长远了，是为了若干代人的未来
2020-04-15,还是中文简单，英文好长
2020-04-15,好像牛顿
2020-04-15,我大邵阳抢镜!
2020-04-15,人家一早就看到，只是你们自吹自擂，玩掩耳盗铃把戏。
2020-04-15,毕竟中国人的命值钱，老外的还是算了
2020-04-15,合作个锤子
2020-04-15,没人比我们更懂科技兴国
2020-04-15,落后就要挨打
2020-04-15,啥意思？利益就算美国的，责任就是中美的？
2020-04-15,少把责任往我们身上推，这些就是你西方的责任
2020-04-15,你们美国选择的就是对抗，所以只能是对抗
2020-04-15,各人顾各人吧
2020-04-15,我们被迫反击
2020-04-15,川：没人比我更懂
2020-04-15,不是中美选择对立，是美国选择对立
2020-04-15,硬的不行要来软的？
2020-04-15,首先你要明白中国想尽全力帮助世界抗议可抗疫最重要的是自己不是仰仗别人美国不配合中国做再多白搭
2020-04-15,感觉也就韩国和朝鲜还能比比。。。
2020-04-15,这就是病毒执照者
2020-04-15,"It'syourcountrychoosetofight,NOTus"
2020-04-15,别相信
2020-04-15,这人是垃圾
2020-04-15,这人就是病毒所出来的
2020-04-15,绝对不能和美畜合作
2020-04-15,起初我们顾全大局一直想合作，是美国太双标了，一直找茬
2020-04-15,30年？我外婆80都年没见过这场面。
2020-04-15,爱我的祖国，爱我的同胞❤️
2020-04-15,抗击疫情的中国人很团结❤️
2020-04-15,你说的对，但是美国和部分国家揣着明白装糊涂，你把他们喊醒再说吧
2020-04-15,激将法？
2020-04-15,保护
2020-04-15,说的太对了，这就是外国的现状了，特别是某些国家领导人中获利是最可恶的
2020-04-15,nice
2020-04-15,中国加油
2020-04-15,讲得好
2020-04-15,不相信他们这些人，事后捅刀子
2020-04-15,这是看白嫖疫苗有望
2020-04-15,这都是必然的呀，还can'timagine，有果必有因
2020-04-15,合作个鬼？巴不得美国消失
2020-04-15,川普...
2020-04-15,是你毁了战忽局所有同志的努力
2020-04-15,毕竟西方是为了部分人的利益而建立的
2020-04-15,批评与自我批评
2020-04-15,吃力不讨好的事谁做？做完好事还得被你们骂
2020-04-15,傻瓜，我们已经好了
2020-04-15,还有免费是关键
2020-04-15,如果美国这届政客愿意放下无用的傲慢，与全球合作，情况肯定会转好的
2020-04-15,要明白一点，激起这一切的都是西方！中国只是被迫跟进
2020-04-15,我们没有选择对立，一切都是美国挑起的
2020-04-15,美国的态度是谈和，但美国的立场必须在高处，虚伪
2020-04-15,中国加油
2020-04-15,对的
2020-04-15,我们中国抗疫的时候你们隔岸观火看我们笑话，现在烧自己头上了就叫嚣合作了？
2020-04-15,互相指责？我们只是回复美国佬对我们的抹黑！
2020-04-15,中国通哇
2020-04-15,他改变了美国
2020-04-15,蛇皮棒棒锤
2020-04-15,他也太了解了吧
2020-04-15,是美国不合作，老找茬
2020-04-15,可能政客觉得还不够严重
2020-04-15,中国一直都是这么想的
2020-04-15,你永远叫不醒一个装睡的人
2020-04-15,第二天就台北法案
2020-04-15,我们只要还原真相
2020-04-15,保护，这是我国友谊勋章获得者
2020-04-15,我们保留了部分经济，却是是最好的，而且中国人口最多
2020-04-15,忽略了我们优秀富有责任感的老百姓
2020-04-15,拜托，大爷，是您美国选择了敌对，咱是选择和谐的
2020-04-15,西方号称理性，但想你这样公正，客观的学者不算多数
2020-04-15,不妙，只要牵扯到体制二字就不可能合作了
2020-04-15,不妙，只要牵扯到体制二字，就不可能合作了
2020-04-15,这应该对米果说这些看看？谈何容易说着玩一样
2020-04-15,你们是民族国家，而我们是文明国家，归根到底，我们5000年的中华文明让我们凝聚起来，战胜一切！！！
2020-04-15,短时间的落后，现在掌握了工业化，5000年文明的智慧加上现代化，这次疫情的成功防治，不是简简单单几个词，几句话，
2020-04-15,太小看中国了，我们5000年的文明国家，你们几百年的民族国家，
2020-04-15,中国的动员能力不是吹的。
2020-04-15,西方国家体制简直就是个笑话
2020-04-15,我们要完了你就提合作，你们要完了你就提合作
2020-04-15,不愧是中国通！
