日期,内容
2020-03-29,行动啊
2020-03-29,？？？？？？
2020-03-29,？？？
2020-03-29,英国人这样自信吗
2020-03-29,那是人命，不是数字啊
2020-03-29,免疫的代价两万人而已洒洒水
2020-03-29,哪些送去英国的留学生估计是为的是英国这样的教育吧
2020-03-29,好多不带口罩
2020-03-29,大嘤到底啥国情啊？
2020-03-29,现在任务完成百分之几了？
2020-03-29,大英帝国才多少人
2020-03-29,？？？？
2020-03-29,？？？？？？
2020-03-29,？？？？？
2020-03-29,？？？？？？
2020-03-29,？？？？？？？
2020-03-29,？？？？
2020-03-29,口罩都不戴还在这说呢
2020-03-29,当时自满:我当时害怕极了！
2020-03-29,2万？
2020-03-29,？？？？
2020-03-29,？？？
2020-03-29,那为什么不努力去救每一个人？
2020-03-29,自满？
2020-03-29,666666
2020-03-29,自满？
2020-03-29,汝听，人言否？
2020-03-29,带口罩啊，隔这么远有什么用？？？？？
2020-03-29,？？？？？？？？
2020-03-29,？？？？？？？？？？？
2020-03-29,这是日耳曼，不是盎格鲁撒克逊
2020-03-29,？？？？？？？？？？
2020-03-29,自满？？？？
2020-03-29,？？？？？？？？？？？
2020-03-29,？？？？？？？
2020-03-29,？？？？？
2020-03-29,如果不是全世界喷的压力，你们会实行限制？
2020-03-29,????????
2020-03-29,？？？？？？
2020-03-29,？？
2020-03-29,给我整笑了
2020-03-29,？？？
2020-03-29,套话
2020-03-29,不，你们要群体免疫。
2020-03-29,2万。才广岛原子弹的1/10
2020-03-29,跳过治疗阶段！！？？
2020-03-29,自由英格兰
2020-03-29,早干嘛去了
2020-03-29,你怎么不是两万分之一
2020-03-29,两万不多，不多。
2020-03-29,还嘴硬呢，还期待群体免疫呢
2020-03-29,什么？
2020-03-29,没人说你自满把
2020-03-29,洗手的时候唱两遍生日歌吗？？
2020-03-29,早干嘛去了，看热闹呢？
2020-03-29,？？？？？？？？
2020-03-29,哇，真有脸啊
2020-03-29,你以为菜市场买菜讨价还价呢，2万还到1万？
2020-03-29,？？？？？？？？
2020-03-29,期末考试不复习转发锦鲤最后如愿以偿挂科
2020-03-29,？？？？？？？？？？？
2020-03-29,不当人看吗
2020-03-29,说什么屁话
2020-03-29,开口就是两万
2020-03-29,小问号你是否有很多好朋友？
2020-03-29,？？？
2020-03-29,早干嘛去了！
2020-03-29,？？人是数字
2020-03-29,???????
2020-03-29,？？？？
2020-03-29,???????????????????????
2020-03-29,200百万人感染？
2020-03-29,?
2020-03-29,？？？？？？？？？？？？？？？？？？
2020-03-29,群体免疫
2020-03-29,2%都不止！
2020-03-29,就这种控制疫情的这能力，还敢说自己是大国？！
2020-03-29,你们有可以自满的时候吗？
2020-03-29,靠群体免疫吗？
2020-03-29,???????
2020-03-29,？？？
2020-03-29,没行动先吹一波
2020-03-29,大嘤是真的自由
2020-03-29,？？？？？？？？？？？？？？？？
2020-03-29,这是不是第三步了
2020-03-29,两万，草菅人命啊！
2020-03-29,你好像很有信心
2020-03-29,1/20
2020-03-29,去年美国流感不也是死了几万人，所以很正常
2020-03-29,2万？那要感染多少人？
2020-03-29,没其他词替代
2020-03-29,？？？？？？？2万你是认真的？
2020-03-29,哈
2020-03-29,那你不是自绝后路吗？
2020-03-29,交白卷？
2020-03-29,？？？？？？
2020-03-29,？？？？？？？？？？
2020-03-29,????????????????
2020-03-29,这是人话吗？给了你们这么多时间结果就这样？这可是人命啊！
2020-03-29,两万？！！！
2020-03-29,哦是嘛我不信
2020-03-29,所以他到底说了件什么事？完全不明白啊
2020-03-29,英国多少人？
2020-03-29,还是不戴口罩
2020-03-29,他们不是数字
2020-03-29,自满？
2020-03-29,还骄傲起来了？？？
2020-03-29,？？？
2020-03-29,？？？？？？？？？？？？？？？？、
2020-03-29,吓人
2020-03-29,添两个零好吗
2020-03-29,这是人话？？
