日期,内容
2020-01-21,国士无双
2020-01-21,致敬！
2020-01-21,加油！
2020-01-21,这才是我们要粉的英雄
2020-01-21,祝您平安！！！
2020-01-21,身体健康！平平安安！！
2020-01-21,加油！
2020-01-21,大家注意身体
2020-01-21,永远信任医生
2020-01-21,我们信你钟院士，信国家
2020-01-21,钟院士也要注意休息呀
2020-01-21,钟院士加油
2020-01-21,大家加油！
2020-01-21,教授注意别劳累过度
2020-01-21,八十多岁了
2020-01-21,棒棒哒
2020-01-22,武汉挺住
2020-01-22,辛苦了
2020-01-22,我无条件相信您，您有信心那我就有！
2020-01-22,身体健康！
2020-01-22,辛苦了
2020-01-22,巨佬
2020-01-22,辛苦了
2020-01-22,辛苦了
2020-01-22,向在一线的医护人员致敬
2020-01-22,辛苦了，致敬
2020-01-22,辛苦了，致敬
2020-01-22,相信中国
2020-01-22,英雄加油
2020-01-22,保护好你自己啊
2020-01-22,加油，辛苦啦！
2020-01-22,加油！！！！！！！！！！！！！！！！！！！！！
2020-01-22,辛苦了加油
2020-01-22,国士无双
2020-01-22,辛苦了
2020-01-22,男神
2020-01-22,加油，奥利给
2020-01-22,钟院士和所有奋战一线的医生护士辛苦了
2020-01-22,相信您
2020-01-22,我相信老先生
2020-01-22,辛苦了真的，院士说话我就安心许多
2020-01-22,加油！
2020-01-22,致敬
2020-01-22,辛苦了
2020-01-22,牛
2020-01-22,华佗在世
2020-01-22,加油加油加油
2020-01-22,加油！
2020-01-22,您说就放心多了
2020-01-22,国士无双
2020-01-22,敬礼
2020-01-22,加油
2020-01-22,国士无双
2020-01-22,致敬
2020-01-22,致敬!
2020-01-22,加油！
2020-01-22,加油！
2020-01-22,辛苦了
2020-01-22,平安
2020-01-22,加油!
2020-01-22,国士无双，致敬钟老！
2020-01-22,致敬
2020-01-22,武汉加油
2020-01-22,有您这句话我就放心了
2020-01-22,武汉加油
2020-01-22,辛苦了
2020-01-22,加油
2020-01-22,加油，大家一定要注意
2020-01-22,加油，大家一定要注意！
2020-01-22,尊重
2020-01-22,敬礼
2020-01-22,辛苦
2020-01-22,国士请一定保重身体
2020-01-22,敬礼！
2020-01-22,提气！！！
2020-01-22,钟院士辛苦了
2020-01-22,武汉加油！
2020-01-22,加油！一切都会好起来的!
2020-01-22,国士无双
2020-01-22,致敬！
2020-01-22,加油！
2020-01-22,这才是我们要粉的英雄
