日期,内容
2020-01-30,鬼畜素材来了
2020-01-30,这样的人也能上
2020-01-30,可恶啊审判她！
2020-01-31,？？？？？
2020-01-31,什么都没问出来
2020-01-31,？？？？？？
2020-01-31,这个名字真厉害
2020-01-31,我不需要知道，我要你知道
2020-01-31,只知道床位，不知道病人数量？这位主任搞笑吗
2020-01-31,我一身衣服也就200多……
2020-01-31,在B站看新闻联播我还是第一次
2020-01-31,我们街道办都比她厉害
2020-01-31,巧了我也是
2020-01-31,还挺理直气壮
2020-01-31,弹幕
2020-01-31,？？？
2020-01-31,当场失业
2020-01-31,这是督察组的
2020-01-31,这叫什么事啊？
2020-01-31,病人时刻变化？那你说说你最近一次了解时有多少病人呗？连续的不知道，某个时间点总知道吧
2020-01-31,好官方
2020-01-31,现在还在手写?不应该是电脑上传数据吗？
2020-01-31,还好免职了
2020-01-31,心疼黄冈
2020-01-31,弹幕乱喷？这个是督查组的啊
2020-01-31,研究个啥。先救人！
2020-01-31,我觉得她是知道的，不知道怎么答才好
2020-01-31,各位看清楚。这是督察组。别乱喷了好吗
2020-01-31,有点意思
2020-01-31,成都可还行！
2020-01-31,？l？
2020-01-31,？？
2020-01-31,？？？细看这是up剪切到前面的回答
2020-01-31,我是来看弹幕的
2020-01-31,一问三不知
2020-01-31,答非所问
2020-01-31,一问三不知
2020-01-31,依法履责，廉明高效
2020-01-31,电话铃声是成都
2020-01-31,翻译官，翻一下方言
2020-01-31,哦豁
2020-01-31,?
2020-01-31,刚刚是督察组啊你们在说什么
2020-01-31,大哥们人家是督察组进去检查的，说专业术语你听得懂？
2020-01-31,别可能，我要结论
2020-01-31,舒服了
2020-01-31,哦哈
2020-01-31,明明啥也没说，却给人感觉说了很多
2020-01-31,？？？就这
2020-01-31,？？？
2020-01-31,？？？？？？
2020-01-31,。。。。
2020-01-31,我都不知道她说什么？一会一个说法
2020-01-31,答非所问
2020-01-31,这是督察组的，大哥们，人刚进去调查
2020-01-31,有医德的医生真的是又累又焦心，辛苦了
2020-01-31,？？？？？
2020-01-31,那你干的是啥？
2020-01-31,6666
2020-01-31,？？？
2020-01-31,上一个视频就是讲她含糊其辞...
2020-01-31,情商太低不适合当官。
2020-01-31,都一个样，这是前期都没重视吧
2020-01-31,出名了
2020-01-31,啧啧
2020-01-31,还有翻译
2020-01-31,厉害了
2020-01-31,太不重视了
2020-01-31,问啥啥不知道
2020-01-31,哦ho
2020-01-31,说的啥？。。。
2020-01-31,督察组，中央台，问你还这样，可想怎么对普通百姓
2020-01-31,？
2020-01-31,天哪
2020-01-31,？
2020-01-31,这名字很富
2020-01-31,秀啊！秀央视一脸！你是谁请来的戏精？
2020-01-31,这也不适合当官啊
2020-01-31,一堆废话……
2020-01-31,督察组威武
2020-01-31,口罩倒是戴的不错
2020-01-31,666666
2020-01-31,哈哈哈哈哈哈
2020-01-31,？？？？？
2020-01-31,打电话问
2020-01-31,一把手不做事
2020-01-31,当天准备的吧
2020-01-31,没关心过吧！
2020-01-31,最多容纳多少人
2020-01-31,一个房子最多两张床
2020-01-31,最多容纳多少人
2020-01-31,这是什么领导啊
2020-01-31,118张床
2020-01-31,还得打电话问。。。
2020-01-31,工作没做好，什么都不知道
2020-01-31,她这家衣服5000多
2020-01-31,聪明人
2020-01-31,他们避之不及
2020-01-31,关心的心都不全了！
2020-01-31,吃闲饭的
2020-01-31,不堪一击
2020-01-31,这是
2020-01-31,？？？？
2020-01-31,那这么理直气壮
2020-01-31,那你的工作到底是啥，啥时候了，这个不清楚，那要你做什么
2020-01-31,这不是你应该了解的吗
2020-01-31,所以你都不用管了？
2020-01-31,听听说的是人话吗
2020-01-31,鬼畜素材来了
2020-01-31,这样的人也能上
2020-01-31,可恶啊审判她！
2020-02-01,人家过年去了哪里知道这些
2020-02-01,看来小朋友门都不知道免职的意思啊
2020-02-01,5000多的衣服
2020-02-01,就这态度？赶紧爬
2020-02-01,看墙上的八个字
2020-02-01,名字笑了
2020-02-01,您不会压根没看过新闻联播吧这特么哪是新闻联播
2020-02-01,完全不知道呗
2020-02-01,牛批继续牛批
2020-02-01,？？？？
2020-02-01,知道了一市卫健主任啥也不干更可恶
2020-02-01,？？？？
2020-02-01,？？？？
2020-02-01,不知道你就完了
2020-02-01,这个医生说话很温婉了，言下之意大家晓得吧
2020-02-01,一下就炸出弹幕双标的人
2020-02-01,所以在说什么？
2020-02-01,嗯嗯，知道了
2020-02-01,真逗
2020-02-01,呵呵底下给她汇报的都不听一下吧
2020-02-01,问啥不知道口罩戴的倒严实
2020-02-01,这些人也做领导
2020-02-01,平时闲惯了
