,topic,content,url
0,疫情下，你失眠了吗？8个方法助你睡个好觉,"
　　一场持续了两个多月的疫情，对所有人来说都是生理心理的双重考验。抗疫仍在继续，尽管已经逐渐复工复产，大部分人闲暇时还是选择在家中、减少外出，取消亲朋聚会。
　　原本广泛的生活圈突然缩窄，带给很多人心理冲击。以前抱怨工作繁忙，加班时间长没有时间睡觉，很多网友戏称现在“躺在家里就是为国家作贡献”。虽然可以支配的睡眠时间增多了，但是很多人还是有失眠的困扰。
　　为什么会失眠？如何改善睡眠？广州医科大学附属第三医院精神医学科主任医师周伯荣、医师胡佳佳来支招。
　　疫情下三种心态或引发失眠
　　为什么在疫情下我们会睡不好?周伯荣医生分析主要原因在于存在不安全感，内心总是有忐忑、不安全感，而这个不安全感的心态也同样容易激发兴奋与恐慌、焦虑、悲观的心态，出现以下三种形式：矛盾性心态，想清楚心态，恐慌悲观心态。
　　1.矛盾性心态
　　也叫对抗性心态，当你很兴奋的时候，就开始试图控制自己，告诉自己不该这么想；悲观的时候也是这样，认为自己不应该这样不断的悲观和自责下去了。然后内心相互纠结，相互对抗的东西不断产生，这时就会左思右想睡不着。比如面对事情不在自己掌控时的不安，甚至是想要去控制的强迫思维。
　　2.想清楚心态
　　就是在想一个问题的时候，一定要把它想清楚。比如在疫情期间，一些人一定要把每天的数据搞清楚，一定要算清楚今天新增了多少病例，或者去操心其他和疫情相关的事情，在这种“一定要把事情算明白”的“完美化”心态下，会越想越兴奋，人就很容易失眠。
　　3.恐慌悲观心态
　　因为内心总是有忐忑、不安全感，而这个不安全感的心态也同样容易激发兴奋与悲观的心态，比如面对事情不在自己掌控时的不安，甚至是想要去控制的强迫思维，这样大脑就会越想越兴奋。或者看到了身边的不幸事情的发生，自己也会有一种丧失感和不安全感，然后越想越悲观，出现恐慌和悲观心态，这也会引起睡眠障碍。
　　8个tips应对疫情中的“失眠”
　　突如其来的疫情打乱了人们的生活，出现心态上的焦虑，影响到睡眠，如何应对这种状况，胡佳佳医生提出以下8个应对办法：
　　1.接纳现状，不与情绪对抗
　　首先是接纳现状，接纳自己的矛盾性思维。告诉自己有这些想法很正常，不要因此自责。接纳自己的任何情绪，无论是兴奋还是痛苦，尤其是接纳痛苦，不沉浸在痛苦中，不要因为痛苦，而不断地去自责、去对抗、去产生后悔、懊恼，这是没有价值的。
　　2.“暴露”负面，倾诉情绪
　　去把那些困扰你的心态和想法暴露出来，暴露的方式就是倾诉。如果有需要，可以到专业的平台，寻找专业的心理医生咨询。因为倾诉很重要的一点就是需要一个合格的倾听者。否则这种暴露有时候会适得其反，甚至还会有伤害。
　　3.转移注意力
　　做一些自己平时觉得比较枯燥的事情，也可以帮助睡眠。
　　4.放松训练
　　可以做一些睡前放松训练，比如腹式呼吸和正念扫描，这些想象和冥想的音频可以让我们进入一个非常好的放松状态，如果这种训练做得好，它甚至可以直接进入睡眠。
　　5.睡眠限制法
　　很多人作息不规律，生物钟颠倒和紊乱，就可以尝试睡眠限制法。先一个是有固定的睡眠时间，然后在床和睡眠之间建立一个更健康的关系，比如有些人在床上玩游戏、看电视甚至是吃东西，这种情况就可以试着只在床上睡觉，不做其他的事。
　　6.睡眠剥夺法
　　利用睡眠剥夺来调整生物钟，睡不着的时候就不睡，去做些其他事情，无论多晚等困了再睡，然后第二天必须要正常早起，白天的时候即使很困也不要睡觉，直到晚上再睡。这样坚持几次生物钟就很快被纠正了。
　　7.认识和理解当下的环境
　　比如当下就是全民进入了紧张和焦虑的状态，虽然疫情进入尾声，我们还是要正确的认识疫情的相关知识，虽然疫情可怕，但是我们只要做好防护就很安全了，不必过分恐慌。
　　8.正确的生命价值观
　　我们要知道各种矛盾思维主要还是源自于本能安全感，也就是对生的欲望和对死亡的恐惧，所以我们要树立正确的生命价值观，尤其是够接纳死亡的这种态度，有了这种观念，像矛盾性思维、过度兴奋和过度悲伤的思维就不容易产生。
　　如果失眠严重，必要的时候还可以去医院就诊，医生可以通过药物和专业临床的物理治疗等方式，为患者进行睡眠障碍的治疗。
　　【记者】朱晓枫
　　【来源】南方号“广东健康头条”",http://life.southcn.com/g/2020-03/28/content_190658716.htm
1,【央视快评】坚决打好疫情防控全球阻击战,"
 
　　3月26日，二十国集团领导人应对新冠肺炎特别峰会以视频方式举行。习近平主席发表题为《携手抗疫 共克时艰》的重要讲话，真诚呼吁凝聚起战胜疫情的强大合力，提出了有效开展国际联防联控的中国方案，为国际社会共同战“疫”凝聚了广泛共识、注入了强大信心和力量，引发了与会各方的热烈共鸣，得到了国际社会的高度赞誉。

　　新冠肺炎疫情正在全球快速蔓延。迄今为止，累计确诊病例超过50万例，波及范围超过190个国家和地区，给人民生命安全和身体健康带来巨大威胁，给全球公共卫生安全带来巨大挑战。没有一个国家可以独善其身，各国只有坚定信心、齐心协力、团结应对，才是共渡难关、战胜疫情的唯一正确选择。
　　新冠肺炎疫情出现之初，身处防控第一线的中国在抗击疫情的斗争中，本着公开、透明、负责任态度，及时通报疫情信息，第一时间发布病毒基因序列等信息，以有力措施在短时间内控制住了疫情迅速发展的趋势，毫无保留地同各方分享防控和治疗经验，为国际社会赢得了宝贵时间、提供了有益参考。在疫情全球大流行之际，中国作为负责任大国，秉持人类命运共同体理念，在国内防控工作依然复杂艰巨的背景下，毅然派出多支医疗队伍，尽己所能为有需要的国家提供支持和援助，充分彰显了大国担当，为打好疫情防控全球阻击战作出了重要贡献。
　　疫情是我们的共同敌人。面对严峻形势，坚决遏制疫情蔓延势头成为当务之急。各国既要加强信息沟通、政策协调、行动配合，着力共同合作，加快药物、疫苗、检测等方面科研攻关，以机制性安排提高突发公共卫生事件应急响应速度，携手拉起最严密的联防联控网络，又要利用国际组织优势，充分发挥世界卫生组织的领导作用，继续发挥二十国集团的沟通协调作用，加强政策对话和交流，推广全面系统有效的防控指南，落实科学合理防控措施，有效遏制疫情的跨境传播。
　　病毒没有国界，各国命运相连。值此关键时刻，世界各国应直面挑战，迅速行动，以同舟共济、守望相助的精神全面加强国际合作，凝聚起战胜疫情强大合力，携手赢得这场人类同重大传染性疾病的斗争，迎来人类发展更加美好的明天！
　　央视评论员",http://opinion.southcn.com/o/2020-03/28/content_190658769.htm
2,【央视快评】坚决打好疫情防控全球阻击战,"
 
　　3月26日，二十国集团领导人应对新冠肺炎特别峰会以视频方式举行。习近平主席发表题为《携手抗疫 共克时艰》的重要讲话，真诚呼吁凝聚起战胜疫情的强大合力，提出了有效开展国际联防联控的中国方案，为国际社会共同战“疫”凝聚了广泛共识、注入了强大信心和力量，引发了与会各方的热烈共鸣，得到了国际社会的高度赞誉。

　　新冠肺炎疫情正在全球快速蔓延。迄今为止，累计确诊病例超过50万例，波及范围超过190个国家和地区，给人民生命安全和身体健康带来巨大威胁，给全球公共卫生安全带来巨大挑战。没有一个国家可以独善其身，各国只有坚定信心、齐心协力、团结应对，才是共渡难关、战胜疫情的唯一正确选择。
　　新冠肺炎疫情出现之初，身处防控第一线的中国在抗击疫情的斗争中，本着公开、透明、负责任态度，及时通报疫情信息，第一时间发布病毒基因序列等信息，以有力措施在短时间内控制住了疫情迅速发展的趋势，毫无保留地同各方分享防控和治疗经验，为国际社会赢得了宝贵时间、提供了有益参考。在疫情全球大流行之际，中国作为负责任大国，秉持人类命运共同体理念，在国内防控工作依然复杂艰巨的背景下，毅然派出多支医疗队伍，尽己所能为有需要的国家提供支持和援助，充分彰显了大国担当，为打好疫情防控全球阻击战作出了重要贡献。
　　疫情是我们的共同敌人。面对严峻形势，坚决遏制疫情蔓延势头成为当务之急。各国既要加强信息沟通、政策协调、行动配合，着力共同合作，加快药物、疫苗、检测等方面科研攻关，以机制性安排提高突发公共卫生事件应急响应速度，携手拉起最严密的联防联控网络，又要利用国际组织优势，充分发挥世界卫生组织的领导作用，继续发挥二十国集团的沟通协调作用，加强政策对话和交流，推广全面系统有效的防控指南，落实科学合理防控措施，有效遏制疫情的跨境传播。
　　病毒没有国界，各国命运相连。值此关键时刻，世界各国应直面挑战，迅速行动，以同舟共济、守望相助的精神全面加强国际合作，凝聚起战胜疫情强大合力，携手赢得这场人类同重大传染性疾病的斗争，迎来人类发展更加美好的明天！
　　央视评论员",http://opinion.southcn.com/o/2020-03/28/content_190658769.htm
3,IMF总裁：中国为世界提供抗击疫情重要经验,"
　　中新社华盛顿3月27日电（记者 沙晗汀）国际货币基金组织（IMF）总裁格奥尔基耶娃当地时间27日表示，中国正在从新冠肺炎疫情中恢复，中国为世界其他国家提供了抗击疫情重要经验。
　　格奥尔基耶娃在当日举行的视频记者会上表示，在遭受新冠肺炎疫情冲击方面，中国早于其他国家。中国采取的严格防控措施给第一季度经济带来影响，但目前中国已经开始从疫情中恢复，正在加紧复工复产。
　　格奥尔基耶娃说，中国为世界其他国家在抗击疫情方面提供大量专业知识和重要经验。目前中国是世界上医疗设备和医疗经验的重要来源国，中国正在与世界分享这些资源和成果。
　　格奥尔基耶娃还说，中国是世界经济的重要组成部分，中国经济在2020年的表现不仅对中国很重要，对于世界也至关重要。
　　根据IMF预测，受新冠肺炎疫情影响，全球经济在2020年将出现负增长，但预计2021年经济会复苏。格奥尔基耶娃表示，当前最重要的是优先实施防控措施并加强卫生体系建设。目前经济已经并将继续受到严重影响，但越快控制住疫情，经济复苏就会越快、越强。
　　据美国约翰斯·霍普金斯大学实时统计数据显示，目前全球已有超过59万人感染新冠肺炎，死亡人数超过2.7万人。",http://news.southcn.com/international/content/2020-03/28/content_190659676.htm
4,IMF总裁：中国为世界提供抗击疫情重要经验,"
　　中新社华盛顿3月27日电（记者 沙晗汀）国际货币基金组织（IMF）总裁格奥尔基耶娃当地时间27日表示，中国正在从新冠肺炎疫情中恢复，中国为世界其他国家提供了抗击疫情重要经验。
　　格奥尔基耶娃在当日举行的视频记者会上表示，在遭受新冠肺炎疫情冲击方面，中国早于其他国家。中国采取的严格防控措施给第一季度经济带来影响，但目前中国已经开始从疫情中恢复，正在加紧复工复产。
　　格奥尔基耶娃说，中国为世界其他国家在抗击疫情方面提供大量专业知识和重要经验。目前中国是世界上医疗设备和医疗经验的重要来源国，中国正在与世界分享这些资源和成果。
　　格奥尔基耶娃还说，中国是世界经济的重要组成部分，中国经济在2020年的表现不仅对中国很重要，对于世界也至关重要。
　　根据IMF预测，受新冠肺炎疫情影响，全球经济在2020年将出现负增长，但预计2021年经济会复苏。格奥尔基耶娃表示，当前最重要的是优先实施防控措施并加强卫生体系建设。目前经济已经并将继续受到严重影响，但越快控制住疫情，经济复苏就会越快、越强。
　　据美国约翰斯·霍普金斯大学实时统计数据显示，目前全球已有超过59万人感染新冠肺炎，死亡人数超过2.7万人。",http://news.southcn.com/international/content/2020-03/28/content_190659676.htm
5,大湾区之声热评：一周即翻倍！香港疫情恶化绝非杞人忧天,"
　　近一个月以来，随着全球疫情快速蔓延，香港应对新冠肺炎疫情的措施也在不断升级。从3月19日开始，香港已对入境人士采取分类措施，拒绝入境或者强制隔离。然而，香港当前的疫情形势依然日趋严峻，急需引起各方和全体市民更加重视。
　　3月26日，香港宣布新增43例确诊病例，涉及25女18男，年龄介于18至78岁。至此，香港累计确诊病例增至453例。香港特别行政区政府食物及卫生局副局长徐德义表示，过去短短一周，香港确诊病例增加近一倍。他强调，未来数日是关键，呼吁减少人群聚集。
　　一方面，特区政府不断升级内控外防措施，而另一方面，香港确诊病例数量却急剧攀升。少数香港市民缺乏责任感和同理心恐怕是主要内因。据香港特区政府消息，从3月19日香港实施强制检疫令以来，截止到26日，至少有54人违反规定被抓。这些人中，有人提供虚假隔离住址，有人戴着隔离手环到处游走，甚至外出吃饭，有人直接把手环取下来在社交平台炫耀，种种情形令人失望和痛心。
　　毋庸讳言，少数市民深受个人主义及功利主义价值观影响，过分强调个人自由及权利，自律能力差，加上对公权力的藐视，不顾政府再三呼吁，面对严峻的疫情，动辄对政府的防控措施吐槽埋怨，埋怨政府不提供更多检疫隔离场所，埋怨公立医院病床爆满，埋怨政府不提供更多资源。对此，我们要断喝一声：某些自私自利的人，就是没想想如此我行我素，给社会平添了多少危险! 那些没有道德底线的行为，必须坚决予以制止。
　　还有一部分香港市民经过两个多月抗疫，松劲、懈怠甚至麻木心态滋长。有些开始照常聚会，结果造成多个社交活动群组感染。此时此刻，我们也要及时预警，一定要保持清醒，保持耐心，继续做好防护。
　　侥幸和麻痹是疫情防控的大忌。目前，香港特区政府正在研究新政进一步减少人流聚集，更需要每一位香港市民的持续支持和配合。当下香港疫情比过去两个多月的任何一段时间都更加严峻。希望全体香港市民抛弃纷争，与特区政府一起戮力同心、坚持不懈，把疫情防控各项工作做细做实做到位。大湾区各地也要继续合力管控，防微杜渐。
　　疫情防控必须万无一失。如果任凭某些人恣意妄为，就很可能一失万无，疫情在香港社区的暴发恐不是杞人忧天!
　　来源：大湾区之声",http://opinion.southcn.com/o/2020-03/28/content_190658890.htm
6,大湾区之声热评：一周即翻倍！香港疫情恶化绝非杞人忧天,"
　　近一个月以来，随着全球疫情快速蔓延，香港应对新冠肺炎疫情的措施也在不断升级。从3月19日开始，香港已对入境人士采取分类措施，拒绝入境或者强制隔离。然而，香港当前的疫情形势依然日趋严峻，急需引起各方和全体市民更加重视。
　　3月26日，香港宣布新增43例确诊病例，涉及25女18男，年龄介于18至78岁。至此，香港累计确诊病例增至453例。香港特别行政区政府食物及卫生局副局长徐德义表示，过去短短一周，香港确诊病例增加近一倍。他强调，未来数日是关键，呼吁减少人群聚集。
　　一方面，特区政府不断升级内控外防措施，而另一方面，香港确诊病例数量却急剧攀升。少数香港市民缺乏责任感和同理心恐怕是主要内因。据香港特区政府消息，从3月19日香港实施强制检疫令以来，截止到26日，至少有54人违反规定被抓。这些人中，有人提供虚假隔离住址，有人戴着隔离手环到处游走，甚至外出吃饭，有人直接把手环取下来在社交平台炫耀，种种情形令人失望和痛心。
　　毋庸讳言，少数市民深受个人主义及功利主义价值观影响，过分强调个人自由及权利，自律能力差，加上对公权力的藐视，不顾政府再三呼吁，面对严峻的疫情，动辄对政府的防控措施吐槽埋怨，埋怨政府不提供更多检疫隔离场所，埋怨公立医院病床爆满，埋怨政府不提供更多资源。对此，我们要断喝一声：某些自私自利的人，就是没想想如此我行我素，给社会平添了多少危险! 那些没有道德底线的行为，必须坚决予以制止。
　　还有一部分香港市民经过两个多月抗疫，松劲、懈怠甚至麻木心态滋长。有些开始照常聚会，结果造成多个社交活动群组感染。此时此刻，我们也要及时预警，一定要保持清醒，保持耐心，继续做好防护。
　　侥幸和麻痹是疫情防控的大忌。目前，香港特区政府正在研究新政进一步减少人流聚集，更需要每一位香港市民的持续支持和配合。当下香港疫情比过去两个多月的任何一段时间都更加严峻。希望全体香港市民抛弃纷争，与特区政府一起戮力同心、坚持不懈，把疫情防控各项工作做细做实做到位。大湾区各地也要继续合力管控，防微杜渐。
　　疫情防控必须万无一失。如果任凭某些人恣意妄为，就很可能一失万无，疫情在香港社区的暴发恐不是杞人忧天!
　　来源：大湾区之声",http://opinion.southcn.com/o/2020-03/28/content_190658890.htm
7,广州首宗涉疫情合同诈骗案侦破 复工企业被骗350万元,"
　　企业复工复产数量增加，个别不法分子利用复工复产企业急需大量口罩、电子测温计等防疫物资之机，发布虚假信息，实施合同诈骗。3月27日，记者从广州市公安局获悉，海珠警方快速侦破一宗虚构低价防疫物资货源实施合同诈骗的案件，这也是广州市侦破的首宗涉疫情合同诈骗案。

　　3月9日，浙江省某公司委托员工高女士到海珠警方经济犯罪侦查大队报案，称其公司向广州的杨某采购一批用于复工复产的电子测温计时遭遇诈骗。
　　经济犯罪侦查大队民警初步调查发现，该公司采购人员经他人介绍，向自称能以明显低于市场价的价格大批量供应防疫物资的杨某订购电子测温计。
　　双方于2月29日至3月2日先后通过网络签订了6份电子《购销合同》。合同约定，该公司向杨某转账支付520万元订金，杨某须在收到订金之日起5日内完成供货。
　　没想到，杨某在供应了首批1000支电子测温计后，便不再按时供货。因无法继续供货，杨某退还了该公司100多万元的订金，但却以各种理由推脱，不肯退还剩余的350万元订金，并在公司多次联系催单后失联。
　　随即，海珠警方成立由经济犯罪侦查大队精干警力组成的专案组开展全面调查。
　　专案组依托智慧新警务，迅速查证并固定了杨某涉嫌合同诈骗的相关证据，并于3月18日在荔湾区将杨某抓获归案。
　　经审讯，杨某只是一名经营宠物生意的个体老板，并没有大批量采购和供应防疫物资的能力或渠道。
　　疫情发生后，杨某曾采购了一些口罩、电子测温计等防疫用品，并通过网络发布信息，进行转卖销售，同时声称自己有充足货源。
　　在本案中，为了骗取该公司信任，杨某先高价买入了1000支电子测温计，再以明显低于市价的价格卖给对方验收。诱使对方误以为杨某是“实力卖家”，追加了订购并支付了高额订金。
　　杨某在明知自己没有履行合约能力的情况下，仍与对方签订电子合同。
　　目前，犯罪嫌疑人杨某已被依法刑事拘留，案件仍在进一步侦办中。
　　警方提醒，广大企业在采购防疫物资时，应谨慎理性，对卖方资质和履约能力须进行审慎考察，谨防上当受骗。
　　南方日报记者 关喜如意 通讯员 杨秋明 张毅涛",http://news.southcn.com/nfplus/gdjx/content/2020-03/28/content_190657985.htm
8,广州首宗涉疫情合同诈骗案侦破 复工企业被骗350万元,"
　　企业复工复产数量增加，个别不法分子利用复工复产企业急需大量口罩、电子测温计等防疫物资之机，发布虚假信息，实施合同诈骗。3月27日，记者从广州市公安局获悉，海珠警方快速侦破一宗虚构低价防疫物资货源实施合同诈骗的案件，这也是广州市侦破的首宗涉疫情合同诈骗案。

　　3月9日，浙江省某公司委托员工高女士到海珠警方经济犯罪侦查大队报案，称其公司向广州的杨某采购一批用于复工复产的电子测温计时遭遇诈骗。
　　经济犯罪侦查大队民警初步调查发现，该公司采购人员经他人介绍，向自称能以明显低于市场价的价格大批量供应防疫物资的杨某订购电子测温计。
　　双方于2月29日至3月2日先后通过网络签订了6份电子《购销合同》。合同约定，该公司向杨某转账支付520万元订金，杨某须在收到订金之日起5日内完成供货。
　　没想到，杨某在供应了首批1000支电子测温计后，便不再按时供货。因无法继续供货，杨某退还了该公司100多万元的订金，但却以各种理由推脱，不肯退还剩余的350万元订金，并在公司多次联系催单后失联。
　　随即，海珠警方成立由经济犯罪侦查大队精干警力组成的专案组开展全面调查。
　　专案组依托智慧新警务，迅速查证并固定了杨某涉嫌合同诈骗的相关证据，并于3月18日在荔湾区将杨某抓获归案。
　　经审讯，杨某只是一名经营宠物生意的个体老板，并没有大批量采购和供应防疫物资的能力或渠道。
　　疫情发生后，杨某曾采购了一些口罩、电子测温计等防疫用品，并通过网络发布信息，进行转卖销售，同时声称自己有充足货源。
　　在本案中，为了骗取该公司信任，杨某先高价买入了1000支电子测温计，再以明显低于市价的价格卖给对方验收。诱使对方误以为杨某是“实力卖家”，追加了订购并支付了高额订金。
　　杨某在明知自己没有履行合约能力的情况下，仍与对方签订电子合同。
　　目前，犯罪嫌疑人杨某已被依法刑事拘留，案件仍在进一步侦办中。
　　警方提醒，广大企业在采购防疫物资时，应谨慎理性，对卖方资质和履约能力须进行审慎考察，谨防上当受骗。
　　南方日报记者 关喜如意 通讯员 杨秋明 张毅涛",http://news.southcn.com/nfplus/gdjx/content/2020-03/28/content_190657985.htm
9,意大利新冠肺炎病例超8.6万 疫情已经接近峰值？,"
　　中新网3月28日电 截至当地时间27日晚，意大利新冠肺炎累计病例升至86498例。其中，死亡病例达9134例，死亡率超过10%，居全球首位。
　　3月21日以来，意大利新增确诊病例整体呈下降之势，该国官员表示，意大利新冠肺炎疫情开始出现放缓迹象，已经非常接近疫情峰值。
　　累计病例逾8.6万例
　　疫情已经接近峰值？
　　据意大利民防部门数据，截至3月27日晚，意大利过去24小时新增5959例新冠肺炎确诊病例，累计增至86498例。其中，死亡9134人，治愈超过万人。
　　近几日，意大利新冠肺炎疫情状况呈缓和之势，3月21日至25日，新增病例数量连续四天下降，26日略有反弹后，27日再次下降。
　　意大利国家研究理事会说，意大利107个省中，57个已经达到疫情顶峰，整体情况正在改善。意大利高等卫生研究院院长西尔维奥•布鲁塞弗罗(Silvio Brusaferro)也表示，根据最近一周的疫情通报数据分析，意大利新冠肺炎疫情开始出现放缓迹象，已经非常接近疫情峰值，意味着政府采取的措施正在发挥作用。
　　然而，意大利的医疗系统目前仍承受着巨大压力。意大利安莎社26日报道称，意大利高等卫生研究院最新统计数据显示，已有6205名医务人员感染新冠病毒。27日，意大利全国医生联合会表示，已有45名医生因新冠肺炎去世。
　　政界、文体界多人“中招”
　　新冠肺炎疫情暴发以来，意大利政界、文体界有多人感染。确诊的政要中，包括拉齐奥大区主席津加雷蒂、皮埃蒙特大区主席西里奥、陆军总参谋长法里纳、卫生部副部长西莱里等。
　　25日，意大利紧急民防部部长安吉洛•博雷利因出现发烧症状，暂时不再担任疫情新闻发言人工作。目前，他正在等待第二次新冠病毒检测结果。几天前，博雷利初次病毒检测结果呈阴性。
　　在体育界，意大利足球甲级联赛中，已有包括尤文图斯、佛罗伦萨、桑普多利亚等多支球队有多位队员确诊。目前，受影响的球队已全部实施隔离，意甲联赛也已延期。《米兰体育报》认为，如果疫情得不到有效控制，那么本赛季意甲联赛很可能就此取消。
　　“封城”仍持续，防疫再“加码”
　　为抑制新冠肺炎疫情蔓延，意大利自3月10日起进入全国“封城”状态，限制旅行和公众集会。22日，意大利总理孔特签署政令，再次为防疫“加码”，要求全国23日起停止所有非必要的非关键性生产活动和商业活动，直至4月3日。
　　在疫情“震中”伦巴第大区，该地区主席丰塔纳表示，只有最大限度限制人际接触才能扭转目前的局势。
　　报道称，意大利北部地区医疗资源承载能力几乎饱和，伦巴第大区的医院床位、口罩、呼吸机严重不足。为进一步扩大救治范围，意大利首家帐篷医院已在克雷莫纳市投入使用。这家医院由15个帐篷组成。
　　此外，意大利军队还正在贝尔加莫市和克雷马市，加紧建设另外两座帐篷医院。此外，米兰国际展览中心也正在搭建方舱医院。
　　意大利经济受冲击
　　孔特吁欧盟采取抗疫联合措施
　　26日，意大利总理孔特在欧盟27国领导人视频会议上表示，整个欧洲都将受到新冠肺炎大流行带来的“严重”衰退的打击。为减轻其影响，各国需要采取特殊措施，包括欧盟国家共同发行债券。然而，这一提议被德国和荷兰拒绝。
　　同时，欧盟多国提出的一份经济草案，也被意大利和西班牙拒绝。据悉，该草案包含建立医疗设备的紧急库存，并缓解欧盟之间的边境封锁。但意西两国认为，这份草案太过“单薄”。最终，欧盟决定在未来两周内，继续探讨经济草案的细节。
　　目前，受疫情影响，意大利经济受到重创。意大利经济财政研究所20日发布报告称，受新冠肺炎疫情影响，2020年第一季度意大利国内生产总值预计将同比萎缩8%。孔特25日称，将于4月份推出总值多达250亿欧元的新刺激措施。
　　孔特表示：“历史自有评断……我们必须尽力做对的事，政府以最大的决心和速度采取行动。”",http://news.southcn.com/international/content/2020-03/28/content_190659673.htm
