,2020-03-25
0,巴萨球迷资讯：也要感谢各大院校的全力配合
1,凤梨罐头七分糖：希望疫情早日结束 严防境外输入 境外赶紧抄作业吧！
2,星知航学历提升-萍老师：希望早点恢复原状吧，小孩子都可以早点恢复上学
3,青松小岛21796：就是零时医院呗！与88年上海闹甲肝炎大流行的时候抗疫办法差不多！也是医院不够了，修零时医院！甲肝可以自愈嘛，无其他疾病基本上不会出太大问题！甲肝不算什么新病毒，好对付！当年国企为主导嘛也是改建了国企的仓库，车间，体育馆等嘛，主张谁的人谁管！
4,喵喵_2015：所以这并不是武汉的创举，毕竟上海曾经做过这样的防疫措施，武汉政府和疾控不知道或许情有可原，国家疾控中心不了解三十多年前发生在上海的大规模防疫措施，似乎不应该了，否则早就该效仿了。也许当年上海三十万人感染甲肝，国家层面没有组织全国救援，上海孤军奋战，所以国家机构官员没有记忆了。
5,现在才开始知道：聪明的中国人
6,共5条回复
7,LinkedIn领英：充分利用资源，才能以尽可能低的成本，尽可能高的效率，干大事！
8,木子MUZI09101112：别再争谁首创了，落实好传染病法和疫情防治，这些都不必要。
9,myeddfy：划重点： 1. 在汶川地震后，全国建立了22个国家级紧急医学救援队，车辆设备帐篷等，可以做手术救援等。 2. 方舱+医院的提议到建成：中央指导组整合，2月3日提出设想和考察体育馆展览馆，当晚集合所有设计和医学专家提需求，决定搭设方案。2月5日开始收治。由22家国家紧急救援队带着救治设备和人员入驻
10,myeddfy：所以当初说，不顾各地自己的医疗压力，搬空了上海华山医院设备，不管当地民众的说法是不成立的。感觉这是专项独立的设备物资车。
11,小白中的小妖妖：东京奥运会的场馆刚刚好可以用
12,妗禾芊芊：记得那会武汉情况紧急，各地支援医疗队过去我还问我朋友她会不会去，她说只有呼吸科和专门负责这块得医护去，轮不上；最近还听到一些消息，说方舱都是铁丝网围着，关着病人等死，吓我一条，感谢某d音，病人可以把他们自己得情况拍出来，信息流通就能打破谣言
13,zxjia_2002：好莱坞电影早有了，只是重症也在里面
14,BlackMoon0-0：之前的那些犯错的官员是不是应该收拾下？？？某红会？？？
15,Kipopo凯泡泡：美剧里面遇到灾难不都是往体育馆里面跑吗
16,星知航学历提升-萍老师：这个体育馆体现了它最大的价值
17,小成子a：读史明智
18,爱在母亲河畔：
19,大爷有画好好说：不相信神 但我知道他会上天堂
20,共9条回复
21,DLofficial：看着揪心，太惨了
22,泼泼本人：人性的光辉，谢谢您。安息！
23,共1条回复
24,寕子轲：这是一个以实际行动践行信仰的人，看似平凡，实则不平凡
25,共4条回复
26,-打工人：respect
27,xdiand_BY：高尚的人啊
28,LeachLeach：想起了那个八九十岁不肯接受治疗的老爷爷，说要让给更需要的人危急存亡之秋，忘身于外
29,黄若愚hz：在这条微博下面还能冷嘲热讽的人，我们可能真的不生活在同一个世界。
30,昨日时光今日难寻：“生命在他里头，这生命就是人的光。”
31,城市边缘2020：湖北也有个这样的老奶奶，自己不要治给年青人治。
32,女神情：🙏哈利路亚阿门
33,共1条回复
34,·陪我去流浪·：怎么说，本可以不至于这样
35,共2条回复
36,公园小百合：把生的希望留给年轻人，把死的危险留给自己。这是一个伟大的人，不仅意大利人民应该纪念他，也值得全世界的人记住他
37,蓬勃地向上：悲悯众生，才是真正崇高无上的信仰！
38,1111111111yYAiz：我不要大国崛起，我只要小民尊严。
39,共8条回复
40,资深艺人经纪张城豪：川建国说四月份还要全面开工工作呢！
41,阳阳好好学习：我也看到了
42,共9条回复
