日期,内容
2020-03-13,解气
2020-03-13,啊啊啊啊啊啊爽哥真帅！
2020-03-13,翻译停止了思考
2020-03-13,问得好！
2020-03-13,这个笑我爱了！
2020-03-13,行有不得，反求诸（之于）己。
2020-03-13,永言配命，自求多福
2020-03-13,"Ifyouhavetimeattackus,thinkaboutwhatyoushoulddo"
2020-03-13,第一个弹幕
2020-03-13,233
2020-03-13,笑死我了，哈哈哈这嘲讽没谁了
2020-03-13,哈哈哈哈哈哈哈哈
2020-03-13,帅
2020-03-13,有可能是他们听不懂中文哈哈
2020-03-13,他居然笑了
2020-03-13,呵呵呵
2020-03-13,"didnotgotyouwant,thinkthinkyourself."
2020-03-13,帅
2020-03-13,哈哈哈哈
2020-03-13,"Yes,yourheartshouldhavesomeB数"
2020-03-13,哈哈哈
2020-03-13,他在狂笑
2020-03-13,哈哈哈哈哈哈哈哈哈
2020-03-13,"ourcountrydoneverygood,butyourcountryIhavenothingtosay"
2020-03-13,帅
2020-03-13,6666666
2020-03-13,自己心里没点b数吗
2020-03-13,哈哈哈哈哈哈哈哈
2020-03-13,建议这类视频的野生弹幕君把弹幕放在顶部，不挡国徽
2020-03-13,帅!
2020-03-13,？？你妈生了你这个弟弟你怪我？
2020-03-13,chooseblind?
2020-03-13,youlookedbutpretendnotlook
2020-03-13,爽哥很爽
2020-03-13,Ihadnothingtosay.
2020-03-13,自求多福
2020-03-13,Thisactisbadandbad.
2020-03-13,好红红火火恍恍惚惚
2020-03-13,ButthinkthisthingisChinafault.
2020-03-13,做好自己的事
2020-03-13,没事川建国同志是自己人
2020-03-13,加油
2020-03-13,前方高能！
2020-03-13,双押
2020-03-13,耿爽我看你不爽
2020-03-13,爽哥说的太客气了，没直接说君子求诸己，小人求诸人。
2020-03-13,现场翻译辛苦了
2020-03-13,哈哈
2020-03-13,诸位，拔刀吧，这个笑容我来守护
2020-03-13,WehopesomepeopleofUSAcouldfocusonyourcountry.
2020-03-13,没力气？
2020-03-13,哈哈哈
2020-03-13,要来了
2020-03-13,WHOsaid:novelcoronavirusbelongworld.
2020-03-13,太帅了吧也
2020-03-13,然而这并不是什么值得骄傲的事
2020-03-13,哈哈哈哈哈哈哈哈
2020-03-13,因崔斯汀
2020-03-13,这也太帅了吧？？？
2020-03-13,耿哥帅气
2020-03-13,喜欢爽哥
2020-03-13,勿谓言之不预也
2020-03-13,爽哥来了
2020-03-13,美国老百姓，哈哈哈哈，我笑了
2020-03-13,goodjob!
2020-03-13,哈哈哈，厉害
2020-03-13,爽哥很爽hhhhhh
2020-03-13,帅
2020-03-13,帅
2020-03-13,翻译：我习惯了……
2020-03-13,这是在教育美方官员，授课呢！请美方官员及时交纳学费
2020-03-13,爽哥这波操作太帅了
2020-03-13,他在狂笑
2020-03-13,有一些地方的老年人听不懂普通话
2020-03-13,我不作评论，但你得有点哔数
2020-03-13,无能咆哮
2020-03-13,太帅了太帅了
2020-03-13,知道什么意思嘛？翻译惨啊
2020-03-13,爽的笑
2020-03-13,美国老百姓
2020-03-13,字幕君可以啊
2020-03-13,他在狂笑！
2020-03-13,帅
2020-03-13,字幕君优秀啊
2020-03-13,高能预警
2020-03-13,一脸耿直，满脸不爽
2020-03-13,嘲讽点满
2020-03-13,官方都知道字幕不挡国徽，下面野生字幕显摆什么呢，中国人听不懂中国话？
2020-03-13,已投币
2020-03-13,中医普度众生
2020-03-13,美国好像把这个病当流行性感冒治吧
2020-03-13,嫉妒我们中华民族吧
2020-03-13,这个笑的帅
2020-03-13,我们争取的时间，你们在那用来嘲笑
2020-03-13,最难翻译：呵呵
2020-03-13,美国不要脸
2020-03-13,他在笑各位
2020-03-13,不这么做，就不是美国了
2020-03-13,出自《孟子离娄上》
2020-03-13,谁掩盖？？？
2020-03-13,美国没脸
2020-03-13,耿子哥不爽
2020-03-13,翻译:我可爱“死”你了
2020-03-13,2:38
2020-03-13,耿爽不爽
2020-03-13,这个大大好像我们生物老师
2020-03-13,耿爽不爽
2020-03-13,卡
2020-03-13,哈哈哈哈哈
2020-03-13,美国:不是说了是流感嘛
2020-03-13,正常操作，我们要习惯
2020-03-13,发现中文这个四个字儿是真的强。什么都能四个字儿。
2020-03-13,怎么翻译啊？
2020-03-13,给我自我反省hhhhhhhhh
2020-03-13,中国文化上下五千年我随便来句文化词你就听不懂哈哈哈哈
2020-03-13,美利坚黑帮老大特哥要求统一口径，只能说流感
2020-03-13,太帅了
2020-03-13,哈利路亚
2020-03-13,哈哈哈哈哈哈哈哈哈哈
2020-03-13,知道什么意思么，呵呵
2020-03-13,人家没文化听不懂哈哈哈
2020-03-13,爱了爱了
2020-03-13,等翻译吧
2020-03-13,哈哈
2020-03-13,普遍常识和基本认知！！故请美方多多进行自我检讨，以防不测
2020-03-13,6666666666
2020-03-13,呵呵
2020-03-13,哈哈
2020-03-13,他在笑，他在狂笑
2020-03-13,帅
2020-03-13,表情包增加了
2020-03-13,翻译太难了
2020-03-13,这句话翻译过来就是：Youknoweggs.
2020-03-13,帅啊
2020-03-13,哈哈哈哈哈
2020-03-13,爽！
2020-03-13,展现出中国速度，中国规模和中国效率
2020-03-13,哈哈啊哈哈哈哈哈哈哈哈哈啊哈哈哈哈
2020-03-13,说得好
2020-03-13,哈哈哈哈哈帅
2020-03-13,？
2020-03-13,前方高能
2020-03-13,这就是偶像
2020-03-13,6666666
2020-03-13,我不做评论
2020-03-13,哈哈哈哈哈
2020-03-13,6
2020-03-13,太帅了吧
2020-03-13,皮了一下
2020-03-13,哈哈哈哈哈
2020-03-13,哈哈哈哈
2020-03-13,哈哈哈哈哈哈
2020-03-13,6666
2020-03-13,美国人自己都看不下去了
2020-03-13,小国徽停萌萌哒呀
2020-03-13,美国慌了
2020-03-13,翻译:我太难了
2020-03-13,令人发笑
2020-03-13,我不知道，我丢人了
2020-03-13,太上头了
2020-03-13,再来亿遍~
2020-03-13,哈哈哈哈哈哈哈哈哈哈哈哈
2020-03-13,哈哈哈哈哈哈哈哈哈哈
2020-03-13,哈哈哈哈哈哈哈哈
2020-03-13,太帅了
2020-03-13,好
2020-03-13,甩锅英语怎么拼
2020-03-13,A爆了
2020-03-13,视而不见，置若罔闻
2020-03-13,哈哈哈哈
2020-03-13,翻译：waiter
2020-03-13,翻译：我太难了
2020-03-13,帅
2020-03-13,一笑倾城
2020-03-13,来了
2020-03-13,哈哈哈哈哈，在线嘲讽
2020-03-13,哈哈哈哈哈哈哈哈哈哈哈哈哈哈
2020-03-13,哈哈哈
2020-03-13,666
2020-03-13,翻译:我太难了
2020-03-13,哈哈哈哈哈哈
2020-03-13,稳
2020-03-13,这不就带不动吗2333
2020-03-13,哈哈哈哈哈哈哈哈
2020-03-13,这是我偶像
2020-03-13,爽到了
2020-03-13,爽到了✧*｡٩(ˊωˋ*)و✧*
2020-03-13,爽到了
2020-03-13,为耿哥嗷嗷叫
2020-03-13,突然想到朱广权的手语翻译人了啊哈哈哈
2020-03-13,孟子里这段话的最后一句：自求多福
2020-03-13,“爽”朗一笑
2020-03-13,哈哈哈哈哈哈哈哈
2020-03-13,孟子里这段话出处的最后一句：自求多福
2020-03-13,高能
2020-03-13,这个笑我爱了
2020-03-13,帅
2020-03-13,这段话的最后一句：自求多福
2020-03-13,我不做评论但是大家心里都有数
2020-03-13,耿哥威武
2020-03-13,爽哥
2020-03-13,不作评论.jpg
2020-03-13,哈哈哈
2020-03-13,为什么我也跟着笑了
2020-03-13,内心狂喜
2020-03-13,咋滴？需要我们解放美利坚？
2020-03-13,哈哈哈哈哈哈哈哈哈哈哈哈哈
2020-03-13,有意思
2020-03-13,呵呵呵呵呵呵呵呵呵呵
2020-03-13,这个笑太给力了
2020-03-13,中方行动速度之快规模之大
2020-03-13,厉害
2020-03-13,哈哈哈哈哈哈
2020-03-13,厉害
2020-03-13,字幕组666
2020-03-13,英文不好翻译，就知道你们不懂
2020-03-13,字幕呢
2020-03-13,给力
2020-03-13,字幕表示我很不爽，不想出现了！
2020-03-13,但很显然
2020-03-13,翻译哭死
2020-03-13,分享有关的病毒基因序列
2020-03-13,爽哥威武
2020-03-13,不做评论=没有
2020-03-13,怎么不戴口罩？
2020-03-13,呵呵呵呵呵呵呵呵呵呵呵
2020-03-13,吹爆耿哥
2020-03-13,哈哈哈哈哈哈
2020-03-13,帅啊
2020-03-13,哈哈哈哈哈哈～～～实力嘲笑
2020-03-13,呵呵呵呵呵呵呵呵呵呵呵
2020-03-13,创记录！！我国威武
2020-03-13,别挡国徽！！！！！！！！！！！
2020-03-13,名场面预告
2020-03-13,爽啊
2020-03-13,哈哈哈，知道吗
2020-03-13,老美真不要脸啊
2020-03-13,这个笑，充斥着五千年文明面对二百年文明的灼热视线
2020-03-13,好沉稳的演讲
2020-03-13,66666
2020-03-13,感谢字幕君
2020-03-13,你品，你细品
2020-03-13,美国老百姓：揭竿！！
2020-03-13,你心里没点B数吗？
2020-03-13,个别人。。。
2020-03-13,帅
2020-03-13,看看，看看，这话说的！
2020-03-13,"行有不得,反求诸己这句话是:事情做不成功,遇到了挫折和困难,或者人际关系处得不好,就要自我反省,一切从自己身上找原因"
2020-03-13,不做评论就是没有
2020-03-13,封面幽默感十足，哈哈
2020-03-13,又来学成语了
2020-03-13,弹幕有了
2020-03-13,美国老百姓
2020-03-13,nb
2020-03-13,飒
2020-03-13,飒
