日期,内容
2020-04-13,谢谢你，谢谢他和她，谢谢
2020-04-13,很真实
2020-04-13,就是英雄。
2020-04-13,湖北大鼓，张明智唱的
2020-04-13,恭喜
2020-04-13,这不是我学校吗
2020-04-13,兄弟，能吹一辈子了
2020-04-13,是“驼”不是“拖”
2020-04-13,谢谢你
2020-04-13,谢谢你
2020-04-13,政委的口音
2020-04-13,钦佩
2020-04-13,英雄
2020-04-13,英雄
2020-04-13,看着好难过
2020-04-13,谢谢你们
2020-04-13,泪目
2020-04-13,典型的武汉人
2020-04-13,实在
2020-04-13,谢谢您
2020-04-13,安居西苑
2020-04-13,这些可爱的人啊
2020-04-13,加油
2020-04-13,他这真可以吹一辈子
2020-04-13,平民英雄！
2020-04-13,武汉人真的就是这种个性
2020-04-13,真好，祝英雄一生平安
2020-04-13,辛苦了
2020-04-13,拖回来哈哈哈
2020-04-13,为什么把眼镜摘了
2020-04-13,花鼓戏吧？
2020-04-13,你差个思
2020-04-13,？？
2020-04-13,最后一点想哭
2020-04-13,复工后请对湖北人宽容点他们只是想快点挣钱养家
2020-04-13,致敬英雄！
2020-04-13,加油
2020-04-13,我们就是对自己的国家和领导人这么有信心。
2020-04-13,哈哈
2020-04-13,生活不易
2020-04-13,不容易
2020-04-13,哈哈
2020-04-13,感恩
2020-04-13,致敬
2020-04-13,很现实，也很真实
2020-04-13,真实的英雄，有血有肉
2020-04-13,？？？？？？
2020-04-13,湖北花鼓……
2020-04-13,小哥说错了哈，武汉最大的城中湖是汤逊湖，东湖比西湖大5倍
2020-04-13,真实
2020-04-13,泪目
2020-04-13,真实，加油！
2020-04-13,谢谢
2020-04-13,致敬
2020-04-13,？？？？？
2020-04-13,湖北大鼓
2020-04-13,有些人太讨厌了
2020-04-13,谢谢你们！谢谢
2020-04-13,兄弟加油！！你就是英雄！！
2020-04-13,谢谢
2020-04-13,武汉是一座英雄的城市
2020-04-13,哈哈哈哈哈哈哈
2020-04-13,都是最可爱的人
2020-04-13,致敬！
2020-04-13,一定会来！
2020-04-13,辛苦了！
2020-04-13,人民对国家的信任！
2020-04-13,好可爱
2020-04-13,谢谢!也感谢两位记者!谢谢你们的努力。
2020-04-13,大学毕业的时候去过，真的蛮大的
2020-04-13,喜欢这个白眼
2020-04-13,致敬真实
2020-04-13,233333
2020-04-13,对素质差的人就应该翻白眼给他看
2020-04-13,真实的想法，感谢有个好老板，延长了假期，工资一分不少。
2020-04-13,哈哈哈哈哈
2020-04-13,哈哈哈哈
2020-04-13,武汉加油
2020-04-13,&哈哈哈
2020-04-13,英雄就是敢于挺身而出的普通人，是你是我，是14亿中国人
2020-04-13,&哈哈哈哈
2020-04-13,哈哈哈
2020-04-13,最大的城中湖是武汉汤逊湖不是武汉东湖
2020-04-13,实在
2020-04-13,6个西湖
2020-04-13,这可不归他管
2020-04-13,当家这一块和我家是同一个剧本，哈哈哈
2020-04-13,向英雄的武汉人致敬！向英勇的王聪先生致敬！
2020-04-13,仔细老婆嫩
2020-04-13,勇士
2020-04-13,祝一切安好
2020-04-13,辛苦了，多谢
2020-04-13,英雄
2020-04-13,这是个认真的白眼哈哈哈
2020-04-13,英雄
2020-04-13,对呀
2020-04-13,好厉害
2020-04-13,湖北大鼓
2020-04-13,哈哈
2020-04-13,哈哈哈哈哈哈
2020-04-13,好可怕
2020-04-13,好可爱
2020-04-13,这真是一线了
2020-04-13,是呀
2020-04-13,好像我们湖北戏台上的调
2020-04-13,加油
2020-04-13,在看
2020-04-13,可以
2020-04-13,这是普通民众的心声，赚钱养家！
2020-04-13,感恩有大家
2020-04-13,谢谢你们
2020-04-13,真诚
2020-04-13,辛苦了师傅
2020-04-13,哈哈哈哈哈哈哈哈
2020-04-13,好
2020-04-13,噗
2020-04-13,上班
2020-04-13,哈哈哈哈哈哈哈
2020-04-13,哈哈哈哈哈哈哈
2020-04-13,好漂亮哦
2020-04-13,你们是英雄
2020-04-13,实诚
2020-04-13,平凡中的英雄
2020-04-13,英雄打在公屏上
2020-04-13,这得给个官当当
2020-04-13,致敬！
2020-04-13,加油
2020-04-13,真实
2020-04-13,湖北大鼓甚是好听，本宫很受用
2020-04-13,哈哈哈哈哈哈哈给你个眼神
2020-04-13,都是一线战士
2020-04-13,英雄
2020-04-13,武汉爷们
2020-04-13,泪目
2020-04-13,英雄
2020-04-13,同名字！哎
2020-04-13,祝福好人有好报
2020-04-13,战士
2020-04-13,泪目
2020-04-13,都是战士
2020-04-13,谢谢你们
2020-04-13,片尾棒棒
2020-04-13,英雄
2020-04-13,有血有肉的英雄
2020-04-13,哈哈哈哈哈哈哈哈好哈哈哈哈哈
2020-04-13,哈哈，这个白眼翻的好
2020-04-13,这个新闻最真实，中国人就是这样，平凡着，也伟大着
2020-04-13,这个可以有
2020-04-13,笑着笑着就哭了
2020-04-13,在看呢
2020-04-13,我先撤了，看哭了，不敢继续看了
2020-04-13,谢谢
2020-04-13,致敬
2020-04-13,真实！这钱赚得坦坦荡荡！
2020-04-13,简介看成了王思聪
2020-04-13,这种人真的让人无语
2020-04-13,泪目
2020-04-13,致敬
2020-04-13,很真实很朴实的话
2020-04-13,挺过去就好啊
2020-04-13,平凡英雄
2020-04-13,谢谢！
2020-04-13,真的
2020-04-13,活着
2020-04-13,致敬
2020-04-13,好可爱
2020-04-13,哈哈哈哈
2020-04-13,太好了
2020-04-13,素质啊，是个好东西
2020-04-13,不是英雄，却胜似英雄啊
2020-04-13,以前去学校就是走东湖
2020-04-13,哈哈哈哈
2020-04-13,想说声感谢，同为中国人，同一颗中国心
2020-04-13,英雄
2020-04-13,哈哈哈好多年没听这个了
2020-04-13,说的好
2020-04-13,真好
2020-04-13,很现实，年轻人都是没多少存款的。
2020-04-13,可爱的中国人
2020-04-13,绝对能吹一辈子了大哥好样的！
2020-04-13,没有什么超级英雄，只有挺身而出的平凡人！
2020-04-13,不是楚剧，是湖北大鼓，楚剧不好听所以现在听的人少湖北大鼓不错
2020-04-13,80后也是好样的
2020-04-13,注意安全，辛苦了
2020-04-13,原来是王聪啊，还以为王思聪呢
2020-04-13,致敬
2020-04-13,致敬
2020-04-13,还得继续受苦
2020-04-13,就很无奈
2020-04-13,233333
2020-04-13,真实人生
2020-04-13,太真实了
2020-04-13,这个好亲切哈哈哈哈哈哈
2020-04-13,好听！
2020-04-13,谢谢你们
2020-04-13,哈哈哈哈哈哈
2020-04-13,加油
2020-04-13,实在
2020-04-13,哈哈哈
2020-04-13,厉害
2020-04-13,哈哈哈哈哈哈哈这个白眼太爱了
2020-04-13,没嫁错人呐
2020-04-13,辛苦了
2020-04-13,xswl
2020-04-13,加油加油
2020-04-13,实在人
2020-04-13,他一定会来，这就是我们的领导呀
2020-04-13,嗝！
2020-04-13,加油呀
2020-04-13,致敬
2020-04-13,这个是真的一线啊
2020-04-13,哈哈哈哈哈哈哈哈哈哈哈这个白眼绝了
2020-04-13,哈哈哈“耶！”
2020-04-13,致敬
2020-04-13,白眼
2020-04-13,可可爱爱
2020-04-13,中国的脊梁，平凡的人
2020-04-13,信号不好
2020-04-13,哈哈哈哈哈哈哈哈
2020-04-13,耶~
2020-04-13,明明就是英雄。
2020-04-13,致敬
2020-04-13,泪
2020-04-13,辛苦了
2020-04-13,致敬
2020-04-13,心疼
2020-04-13,致敬
2020-04-13,有灵魂的白眼
2020-04-13,哈哈
2020-04-13,是个汉子
2020-04-13,2333
2020-04-13,2333
2020-04-13,不是可以带薪吗
2020-04-13,全国最大的城市内陆湖
2020-04-13,是城市内陆湖
2020-04-13,应该让老外都看看
2020-04-13,哈哈哈哈哈哈哈
2020-04-13,武汉加油
2020-04-13,大哥实在人
2020-04-13,想想美国都替美国普通民众心疼
2020-04-13,都要钱
2020-04-13,牛皮癣广告。。
2020-04-13,当家难呢
2020-04-13,好好看
2020-04-13,bgm可以
2020-04-13,致敬
2020-04-13,辛苦了！
2020-04-13,说楚剧的？搞笑啊，这个是湖北大鼓
2020-04-13,这些啥人，灾难呢还想享福不成
2020-04-13,90接棒了好吧
2020-04-13,真实
2020-04-13,活着，真实
2020-04-13,他一定会来！
2020-04-13,luolian=麻烦
2020-04-13,辛苦了
2020-04-13,只想賺钱
2020-04-13,脱成这样哈哈哈啊哈哈哈哈哈
2020-04-13,好真实好感人
2020-04-13,白眼舒爽
2020-04-13,这个白眼爱了
2020-04-13,您值得
2020-04-13,致敬
2020-04-13,哈哈哈哈哈哈哈
2020-04-13,加油
2020-04-13,哈哈哈哈
2020-04-13,发个弹窗看看
2020-04-13,哈哈哈哈哈哈
2020-04-13,泪目
2020-04-13,哈哈哈哈哈哈，注入灵魂，小哥一下子立体了
2020-04-13,厉害了
2020-04-13,？？？？？？？？
2020-04-13,致敬
2020-04-13,好漂亮的嫂子，真棒！！！
2020-04-13,白眼好可爱
2020-04-13,致敬
2020-04-13,辛苦了
2020-04-13,真实
2020-04-13,致敬
2020-04-13,加油
2020-04-13,我从隔离点回家也走的这条路耶
2020-04-13,实在人加油
2020-04-13,平凡又伟大
2020-04-13,白眼哈哈哈哈哈哈太真实了
2020-04-13,我，，，，这音乐，，，，控制不住我自己，。，。，
2020-04-13,致敬
2020-04-13,加油！
2020-04-13,泪目
2020-04-13,这个车还挺好的前后隔离
2020-04-13,大家都太难啦
2020-04-13,是真正的英雄
2020-04-13,大实话
2020-04-13,疫情结束只想赚钱
2020-04-13,哈哈哈
2020-04-13,之前就看过他的采访，自愿者同样也是最美的逆行者。
2020-04-13,大兄弟是个好人！武汉就是因为有千千万万个好人，所以挺过来啦
2020-04-13,同！
2020-04-13,哇。楚剧。现在都快没了
2020-04-13,上班去
2020-04-13,哈哈
2020-04-13,哈哈哈哈哈哈，这个白眼十分舒爽
2020-04-13,要生活
2020-04-13,肯定是觉得老公太帅了
2020-04-13,深藏功与名
2020-04-13,好棒
2020-04-13,理解
2020-04-13,不做作，不伪善
2020-04-13,真实
2020-04-13,致敬
2020-04-13,233333
2020-04-13,谢谢你
2020-04-13,祝福
2020-04-13,致敬
2020-04-13,致敬！
2020-04-13,这个熊猫儿好可爱，虽然不是黑白
2020-04-13,好可爱
2020-04-13,666
2020-04-13,大哥真勇
2020-04-13,现实的问题，我亲有体会
2020-04-13,平凡的伟大
2020-04-13,哈哈哈哈笑死我了
2020-04-13,大哥实在
2020-04-13,可可爱爱
2020-04-13,走我们上班去
2020-04-13,不容易啊
2020-04-13,谢谢
2020-04-13,不得不说，大兄弟挺牛的
2020-04-13,大家加油
2020-04-13,实现
2020-04-13,对，没什么比家重要，没什么比国家重要
2020-04-13,这种人真的好没素质，还是人吗?
2020-04-13,做这事能吹一辈子，大兄弟好样的
2020-04-13,为国贡献，你是英雄
2020-04-13,理解，我小姨也瞒着家里人去支援武汉，我外婆都急哭了
2020-04-13,辛苦了
2020-04-13,耶
2020-04-13,大哥挺勇的
2020-04-13,真实
2020-04-13,挺好听的，这BGM是什么？我爷爷问我了
2020-04-13,挺带感的
2020-04-13,加油
2020-04-13,哈哈哈
2020-04-13,加油
2020-04-13,平凡的英雄
2020-04-13,眼睛发酸
2020-04-13,这些都是平凡的人啊，但做了不平凡的事
2020-04-13,谢谢
2020-04-13,加油8090正当支柱！
2020-04-13,博湖吧
2020-04-13,真实
2020-04-13,这能叫真实？
2020-04-13,实诚！
2020-04-13,哈哈
2020-04-13,辛苦了
2020-04-13,辛苦了
2020-04-13,辛苦了平凡的英雄
2020-04-13,66
2020-04-13,哈哈哈哈哈哈
2020-04-13,我是紫色的
2020-04-13,哈哈
2020-04-13,雷姆
2020-04-13,致敬
2020-04-13,真的好有意义
2020-04-13,前面的王思聪你是认真的吗？
2020-04-13,你没有开弹幕
2020-04-13,哈哈
2020-04-13,真实
2020-04-13,有意思这个戏
2020-04-13,这才对嘛~
2020-04-13,泪目
2020-04-13,实话
2020-04-13,武汉人民，我们再陪你过个年吧
2020-04-13,是叔吗？
2020-04-13,真实的英雄
2020-04-13,湖北大鼓哈哈哈
2020-04-13,泪目
2020-04-13,蛮罗脸滴
2020-04-13,说的好棒
2020-04-13,全国最大城中湖
2020-04-13,看成了王思聪
2020-04-13,哈哈哈哈好可爱这个小眼神
2020-04-13,UZI?
2020-04-13,致敬
2020-04-13,生活不易
2020-04-13,说句气话，这些低素质的真该死
2020-04-13,哈哈哈
2020-04-13,加油，你值得。
2020-04-13,出于好奇搜了一下相关资料，东湖描述可能存在差异
2020-04-13,武汉人骄傲！
2020-04-13,泪目
2020-04-13,真实但是感动
2020-04-13,生活
2020-04-13,发个友善的弹幕见证下
2020-04-13,每次看这些视频都能热泪盈眶，大家一起加油！
2020-04-13,哈哈哈
