日期,内容
2020-06-11,没毛病
2020-06-11,这样好，比单纯的发钱好得多
2020-06-11,相当于是给未来投资，可以的
2020-06-11,可以
2020-06-11,加油
2020-06-13,可以
2020-06-13,以工代赈
2020-06-13,没毛病
2020-06-13,这样好，比单纯的发钱好得多
2020-06-13,相当于是给未来投资，可以的
2020-06-13,可以
2020-06-13,加油
2020-06-17,可以
2020-06-17,以工代赈
2020-06-17,没毛病
2020-06-17,这样好，比单纯的发钱好得多
2020-06-17,相当于是给未来投资，可以的
2020-06-17,可以
2020-06-17,加油
2020-06-18,好艰苦哇
2020-06-18,搞环保好啊
2020-06-18,目前看到最好的方法
2020-06-18,好，这也是解决办法
2020-06-18,正道
2020-06-18,挺好啊，巴铁挺靠谱
2020-06-18,科学
2020-06-18,非常好的政策，很科学
2020-06-18,比直接发钱好
2020-06-18,好办法
2020-06-18,可以的
2020-06-18,好政策
2020-06-18,不错
2020-06-18,8
2020-06-18,可以
2020-06-18,以工代赈
2020-06-18,没毛病
2020-06-18,这样好，比单纯的发钱好得多
2020-06-18,相当于是给未来投资，可以的
2020-06-18,可以
2020-06-18,加油
2020-06-19,比漂亮国好多了
2020-06-19,比美国强
2020-06-19,以工代赈
2020-06-19,挺好的
2020-06-19,钱走哪来
2020-06-19,蚂蚁森林搞起
2020-06-19,一个月大概600-1000
2020-06-19,这个好
2020-06-19,这个可以
2020-06-19,靠谱
2020-06-19,以工代振？
2020-06-19,不错
2020-06-19,卢比？？？
2020-06-19,好熟悉的操作
2020-06-19,可以可以
2020-06-19,不错
2020-06-19,可以的
2020-06-19,巴铁加油
2020-06-19,这个可以
2020-06-19,这地看起来挺好的啊，种果树最好
2020-06-19,基建正确性
2020-06-19,好办法啊！
2020-06-19,可以有
2020-06-19,不错
2020-06-19,印度应该学学
2020-06-19,学俺们国家呢
2020-06-19,加油加油
2020-06-19,不错的
2020-06-19,前人种树后人好乘凉，干的漂亮
2020-06-19,好政策
2020-06-19,这才是正常人类该干的
2020-06-19,好
2020-06-19,造福后代
2020-06-19,最起码能吃饭了
2020-06-19,疫情要防吧
2020-06-19,不错
2020-06-19,好办法
