日期,内容
2020-05-13,解雇危
2020-05-13,美国也就只剩福奇明智了了
2020-05-13,fakenews
2020-05-13,福奇：众人皆醉我独醒
2020-05-13,你别说那么多了，我们等着看结果呢，说不定完全没事，群体免疫呢？
2020-05-13,保护
2020-05-13,youarefired
2020-05-13,freefire
2020-05-13,youarefired
2020-05-13,你们本来就没控制何来无法控制呢
2020-05-13,老爷子被炒了
2020-05-13,什么，还没爆发？
2020-05-13,观察福奇网
2020-05-13,无济于事
2020-05-13,解雇解雇解雇解雇解雇解雇解雇解雇
2020-05-13,保护
2020-05-13,保护
2020-05-13,要不你申请中国国籍吧！大佬，来中国吧！！！
2020-05-13,在特朗普面前当个科学家，真是太南了，官僚是不要脸的，但科学家还是要讲良心的。
2020-05-13,你已经被特朗普抛弃了。
2020-05-13,你太难了
2020-05-13,保护
2020-05-13,你懂个6那建国同志是为了胸前的红领巾
2020-05-13,支持我方建国同志
2020-05-13,也许这就是人生吧
2020-05-13,不信
2020-05-13,保护
2020-05-13,全部木大
2020-05-13,别说了，说也没用啊
2020-05-13,方方出来写日记了，别以为躺下装几天死人民就都忘了
2020-05-13,质疑并排挤福奇，说明美国已经烂透了
2020-05-13,复工了，恐怕美国明年都无法控制得了新冠
2020-05-13,老爷子辛苦了
2020-05-13,福奇能干嘛
2020-05-13,你完了，你被开除了
2020-05-13,这不自由
2020-05-13,战术自我隔离
2020-05-13,解雇
2020-05-13,shutup
2020-05-13,保护
2020-05-13,fightforfreedom
2020-05-13,加油川宝
2020-05-13,复工！MAGA！！！
2020-05-13,国士
2020-05-13,借你吉言
2020-05-13,老倒霉蛋了
2020-05-13,保重
2020-05-13,你被炒了
2020-05-13,我感觉这句话要被断章取义了
2020-05-13,Trump：给你个机会重说一遍
2020-05-13,明眼人
2020-05-13,美国政府的目标和富奇他们的目标不一样，后者想尽快结束疫情，前者只是想拖延时间到疫苗出现
2020-05-13,画质不行啊
2020-05-13,危
2020-05-13,嗓子哑了，可怜
2020-05-13,危
2020-05-13,支持复工
2020-05-13,保护
2020-05-13,保护
2020-05-13,保护
2020-05-13,恢复到欧洲黑死病时期的正常生活
2020-05-13,你完了
2020-05-13,美国人很多人失去理智，对盖茨这样的人都抨击
2020-05-13,保护
2020-05-13,wei
2020-05-13,youareasnake
2020-05-13,这都不算大爆发？
2020-05-13,我认为已经控制不住了，您老还是省省心吧
2020-05-13,危
2020-05-13,保护
2020-05-13,危福奇危
2020-05-13,youarefire
2020-05-13,没有人比我更懂风险
2020-05-13,福奇，危！
2020-05-13,fire
2020-05-13,送回英国的原点嘛
2020-05-13,美帝国需要自由
2020-05-13,你完了。
2020-05-13,危
2020-05-13,美国王允
