日期,内容
2021-01-15,你们那么喜欢当美国的狗吗？
2021-01-15,字幕做手脚岂不是自欺欺人吗？
2021-01-15,都抗
2021-01-15,台湾人真的好两极分化，要么捧到天上去，要么天天像个井底之蛙
2021-01-15,都叫中国的。。。。
2021-01-15,娘里娘气
2021-01-15,因为我们把ww当同胞，他们当你们棋子啊zz
2021-01-15,蔡依林！！你怎么胖了？？
2021-01-15,想多了
2021-01-15,建议九二共识
2021-01-16,那位老阿姨一向满嘴喷矢
2021-01-16,骗骗骗骗！
2021-01-16,深绿的节目
2021-01-16,你们省不也是吗
2021-01-16,懂了，打钱
2021-01-16,娃哈哈呀娃哈哈
2021-01-16,←因为不做手脚容易过不了审啊。。。
2021-01-16,真是自欺欺人
2021-01-16,字幕自欺欺人
2021-01-16,我的天这个gay里gay气的人看着就不舒服
2021-01-16,前面说九二共识的，过时了
2021-01-16,这位大姐有事吗？
2021-01-16,排后面，就是还要对抗喽
2021-01-16,你们那么喜欢当美国的狗吗？
2021-01-16,字幕做手脚岂不是自欺欺人吗？
2021-01-16,都抗
2021-01-16,台湾人真的好两极分化，要么捧到天上去，要么天天像个井底之蛙
2021-01-16,都叫中国的。。。。
2021-01-16,娘里娘气
2021-01-16,因为我们把ww当同胞，他们当你们棋子啊zz
2021-01-16,蔡依林！！你怎么胖了？？
2021-01-16,想多了
2021-01-16,建议九二共识
2021-01-17,鬼！
2021-01-17,这个耳钉好妖娆
2021-01-17,连祖宗都忘了，没什么好讲的
2021-01-17,这种节目好不严谨啊！耳钉感觉很不认真
2021-01-17,美国政府啥时候不抗了
2021-01-17,这个中国你们几个字说明一切
2021-01-17,都只想拿好处吃红利罢了
2021-01-17,都只想吃红利而已
2021-01-17,硬把字幕改了有意思吗
2021-01-17,回归吧，别特区了，他们不配。
2021-01-17,还想打?按死你
2021-01-17,那位老阿姨一向满嘴喷矢
2021-01-17,骗骗骗骗！
2021-01-17,深绿的节目
2021-01-17,你们省不也是吗
2021-01-17,懂了，打钱
2021-01-17,娃哈哈呀娃哈哈
2021-01-17,←因为不做手脚容易过不了审啊。。。
2021-01-17,真是自欺欺人
2021-01-17,字幕自欺欺人
2021-01-17,我的天这个gay里gay气的人看着就不舒服
2021-01-17,前面说九二共识的，过时了
2021-01-17,这位大姐有事吗？
2021-01-17,排后面，就是还要对抗喽
2021-01-17,你们那么喜欢当美国的狗吗？
2021-01-17,字幕做手脚岂不是自欺欺人吗？
2021-01-17,都抗
2021-01-17,台湾人真的好两极分化，要么捧到天上去，要么天天像个井底之蛙
2021-01-17,都叫中国的。。。。
2021-01-17,娘里娘气
2021-01-17,因为我们把ww当同胞，他们当你们棋子啊zz
2021-01-17,蔡依林！！你怎么胖了？？
2021-01-17,想多了
2021-01-17,建议九二共识
2021-01-18,您不是外国人，，，
2021-01-18,好家伙，一来就听到对抗亲妈
2021-01-18,我国
2021-01-18,鬼！
2021-01-18,这个耳钉好妖娆
2021-01-18,连祖宗都忘了，没什么好讲的
2021-01-18,这种节目好不严谨啊！耳钉感觉很不认真
2021-01-18,美国政府啥时候不抗了
2021-01-18,这个中国你们几个字说明一切
2021-01-18,都只想拿好处吃红利罢了
2021-01-18,都只想吃红利而已
2021-01-18,硬把字幕改了有意思吗
2021-01-18,回归吧，别特区了，他们不配。
2021-01-18,还想打?按死你
2021-01-18,那位老阿姨一向满嘴喷矢
2021-01-18,骗骗骗骗！
2021-01-18,深绿的节目
2021-01-18,你们省不也是吗
2021-01-18,懂了，打钱
2021-01-18,娃哈哈呀娃哈哈
2021-01-18,←因为不做手脚容易过不了审啊。。。
2021-01-18,真是自欺欺人
2021-01-18,字幕自欺欺人
2021-01-18,我的天这个gay里gay气的人看着就不舒服
2021-01-18,前面说九二共识的，过时了
2021-01-18,这位大姐有事吗？
2021-01-18,排后面，就是还要对抗喽
2021-01-18,你们那么喜欢当美国的狗吗？
2021-01-18,字幕做手脚岂不是自欺欺人吗？
2021-01-18,都抗
2021-01-18,台湾人真的好两极分化，要么捧到天上去，要么天天像个井底之蛙
2021-01-18,都叫中国的。。。。
2021-01-18,娘里娘气
2021-01-18,因为我们把ww当同胞，他们当你们棋子啊zz
2021-01-18,蔡依林！！你怎么胖了？？
2021-01-18,想多了
2021-01-18,建议九二共识
2021-01-19,他讲的是中国，不是大陆
2021-01-19,这个女人天天黑中国
2021-01-19,天呐你也想要金发碧眼？
2021-01-19,您不是外国人，，，
2021-01-19,好家伙，一来就听到对抗亲妈
2021-01-19,我国
2021-01-19,鬼！
2021-01-19,这个耳钉好妖娆
2021-01-19,连祖宗都忘了，没什么好讲的
2021-01-19,这种节目好不严谨啊！耳钉感觉很不认真
2021-01-19,美国政府啥时候不抗了
2021-01-19,这个中国你们几个字说明一切
2021-01-19,都只想拿好处吃红利罢了
2021-01-19,都只想吃红利而已
2021-01-19,硬把字幕改了有意思吗
2021-01-19,回归吧，别特区了，他们不配。
2021-01-19,还想打?按死你
2021-01-19,那位老阿姨一向满嘴喷矢
2021-01-19,骗骗骗骗！
2021-01-19,深绿的节目
2021-01-19,你们省不也是吗
2021-01-19,懂了，打钱
2021-01-19,娃哈哈呀娃哈哈
2021-01-19,←因为不做手脚容易过不了审啊。。。
2021-01-19,真是自欺欺人
2021-01-19,字幕自欺欺人
2021-01-19,我的天这个gay里gay气的人看着就不舒服
2021-01-19,前面说九二共识的，过时了
2021-01-19,这位大姐有事吗？
2021-01-19,排后面，就是还要对抗喽
2021-01-19,你们那么喜欢当美国的狗吗？
2021-01-19,字幕做手脚岂不是自欺欺人吗？
2021-01-19,都抗
2021-01-19,台湾人真的好两极分化，要么捧到天上去，要么天天像个井底之蛙
2021-01-19,都叫中国的。。。。
2021-01-19,娘里娘气
2021-01-19,因为我们把ww当同胞，他们当你们棋子啊zz
2021-01-19,蔡依林！！你怎么胖了？？
2021-01-19,想多了
2021-01-19,建议九二共识
2021-01-21,就是这些狗东西在这个哪个之声搞
2021-01-21,这位女主持自带救生圈
2021-01-21,他讲的是中国，不是大陆
2021-01-21,这个女人天天黑中国
2021-01-21,天呐你也想要金发碧眼？
2021-01-21,您不是外国人，，，
2021-01-21,好家伙，一来就听到对抗亲妈
2021-01-21,我国
2021-01-21,鬼！
2021-01-21,这个耳钉好妖娆
2021-01-21,连祖宗都忘了，没什么好讲的
2021-01-21,这种节目好不严谨啊！耳钉感觉很不认真
2021-01-21,美国政府啥时候不抗了
2021-01-21,这个中国你们几个字说明一切
2021-01-21,都只想拿好处吃红利罢了
2021-01-21,都只想吃红利而已
2021-01-21,硬把字幕改了有意思吗
2021-01-21,回归吧，别特区了，他们不配。
2021-01-21,还想打?按死你
2021-01-21,那位老阿姨一向满嘴喷矢
2021-01-21,骗骗骗骗！
2021-01-21,深绿的节目
2021-01-21,你们省不也是吗
2021-01-21,懂了，打钱
2021-01-21,娃哈哈呀娃哈哈
2021-01-21,←因为不做手脚容易过不了审啊。。。
2021-01-21,真是自欺欺人
2021-01-21,字幕自欺欺人
2021-01-21,我的天这个gay里gay气的人看着就不舒服
2021-01-21,前面说九二共识的，过时了
2021-01-21,这位大姐有事吗？
2021-01-21,排后面，就是还要对抗喽
2021-01-21,你们那么喜欢当美国的狗吗？
2021-01-21,字幕做手脚岂不是自欺欺人吗？
2021-01-21,都抗
2021-01-21,台湾人真的好两极分化，要么捧到天上去，要么天天像个井底之蛙
2021-01-21,都叫中国的。。。。
2021-01-21,娘里娘气
2021-01-21,因为我们把ww当同胞，他们当你们棋子啊zz
2021-01-21,蔡依林！！你怎么胖了？？
2021-01-21,想多了
2021-01-21,建议九二共识
2021-01-22,娘炮
2021-01-22,新中国崛起
2021-01-22,就是这些狗东西在这个哪个之声搞
2021-01-22,这位女主持自带救生圈
2021-01-22,他讲的是中国，不是大陆
2021-01-22,这个女人天天黑中国
2021-01-22,天呐你也想要金发碧眼？
2021-01-22,您不是外国人，，，
2021-01-22,好家伙，一来就听到对抗亲妈
2021-01-22,我国
2021-01-22,鬼！
2021-01-22,这个耳钉好妖娆
2021-01-22,连祖宗都忘了，没什么好讲的
2021-01-22,这种节目好不严谨啊！耳钉感觉很不认真
2021-01-22,美国政府啥时候不抗了
2021-01-22,这个中国你们几个字说明一切
2021-01-22,都只想拿好处吃红利罢了
2021-01-22,都只想吃红利而已
2021-01-22,硬把字幕改了有意思吗
2021-01-22,回归吧，别特区了，他们不配。
2021-01-22,还想打?按死你
2021-01-22,那位老阿姨一向满嘴喷矢
2021-01-22,骗骗骗骗！
2021-01-22,深绿的节目
2021-01-22,你们省不也是吗
2021-01-22,懂了，打钱
2021-01-22,娃哈哈呀娃哈哈
2021-01-22,←因为不做手脚容易过不了审啊。。。
2021-01-22,真是自欺欺人
2021-01-22,字幕自欺欺人
2021-01-22,我的天这个gay里gay气的人看着就不舒服
2021-01-22,前面说九二共识的，过时了
2021-01-22,这位大姐有事吗？
2021-01-22,排后面，就是还要对抗喽
2021-01-22,你们那么喜欢当美国的狗吗？
2021-01-22,字幕做手脚岂不是自欺欺人吗？
2021-01-22,都抗
2021-01-22,台湾人真的好两极分化，要么捧到天上去，要么天天像个井底之蛙
2021-01-22,都叫中国的。。。。
2021-01-22,娘里娘气
2021-01-22,因为我们把ww当同胞，他们当你们棋子啊zz
2021-01-22,蔡依林！！你怎么胖了？？
2021-01-22,想多了
2021-01-22,建议九二共识
2021-01-23,她可能说的是美国对抗中国
2021-01-23,这群人是著名td，天天抹黑中国
2021-01-23,娘炮
2021-01-23,新中国崛起
2021-01-23,就是这些狗东西在这个哪个之声搞
2021-01-23,这位女主持自带救生圈
2021-01-23,他讲的是中国，不是大陆
2021-01-23,这个女人天天黑中国
2021-01-23,天呐你也想要金发碧眼？
2021-01-23,您不是外国人，，，
2021-01-23,好家伙，一来就听到对抗亲妈
2021-01-23,我国
2021-01-23,鬼！
2021-01-23,这个耳钉好妖娆
2021-01-23,连祖宗都忘了，没什么好讲的
2021-01-23,这种节目好不严谨啊！耳钉感觉很不认真
2021-01-23,美国政府啥时候不抗了
2021-01-23,这个中国你们几个字说明一切
2021-01-23,都只想拿好处吃红利罢了
2021-01-23,都只想吃红利而已
2021-01-23,硬把字幕改了有意思吗
2021-01-23,回归吧，别特区了，他们不配。
2021-01-23,还想打?按死你
2021-01-23,那位老阿姨一向满嘴喷矢
2021-01-23,骗骗骗骗！
2021-01-23,深绿的节目
2021-01-23,你们省不也是吗
2021-01-23,懂了，打钱
2021-01-23,娃哈哈呀娃哈哈
2021-01-23,←因为不做手脚容易过不了审啊。。。
2021-01-23,真是自欺欺人
